patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12405854,2025-09-02,Fault-tolerant memory appliance,0,G06F|H04L
12393830,2025-08-19,Deep learning computational storage drive,0,G06N
12386531,2025-08-12,Partial block performance management,0,G06F
12379851,2025-08-05,Wear leveling and grouping of drives based on position in chassis,0,G06F
12373345,2025-07-29,Intelligent management of ferroelectric memory in a data storage device,0,G06F
12362920,2025-07-15,Threshold secret sharing with hidden access structures,0,H04L
12334108,2025-06-17,Speculative read regulation in hard disk drives having read reliability budgets,0,G06F|G11B
12316752,2025-05-27,Polynomial function secret sharing,0,H04L
12289399,2025-04-29,Device specific multiparty computation,0,G06F|H04L
12288575,2025-04-29,"Adhesive for processing a microelectronic substrate, and related methods",0,B24B|C08G|C08L|C09J|G11B|H01L
12282681,2025-04-22,"Balancing power, endurance and latency in a ferroelectric memory",0,G06F|G11C
12282438,2025-04-22,Scalable storage using NVMe communication,0,G06F
12260117,2025-03-25,Secure command memory buffer transfers in a low trust environment,0,G06F
12235961,2025-02-25,Malware mitigating storage controller,0,G06F
12229933,2025-02-18,Method for grain size analysis,0,G06T
12197782,2025-01-14,Hint-based fast data operations with replication in object-based storage,0,G06F
12197750,2025-01-14,Radiation-resistant data storage device,0,G06F
12189831,2025-01-07,Cartridge data storage with information-theoretic security,0,G06F
12182444,2024-12-31,Efficient scheduling of data storage disc input/output,0,G06F
12166873,2024-12-10,Updateable encryption in self encrypting drives,0,G06F|H04L
12164814,2024-12-10,Data storage system with distributed operations for known hardware,0,G06F
12157847,2024-12-03,"Methods of forming an adhesive layer, and related adhesive films and methods and systems of using adhesive films",0,B05D|B24B|C09J|H01L|Y10T
12135895,2024-11-05,Hot data management in a data storage system,0,G06F
12099646,2024-09-24,Prospective generation and storage of content for an alternate reality environment,0,G06F|G06T
12099642,2024-09-24,No latency hardware interposer,0,G06F
12093568,2024-09-17,Segregated filesystem metadata operations using buffered atomic write interface,0,G06F
12093559,2024-09-17,Distributed data storage system with dedicated processing lane,1,G06F
12093546,2024-09-17,Operating multiple storage devices using NVM interface,0,G06F
12086462,2024-09-10,Pre-suspend before program in a non-volatile memory (NVM),0,G06F
12086455,2024-09-10,Data storage system with workload-based asymmetry compensation,0,G06F
12079355,2024-09-03,Performing remote hidden compute functions in one or more processing devices,0,G06F
12061701,2024-08-13,On-chip NVM ISP emulation in FPGA,0,G06F
12057147,2024-08-06,Thin-film crystalline structure with surfaces having selected plane orientations,0,B81C|B82B|B82Y|G11B|H01F|H01L
12050781,2024-07-30,Distributed data storage system with bottleneck mitigation,0,G06F
12027190,2024-07-02,Method of for bonding noble metal structure with a dielectric layer using an adhesive layer,0,C23C|G11B|H01L|Y10T
12019898,2024-06-25,Data storage system with workload-based dynamic power consumption,0,G06F|Y02D
12013857,2024-06-18,Identifying hot items in a distributed storage system,0,G06F
