patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12430603,2025-09-30,"Method, apparatus, and system for multimodal position selection for a tracking device",0,G01S|G06Q|H04W
12412121,2025-09-09,Determining traffic violation hotspots,0,G01C|G06F|G06N|G08G
12406332,2025-09-02,"Method, apparatus, user interface, and computer program product for identifying map objects or road attributes based on imagery",0,G01C|G06F|G06T|G06V
12406180,2025-09-02,"Method, apparatus, and system for providing a location representation for machine learning tasks",0,G01C|G06F|G06N
12401994,2025-08-26,"Method, apparatus, and computer program product for anonymizing trajectories",0,G01C|G06F|G08G|H04W
12387533,2025-08-12,System and method for vehicle diagnostics,0,B60R|G06N|G06Q|G07C
12382243,2025-08-05,Method and apparatus for a region discovery service,0,H04W
12375878,2025-07-29,Private location verification and enhancement,0,H04L|H04W
12372371,2025-07-29,System and method for updating map data,0,G01C|G06N
12363495,2025-07-15,"Method, apparatus and computer program product for syntax based dynamic audio shifting",0,G01C|G06F|H04R|H04S
12337621,2025-06-24,Apparatus and methods for providing tire pressure analysis,0,B60C|G06N
12332062,2025-06-17,Apparatus and methods providing a map layer noise levels,0,G01C|G06T|G06V
12326342,2025-06-10,"Method, apparatus and computer program product for lane level toll plaza congestion modeling",0,B60W|G01C|G06F|G06N|G06V|G08G
12323397,2025-06-03,Method and apparatus for managing user requests related to pseudonymous or anonymous data,0,G06F|H04L
12322289,2025-06-03,Method and system of special vehicle notification in HD map to improve AV driving safety,0,B60K|B60W|G06N|G06V|G08G|H04L|H04W
12300000,2025-05-13,Method and apparatus for computer-vision-based object motion detection,0,G06T|G06V
12299973,2025-05-13,"Method, apparatus, and system for determining a confidence level for map feature identification in a map application",0,G01C|G06N|G06T|G06V
12299761,2025-05-13,"Method, apparatus, and computer program product for quantifying public transport coverage",0,G01C|G05B|G06Q|G08G
12299080,2025-05-13,"Method, apparatus, and system for traffic estimation based on anomaly detection",0,G01S|G06F|G06N|G08G
