patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432154,2025-09-30,MACsec architecture,0,H04L
12430268,2025-09-30,Efficient signaling scheme for high-speed ultra short reach interfaces,0,G06F|H01L|H04L
12430108,2025-09-30,Multistage compiler architecture,0,G06F
12426051,2025-09-23,Methods and apparatus for control channel detection in an uplink shared channel,0,H04L|H04W
12425070,2025-09-23,Adaptive cancellation of asynchronous near-end crosstalk,0,G06F|H04B
12413656,2025-09-09,Communication of sensor data in a motor vehicle communication network,0,H04L|H04N|H04W
12413336,2025-09-09,Methods and apparatus for decoding received uplink transmissions using log-likelihood ratio (LLR) optimization,0,G06N|H03M|H04L
12411764,2025-09-09,"Multi-chiplet module system, method and device",0,G06F
12407657,2025-09-02,In-band DSP management interface,0,G06F|H04L
12405899,2025-09-02,Innovative way to improve the translation lookaside buffer (TLB) miss latency,0,G06F
12401729,2025-08-26,Internal communications within a network device,0,H04L
12399549,2025-08-26,Packet processing system with energy saving features,0,G06F
12395417,2025-08-19,Circuit and method for timestamp filtering with RLS filter,0,H04L
12395261,2025-08-19,Time-of-day correction for network clock protocol,0,H04J|H04L
12395260,2025-08-19,Time aligned multi-packet delivery,0,H04J|H04L
12393737,2025-08-19,"Hardware security module adapter system, method and device with active switch",0,G06F|H05K
12393520,2025-08-19,"Address translation system, method and device",0,G06F
12393437,2025-08-19,Method and apparatus for supporting security implementation in a virtual network,0,G06F|H04L
12388699,2025-08-12,Methods and apparatus for frequency offset estimation,0,H04L
12388488,2025-08-12,Spread spectrum modulation over an asymmetric ethernet link,0,H04B|H04J|H04L
12386625,2025-08-12,System and method for instruction unwinding in an out-of-order processor,0,G06F
12382394,2025-08-05,Frequency division multiple access (FDMA) support for wakeup radio (WUR) operation,0,H04W|Y02D
12381963,2025-08-05,Method of using bit vectors to allow expansion and collapse of header layers within packets for enabling flexible modifications and an apparatus thereof,0,H04L
12381631,2025-08-05,Coherent receiver with polarization diversity clock detection,0,H04B|H04L
12380072,2025-08-05,Method and system for performing a compaction/merge job using a merge based tile architecture,0,G06F
12375585,2025-07-29,Methods and apparatus for compressing data streams,0,G06N|H03M|H04L
12375378,2025-07-29,Physical layer transceiver with reduced variation in packet latency,0,H04B|H04J|H04L
12375256,2025-07-29,Time aware link-level telemetry,0,H04J|H04L
12375223,2025-07-29,Automatic resending of WUP by slave device,0,G06F|H04L|H04W|Y02D
12375205,2025-07-29,Systems and methods for performance monitoring with forward error correction mechanism,0,H04L
12375110,2025-07-29,Ethernet physical layer transceiver with graceful temperature protection,0,H04B|H04L|H04Q|H05K
12369016,2025-07-22,Midamble format for packets in a vehicular communication network,0,H04L|H04W
12368606,2025-07-22,Secure verification of physical unclonable function,0,H04L
12368528,2025-07-22,Optical transmitter with encoder encoding processed data including concatenating parity bits to generate fec data blocks,0,H03M|H04B|H04L
12363018,2025-07-15,Circuit and method for timestamp jitter reduction,0,H04J|H04L
12362293,2025-07-15,Double seal ring and electrical connection of multiple chiplets,0,H01L
12356243,2025-07-08,Methods and apparatus for distributed baseband signal processing for fifth generation (5G) new radio downlink signals,0,H04B|H04L|H04W
12355693,2025-07-08,"Methods and apparatus for symbol-to-symbol multiplexing of control, data, and reference signals on an uplink",0,H04L
