patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432353,2025-09-30,Artificial intelligence for semi-automated dynamic compression of images,0,G06F|G06T|G06V|H04N
12432252,2025-09-30,Method and system for predicting malicious entities,0,G06F|G06N|H04L
12432213,2025-09-30,Access control lists rules reduction,0,H04L
12432148,2025-09-30,Transport layer network recovery for packet-switched computer networks,0,H04L
12432147,2025-09-30,Systems and methods for routing data packet in a unified wide area network,0,H04L
12432124,2025-09-30,Adaptable real-time communications plugin for virtual desktop infrastructure solutions,0,G06F|H04L
12432080,2025-09-30,Persistent display of prioritized participants with shared content of communication sessions,0,G06F|G09G|H04L|H04N
12430839,2025-09-30,Temporal and spatial coherence in ray tracing,0,G06T
12430730,2025-09-30,Correcting distortion from camera pitch angle,0,G06T|H04N
12430709,2025-09-30,Automated display zoom based on movement of user,0,G06F|G06T|G09G
12430567,2025-09-30,Multiplex similarity search in DNA data storage,0,C40B|G06F|G06N|G16B
12430462,2025-09-30,Telemetry sampling scanning for exposed secrets and other sensitive data,0,G06F
12430428,2025-09-30,Determining anomalous tool invocations by applications using large generative models,0,G06F|G06N
12430427,2025-09-30,"Methods, systems and computer programs for detecting potentially suspicious resource access events",0,G06F
12430424,2025-09-30,Anomalous pattern detection for control of computer networks,0,G06F|H04L
12430414,2025-09-30,System and method for generating synthetic profiles for training biometric verification systems,0,G06F|G10L
12430409,2025-09-30,Third party based pirated copy tracing,0,G06F|G06Q|H04L
12430388,2025-09-30,AI-based personalized bulk design content creation,0,G06F
12430360,2025-09-30,Transaction log service with local log replicas,0,G06F
12430328,2025-09-30,Generation of synthetic data for query generation,0,G06F|G06N
12430326,2025-09-30,Graph embedding for service health incident insights,0,G06F
12430311,2025-09-30,Budget-constrained index tuning in database systems,0,G06F
12430266,2025-09-30,Local page writes via pre-staging buffers for resilient buffer pool extensions,0,G06F
12430184,2025-09-30,Predictive quota management for cloud customers,0,G06F
12430167,2025-09-30,Workflow-based scheduling and batching in multi-tenant distributed systems,0,G06F
12430165,2025-09-30,Implementing a policy-based agent with plugin infrastructure,0,G06F
12430161,2025-09-30,Support of virtual network and non-virtual network connectivity on the same virtual machine,0,G06F|H04L
12430160,2025-09-30,User-controlled firmware for hosted virtual machines,0,G06F
12430081,2025-09-30,Log-based block cache de-stage and backend storage,0,G06F
12430061,2025-09-30,Hardware-based memory compression,0,G06F|H03M
12430031,2025-09-30,Computing device with independently coherent nodes,0,G06F
12430020,2025-09-30,Application window preview panels,0,G06F|G09G
12430011,2025-09-30,Voice assistant-enabled client application with user view context and multi-modal input support,0,G06F|G10L
12430002,2025-09-30,Structured arrangements for tracking content items on a shared user interface,0,G06F|G06Q|H04L
12429951,2025-09-30,Touch surface force determination,0,G06F
12429355,2025-09-30,Mining map data to predict turn restrictions,0,G01C|G06F|G06N|G06V
12428887,2025-09-30,Hinge mechanism,0,E05D|E05Y|G06F|H04M
12427412,2025-09-30,Systems and methods for presenting visual content,0,A63F|G06F
12427407,2025-09-30,Latency sensitive packet tagging within a host virtual machine,0,A63F|G06F|H04L|H04W
12425879,2025-09-23,Real-time radio access network analytics,0,H04B|H04W
12425706,2025-09-23,Shared window for computing device camera lenses and photoflash,0,G02B|G03B|G06F|H04N
12425516,2025-09-23,Indication of tone support via format specifier,0,G09B|H04L|H04M
12425489,2025-09-23,Inserting and replacing placeholders in resource code,0,H04L
12425486,2025-09-23,Call forwarder for air-gapped networks,0,H04L
12425483,2025-09-23,Framework for managing configurations of cloud computing resources,0,G06F|H04L
12425448,2025-09-23,Detecting a spoofed entity based on complexity of a distribution of events initiated by the spoofed entity,0,G06F|H04L|H04W
12425389,2025-09-23,Dynamic attachment of secure properties to machine identity with digital certificates,0,H04L
12424864,2025-09-23,Power supply unit charging modes,0,G06F|H02J
12424239,2025-09-23,System and method for acoustic channel identification-based data verification,0,G06Q|G06V|G10L|H04M|H04N|H04S
12423769,2025-09-23,Selecting a reprojection distance based on the focal length of a camera,0,G02B|G06T|H04N
12423655,2025-09-23,Roster management across organizations,0,G06Q|H04L
12423620,2025-09-23,Intent-based task representation learning using weak supervision,0,G06F|G06N
12423613,2025-09-23,Environment-specific training of machine learning models,0,G06N
12423581,2025-09-23,Selecting a neural network architecture for a supervised machine learning problem,0,G06N
12423511,2025-09-23,Multiple datapoint formats in spreadsheets,0,G06F|H04L
12423468,2025-09-23,Smart sampling for sensitive data detection,0,G06F
