patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432615,2025-09-30,"Artificial satellite, satellite communication system, space data center, business device, content distribution business device, network business device, server business device, space data center business device, ground installation, low-earth-orbit broadband constellation business device, and on-demand content distribution method",0,H04B|H04W
12431421,2025-09-30,Semiconductor device,0,H01L
12431413,2025-09-30,Semiconductor package and semiconductor device,0,H01L
12426336,2025-09-23,"Semiconductor device, and method of manufacturing semiconductor device",0,H01L|H10D
12425754,2025-09-23,"Optical line terminal, optical communication system, bandwidth allocation method, control circuit, and storage medium",0,H04L|H04Q
12425122,2025-09-23,Information leakage prevention shield device,0,G06F|H04K
12424980,2025-09-23,Doherty amplifier,0,H01L|H03F
12424526,2025-09-23,Semiconductor device and power conversion device,0,H01L|H02P
12424500,2025-09-23,Semiconductor device and method for manufacturing semiconductor device,0,H01L
12423342,2025-09-23,"Semantic relationship learning device, semantic relationship learning method, and storage medium storing semantic relationship learning program",0,G06F|G06N
12423083,2025-09-23,Code adjustment device and code adjustment method,0,G06F
12422812,2025-09-23,Malfunction analysis support program storage medium and malfunction analysis support apparatus,0,B25J|G05B|H04N
12422539,2025-09-23,"Position management server, radio communication system, control circuit, storage medium, and mobile object position managing method",0,G01S|H04W
12419545,2025-09-23,Respiration information estimation device and respiration information estimation method,0,A61B|G06T
12418487,2025-09-16,"Method of processing set of stream in view of configuring time-sensitive network, and time-sensitive network system",0,H04L
12417951,2025-09-16,Semiconductor device and power conversion device,0,H01L|H02M|H05K
12417908,2025-09-16,Semiconductor device and method for manufacturing semiconductor device,0,H01L|H10D
12417625,2025-09-16,Loss contribution detecting method and loss contribution detecting system,0,G06N|G06V
12417612,2025-09-16,Rail detecting device and rail detection method,0,B60R|B61L|G06T|G06V
12412861,2025-09-09,"Metal jointed body, semiconductor device, wave guide tube, and method for joining members to be joined",0,B23K|G02B|H01L
12412816,2025-09-09,"Power semiconductor module, power conversion apparatus, and moving body",0,B60L|H01L|H02M
12412813,2025-09-09,Semiconductor module,0,H01L|H02M
12412015,2025-09-09,Simulation model and simulation method,0,G06F|H03K|H10D
12407698,2025-09-02,"Information processing device, information processing method, and computer readable medium",0,G06F|H04L
12406894,2025-09-02,Semiconductor device including first and second semi-insulating layers,0,H01L|H10D
12406415,2025-09-02,"Device, method, and non-transitory computer-readable medium for preparing single-line diagram",0,G01R|G06F|G06T
12405589,2025-09-02,"Programmable logic controller, sequence control system, and non-transitory computer readable medium",0,G05B|G06F
12401378,2025-08-26,Optical communication system,0,H03M|H04B|H04L|H04Q
12401111,2025-08-26,Antenna,0,H01L|H01Q
12400457,2025-08-26,"Object detection device, monitoring device, training device, and model generation method",0,G01J|G06T|G06V
12400044,2025-08-26,"Dimension creation device, dimension creation method, and recording medium",0,G06F
12398958,2025-08-26,Cooling device,0,F28D|H01L|H05K
12398901,2025-08-26,"Air conditioning system, operation terminal, and non-transitory computer-readable storage medium",0,F24F|H04W
12397417,2025-08-26,"Learning device, diagnostic system, and model generation method to diagnose abnormality based on temperature measurement in a production facility",0,B25J|G01J|G01K|G05B|G06T|G06V|Y02P
12396207,2025-08-19,Silicon carbide semiconductor device and power conversion apparatus,0,H01L|H02M|H10D
12396059,2025-08-19,"Communication system, communication terminal, and network",0,H04W
12395595,2025-08-19,"Device housing, image reading device, and electrostatic capacitance detection device including a ground auxiliary conductor disposed over a level difference existing between a plane including an electrically conductive surface and a plane including a ground conductor",0,H01L|H04N|H05K|H10F
12395326,2025-08-19,"Classical computer, information processing method, and computer readable medium",0,G06F|G06N|H04L
12394249,2025-08-19,Action-model generation apparatus and action-model generation method,0,G06T|G06V
12393780,2025-08-19,"Information processing device, and generation method",0,G06F
12393722,2025-08-19,"Encrypted tag generation apparatus, searchable encryption system, encrypted tag generation method, and computer readable medium",0,G06F|H04L
12393189,2025-08-19,"Communication management device, communication management method, driving support device, driving support method and computer readable medium",0,G05D|G08G|H04W
12391402,2025-08-19,"Aircraft position control system, aircraft, and aircraft position control method",0,B64C|B64D|B64F|B64U|G05D|G06T
12390871,2025-08-19,System and method for controlling a wire electric discharge machine,0,B23H|G01H|G06T|G06V
12389130,2025-08-12,"Camera control device, camera control method, and image capture device",0,G03B|H04N
12388769,2025-08-12,Resource allocation device and resource allocation method,0,H04L
12388621,2025-08-12,"Cryptographic system, encryption device, decryption device, and key generation device",0,H04L
12387934,2025-08-12,Method of manufacturing semiconductor element,0,H01L|H10D
12382697,2025-08-05,Semiconductor device and method for manufacturing the same,0,H01L|H10D
12382373,2025-08-05,"Processing device, communication device, communication system, control circuit, storage medium, and information sharing method",0,H04L|H04W
12381765,2025-08-05,Method and device for transmitting binary data,0,H04L
12380731,2025-08-05,"Information processing device, and emotion estimation method",0,A61B|G06F|G06T|G06V
12380264,2025-08-05,"Learning apparatus, inference apparatus, and programmable logic device development toolchain",0,G06F
12379562,2025-08-05,Optical sensor module and manufacturing method thereof,0,G02B|H01L|H10F|Y02P
12375989,2025-07-29,"Mobile communication system, base station, master base station, secondary base station and user equipment",0,H04L|H04W|Y02D
12375131,2025-07-29,Mobile communication system,0,H04B|H04J|H04L|H04W
12374662,2025-07-29,Semiconductor power module and power conversion apparatus,0,H01L|H02M|H02P
12374649,2025-07-29,"Semiconductor device, and method of manufacturing semiconductor device",0,H01L
12374605,2025-07-29,Semiconductor device,0,H01L|H05K
12374082,2025-07-29,"Detection result analysis device, detection result analysis method, and computer readable medium",0,G06T|G06V
12368387,2025-07-22,Power conversion device with board retention member,0,B60R|H01L|H02M|H05K
12367659,2025-07-22,"Learning device, learning method, inference device, and storage medium",0,G06N|G06T|G06V
12367572,2025-07-22,Computing device and computing method for evaluating strength of article formed by 3D printer,0,B29C|B33Y|G01N|G06F|G06T
12367455,2025-07-22,Member attachment support system and member attachment support method,0,B23P|F01D|F02C|F05D|G05B|G06F|G06K|G06Q|G06T|Y02P
12365372,2025-07-22,"Train monitoring device, generation device, and event detection definition generation method",0,B60L|B61L|G07C|H04L
12365310,2025-07-22,"System, and communication device",0,B60R|G01S|H04W
12363943,2025-07-15,Semiconductor device and power conversion device,0,H01L|H10D
12363615,2025-07-15,"Communication point determination device, communication point determination method and program, and inspection system",0,G01S|H04B|H04W
12363237,2025-07-15,Image-reading device comprising a plurality of optical components arranged along the scanning direction board components arranged to have a second clearance therebetween and board components fixed to the housing,0,H04N
12362332,2025-07-15,Semiconductor device,0,H01L
12362292,2025-07-15,Semiconductor device,0,H01L
12360986,2025-07-15,Database language re-issue device,0,G06F
12360600,2025-07-15,Control device and program,0,A63F|G06F|H04R
12358012,2025-07-15,Injection device and injection method,0,B05B|B65B|H01L
12356696,2025-07-08,"Silicon carbide semiconductor device, power converter, and method for manufacturing silicon carbide semiconductor device",0,H01L|H02P|H10D
12355883,2025-07-08,"Information processing device, information processing method, and computer readable medium",0,G06F|G06N|H04L
12354878,2025-07-08,"Semiconductor device having semiconductor substrate including hydrogen-related donor, and manufacturing method therefor",0,H01L|H10D
12354253,2025-07-08,"Alignment system, alignment method, and recording medium",0,G05B|G05D|G06T
12354188,2025-07-08,"Display system, virtual space providing apparatus, and display method",0,G06T
12353983,2025-07-08,Inference device and method for reducing the memory usage in a weight matrix,0,G06F|G06N
12353860,2025-07-08,"Programmable controller system, development support device, and recording medium",0,G05B|G06F
12353184,2025-07-08,"Programmable controller, programmable controller system, and recording medium",0,G05B|G06F
12348863,2025-07-01,"Video transmission system, video transmission method, and video reception device",0,G06V|H04N
12348517,2025-07-01,"Control system, control apparatus, device controlling method and recording medium",0,H04L|H04Q
12347814,2025-07-01,Semiconductor package and semiconductor device,0,H01L
12347741,2025-07-01,Semiconductor device comprising a resin member having a rib including a lower end located below lower ends of a plurality of pin fins and semiconductor device manufacturing method,0,H01L
12347075,2025-07-01,Infrared image processing device and infrared image processing method,0,G06T|H04N
12345739,2025-07-01,Semiconductor test apparatus and semiconductor test method,0,G01R|H01L
12345607,2025-07-01,"Gasket connection reliability evaluation system, gasket connection reliability evaluation method, and program",0,G01M|G06F
