patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12431685,2025-09-30,"Light-emitting device, heat transfer member, and optical measurement device",0,G01S|H01L|H01S|H10H
12430741,2025-09-30,"Image quality evaluation method, image quality evaluation apparatus, and non-transitory computer readable medium",0,G06T
12430499,2025-09-30,"Information processing apparatus, non-transitory computer readable medium, and information processing method for preventing an unintentional hiding of a document image during a user operation",0,G06F
12430293,2025-09-30,Information processing apparatus and non-transitory computer readable medium for selecting and executing a workflow on file by dragging and dropping the file on a particular folder,0,G06F|G06Q
12424012,2025-09-23,Information processing apparatus,0,G06F|G06V
12423506,2025-09-23,"Information processing system, information processing method and computer readable medium",0,G06F
12423360,2025-09-23,Information processing system and non-transitory computer readable medium storing program for data categorization,0,G06F|G06V
12423039,2025-09-23,"Workflow processing apparatus, non-transitory computer readable medium storing program, and workflow processing method",0,B41C|G06F|Y02P
12423034,2025-09-23,"Information processing apparatus, image forming apparatus, information processing system, and non-transitory computer readable medium storing information processing program",0,G06F
12422975,2025-09-23,Information processing device and non-transitory computer readable medium,0,G06F|H04N|Y02P
12422957,2025-09-23,"Information processing apparatus, computer readable medium, and information processing method for determining position of non-contact operation on operation surface",0,G06F
12421064,2025-09-23,Feeding device and image forming apparatus,0,B65H|H04N
12418618,2025-09-16,"Information processing apparatus, information processing method, and non-transitory computer readable medium",0,H04N
12418161,2025-09-16,Light emitting apparatus and information processing apparatus,0,G01B|G01S|H01L|H01S
12411593,2025-09-09,"Information processing system for providing file image information, information processing method, and non-transitory computer readable medium",0,G06F
12407786,2025-09-02,Information processing apparatus for detecting nearby users and transitioning between energy consumption modes,0,H04N|Y02D
12406073,2025-09-02,"Access management apparatus, non-transitory computer readable medium, and access management method",0,G06F|G06Q
12405754,2025-09-02,"Printing system, information processing apparatus, and non-transitory computer readable medium storing program",0,G06F|G06K
12401753,2025-08-26,"Information processing apparatus, non-transitory computer readable medium storing information processing program, and information processing method",0,H04N
12400190,2025-08-26,"Information processing apparatus, non-transitory computer readable medium storing program, and information processing method for enabling device to be used based on contract between organization and contract source",0,G06F|G06Q
12399663,2025-08-26,"Information processing apparatus, non-transitory computer readable medium, and information processing method for handling setting changes",0,G06F
12399662,2025-08-26,"Information processing apparatus, information processing method, and non-transitory computer readable medium for registering positional information of image forming apparatus controlled as virtual printer by server",0,G06F
12399569,2025-08-26,Non-transitory computer readable medium,0,G06F
12395596,2025-08-19,"Image processing apparatus, non-transitory computer readable medium, and method",0,H04N
12394125,2025-08-19,Information processing apparatus and non-transitory computer readable medium,0,G06T
12394104,2025-08-19,"Information processing apparatus, non-transitory computer readable medium storing program, and information processing system",0,G06F|G06T|G06V|H04N
12393389,2025-08-19,"Information processing apparatus, non-transitory computer readable medium storing program, and information processing method",0,G06F|H04L
12393383,2025-08-19,"Information processing apparatus, non-transitory computer readable medium, and information processing method for creating adapted workflows for external devices",0,G06F|H04N|Y02P
12393297,2025-08-19,Information processing apparatus and non-transitory computer readable medium storing information processing program,0,G06F|H04N
12388938,2025-08-12,"Image processing apparatus, non-transitory computer readable medium, and method",0,H04N
12388936,2025-08-12,Document reading device and image forming apparatus,0,H04N
12387744,2025-08-12,"Information processing apparatus, non-transitory computer readable medium storing information processing program, and information processing method",0,G06F|G06Q|G10L
12386573,2025-08-12,"Information processing apparatus, terminal device, and non-transitory computer readable medium storing information processing program",0,G06F|H04N
12386570,2025-08-12,"Printing system, information processing apparatus, and non-transitory computer readable medium storing program",0,G06F
12381986,2025-08-05,"Information processing apparatus, non-transitory computer readable medium storing computer program, and information processing method",0,H04N
12374114,2025-07-29,"Information processing apparatus, information processing method, and non-transitory computer readable medium",0,G06T|G06V|H04N
12373049,2025-07-29,"Information processing apparatus, non-transitory computer readable medium storing program, and information processing method",0,G06F
12367459,2025-07-22,"Information processing apparatus, non-transitory computer readable medium storing program, and information processing method for transferring object between personal and shared workspaces",0,G06F|G06Q
12363202,2025-07-15,Information collection system and information processing apparatus,0,H04L|H04W
12360714,2025-07-15,"Image forming apparatus, non-transitory computer readable medium storing program, and image forming method",0,G06F|Y02D
12360613,2025-07-15,"Information processing device, information processing method, and non-transitory computer readable medium",0,G06F|G06T
12356299,2025-07-08,"Information processing apparatus, non-transitory computer readable medium, and information processing method",0,H04W
12355929,2025-07-08,Image reading apparatus and image forming system,0,B65H|H04N
12355927,2025-07-08,Information processing apparatus and information processing method,0,G06V|H04N
12355921,2025-07-08,"Information processing apparatus, information processing method, and non-transitory computer readable medium",0,H04M|H04W
12353932,2025-07-08,"Control device, control method, and non-transitory computer readable medium for using unused signal lines in case of error in communication interface",0,G06F|G06K
12353459,2025-07-08,Information processing apparatus and non- transitory computer readable medium,0,G06F
12348691,2025-07-01,Determine whether OCR is to be performed for optimizing optical character recognition process,0,H04N
12348685,2025-07-01,"Information processing apparatus, non-transitory computer readable medium storing program, and information processing method",0,H04N
12348683,2025-07-01,"Printed-matter inspection system, computer product, and method for displaying dummy page for scanned image of target",0,H04N|Y02P
12348664,2025-07-01,"Information processing apparatus, method and non-transitory computer readable medium",0,G06F|H04L|H04M
12348473,2025-07-01,"Non-transitory computer readable medium, information processing apparatus, and information processing method for saving or forwarding extracted message",0,H04L
12348362,2025-07-01,"Information processing system, management apparatus, and non-transitory computer readable medium storing program",0,H04L
12346618,2025-07-01,"Information processing apparatus, non-transitory computer readable medium storing program, and information processing method",0,G06F|H04N
12346528,2025-07-01,Systems and methods for chat message management and document generation on devices,0,G06F|H04L|H04W
12346486,2025-07-01,"Encryption processing system, non-transitory computer readable medium storing encryption processing program, and encryption processing method",0,G06F
12346049,2025-07-01,Driving device and image forming apparatus,0,G03G|H04N
12341937,2025-06-24,Information processing apparatus and non-transitory computer readable medium,0,H04N
12340133,2025-06-24,"Image forming apparatus and method, image forming system, and non-transitory computer readable medium",0,G06F
12340131,2025-06-24,"Information processing apparatus, information processing method, and non-transitory computer-readable recording medium recording program",0,G06F|H04N
12333570,2025-06-17,"Information processing apparatus, non-transitory computer readable medium storing information processing program, and method",0,G06Q
12333196,2025-06-17,Information processing device and non-transitory computer readable medium,0,G06F
12328420,2025-06-10,Document reading device and image forming apparatus,0,H04N
12323419,2025-06-03,"Information processing apparatus, method, and computer readable medium",0,G06F|H04L
12321650,2025-06-03,"Information processing apparatus for adding high-confidentiality information to first page of printing data that contains highly confidential data, printing system, and non-transitory computer readable medium",0,G06F|Y02P
12321649,2025-06-03,"Apparatus, system, mobile terminal, non-transitory computer readable medium, and method for managing consumables used in image forming apparatus",0,G06F|G06Q|H04N
12319524,2025-06-03,Sheet containing apparatus and image forming apparatus,0,B65H|G03G|H04N
12317632,2025-05-27,"Coating device, coating method, and method for manufacturing photoconductor for suppressing occurrence of bubble defects in coated film",0,B05C|B05D|G03G|H01L|H10F
12311082,2025-05-27,"Information processing system, non-transitory computer readable medium, and booth",0,A61L|F24F|G06Q
12309854,2025-05-20,"Information processing system, apparatus, and non-transitory computer readable medium storing program for managing and using connection record list for connection",0,H04L|H04W
12309337,2025-05-20,"Information processing apparatus, non-transitory computer readable medium storing information processing program, and information processing method",0,H04N
12307146,2025-05-20,"Image forming apparatus, non-transitory computer readable medium, and image forming method",0,G06F
12307068,2025-05-20,"Information processing apparatus, non-transitory computer readable medium storing information processing program, and information processing method",0,G06F|H04N
12301772,2025-05-13,Information processing device and non-transitory computer readable medium for associating information with registration method,0,G06V|H04L|H04N
12299334,2025-05-13,"Image forming system, non-transitory computer readable medium storing program, and image forming method for accommodating a paper sheet and executing processing of printing an image on the accommodated paper sheet",0,G06F
12288501,2025-04-29,"Information processing device, information processing system, and non-transitory computer readable medium for displaying virtual screen of an object in virtual space",0,G06F|G06V|G09G
12287996,2025-04-29,"Information processing apparatus, information processing method, and non-transitory computer readable medium",0,G06F
12287994,2025-04-29,"Printing control apparatus, non-transitory computer readable medium storing program, and printing control method",0,G06F|G06K|H04N
12282692,2025-04-22,Print control device and non-transitory computer readable medium storing program,0,G06F
12278933,2025-04-15,"Information processing apparatus, non- transitory computer readable medium storing program and information processing method for personalized collaboration in shared digital workspaces",0,G06F|G06Q|H04L|H04N
12277356,2025-04-15,"Image processing apparatus for requesting administrator to perform registration of image processing apparatus and user on print service apparatus, image processing system, and non-transitory computer readable storage medium",0,G06F
12271679,2025-04-08,"Computer readable medium, information processing apparatus and information processing method",0,G06F
12271641,2025-04-08,Information processing apparatus and non-transitory computer readable medium that provide multi-factor authentication,0,G06F|H04N
12267470,2025-04-01,"Information processing apparatus, non-transitory computer readable medium storing program, and information processing method",0,G06V|H04N
12266201,2025-04-01,"Information processing apparatus, document management system, and non-transitory computer readable medium",0,G06F|G06V
12265705,2025-04-01,"Control apparatus, display system, method, and non-transitory computer readable medium storing program for controlling displayed images in response to positional change of terminal device",0,G06F|H04N
12265350,2025-04-01,"Print system, information processing apparatus, and non-transitory computer readable medium",0,G03G|G06F
12262292,2025-03-25,Non-transitory computer readable medium and information processing system,0,G06F|H04L|H04N|H04W
12261994,2025-03-25,"Display system, display control device, and non-transitory computer readable medium for causing image to be displayed by pixel set",0,G06T|H04N
12261987,2025-03-25,"Image forming apparatus, non-transitory computer readable medium, and image forming method",0,H04N
12261985,2025-03-25,"Information processing apparatus, non-transitory computer readable medium storing program, and information processing method for optimizing resource allocation and data consistency",0,H04N
12261982,2025-03-25,Image processing system and non-transitory computer readable medium storing program for distributing and recording logs of image processing,0,H04N
12261710,2025-03-25,Information processing apparatus and method and non-transitory computer readable medium,0,G10L|H04L
12261414,2025-03-25,"Light-emission device, optical device, and information processing device",0,G01S|G06F|G06V|H01S|H04L|H04W|Y02D
12260569,2025-03-25,"Information processing device, information processing system, and non-transitory computer readable medium",0,G06T|G06V
12260135,2025-03-25,"Information processing device, printing system, and non-transitory computer readable medium for preventing leakage of confidential data contained in print data",0,G06F
12259751,2025-03-25,"Display control device, display device, and non-transitory computer readable medium",0,G06F
12259424,2025-03-25,Information processing apparatus and non-transitory computer readable medium storing program,0,G01R|G06T
12256047,2025-03-18,Terminal device and non-transitory computer readable medium with menu for service selection,0,H04N
12254226,2025-03-18,"Image processing system, image forming apparatus, and computer readable medium for execution of a job in a shared space",0,G06F
12250575,2025-03-11,"Information processing apparatus, information processing method, and non-transitory computer readable medium",0,H04W
