patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432746,2025-09-30,Apparatus and method of communication of same,0,H04L|H04W
12432721,2025-09-30,"Resource configuration method and apparatus, terminal device and network device",0,H04L|H04W
12432700,2025-09-30,"Initial access method, controlled device and controlling device",0,H04L|H04W
12432693,2025-09-30,"Paging method, terminal device and network device",0,H04L|H04W
12432687,2025-09-30,"Communication method and apparatus, device, system, and storage medium",0,G01S|H04B|H04W
12432645,2025-09-30,Information processing method and electronic device,0,H04L|H04W
12432584,2025-09-30,Communication method and device,0,H04L|H04W
12432440,2025-09-30,"Image processing method, image processing apparatus, electronic device, and storage medium",0,G06F|H04N
12432341,2025-09-30,"Methods for intra prediction, and encoder",0,G06T|H04N
12431744,2025-09-30,"Wireless receiving device, wireless charging system, wireless charging method",0,G06F|H02J
12430010,2025-09-30,"Screen recording method, electronic device, and storage medium",0,G06F|H04N
12426097,2025-09-23,Communication device and method of transmission of same,0,H04L|H04W
12426054,2025-09-23,Channel processing method and electronic device,0,H04W|Y02D
12425946,2025-09-23,Terminal device and network device,0,H04L|H04W
12425915,2025-09-23,"Quality of service (QoS) control method, terminal device, and network device",0,H04W
12425908,2025-09-23,"Data transmission method, electronic device, and storage medium",0,H04W
12425903,2025-09-23,"Method and apparatus for adjusting random access parameter, and device and storage medium",0,H04W
12425898,2025-09-23,"Connection configuration method, device and storage medium",0,H04W
12425644,2025-09-23,"Method for video processing, encoder for video processing, and decoder for video processing",0,G06N|H04N
12425210,2025-09-23,"Switching processing method, terminal device and storage medium",0,H04L|H04W
12425174,2025-09-23,"Channel processing method, apparatus, device and storage medium",0,H04L|H04W
12423873,2025-09-23,"Method for constructing morton codes, encoder, decoder, and storage medium",0,G06F|G06T
12419123,2025-09-16,"Image sensor, camera assembly, and mobile terminal",0,H04N|H10F
12418857,2025-09-16,"Cell access methods, electronic device and storage medium",0,H04W
12418334,2025-09-16,"Codebook feedback method, network device, terminal device, and computer storage medium",0,H04B|H04L|H04W
12414198,2025-09-09,"Secondary node change method, terminal device and network device",0,H04W
12414160,2025-09-09,"2-step random access method and apparatus, terminal and storage medium",0,H04W
12414111,2025-09-09,"Method for wireless communication, terminal device, and network device",0,H04L|H04W
12414110,2025-09-09,Apparatus and method of wireless communication,0,H04L|H04W
12414034,2025-09-09,"Resource determination method and apparatus, and device and storage medium",0,H04W
12414032,2025-09-09,"Relay method, routing table generation method and apparatus, terminal, and storage medium",0,H04W
12414008,2025-09-09,"Data transmission method, apparatus, device and storage medium",0,H04L|H04W
12413976,2025-09-09,"BLE mesh device provisioning method, apparatus, and device",0,H04W|Y02D
12413766,2025-09-09,"Method for picture prediction, encoder, and decoder",0,H04N
12413736,2025-09-09,History-based rice parameter derivations for video coding,0,G01N|H04N
12413717,2025-09-09,"Intra prediction method, coder, decoder, and coding and decoding system",0,H04N
12413706,2025-09-09,Image signal encoding/decoding method and apparatus therefor,0,H04N
12413704,2025-09-09,Prediction value determination method and decoder,0,H04N
12412236,2025-09-09,"Image registration method, terminal, and computer storage medium",0,G06T
12408195,2025-09-02,Method and apparatus for random access type selection,0,H04W
12408182,2025-09-02,Apparatus and method of wireless communication,0,H04L|H04W
12408107,2025-09-02,Slice selection method and terminal device,0,H04W
12408046,2025-09-02,"Resource indication method, terminal device, and network device",0,H04L|H04W
12408007,2025-09-02,User equipment and base station for implementing feedback assisted multicast,0,H04L|H04W
12407847,2025-09-02,"Coefficient coding method, encoder, and decoder",0,H04N
12407459,2025-09-02,"Method used for transmitting data, and terminal device",0,H04J|H04L
12406614,2025-09-02,"Image display method, DDIC chip, AP, display screen module, and terminal",0,G09G|H04N|Y02D
12402204,2025-08-26,"Discontinuous reception control method, device and storage medium",0,H04W
12402173,2025-08-26,"Method for random access resource configuration, terminal device, and network device",0,H04W
12402091,2025-08-26,"Wireless communication method, network device, and terminal device",0,H04L|H04W|Y02D
12401821,2025-08-26,Intra prediction method and device and computer-readable storage medium,0,H04N
12399859,2025-08-26,"Inter-processor communication method, electronic assembly, and electronic device",0,G06F|H04W
12399616,2025-08-26,"Method for controlling multi-screen device, electronic device, and storage medium",0,G06F|G09G
12396038,2025-08-19,"Channel listening method and apparatus, terminal, base station, and storage medium",0,H04L|H04W
12395966,2025-08-19,User equipment and method of resource transmission,0,H04L|H04W
12395959,2025-08-19,"TA determination method and apparatus, and terminal device",0,H04B|H04W
12395879,2025-08-19,Method for measurement-relaxation requirement determination and terminal device,0,H04W
12395627,2025-08-19,Intra prediction method and decoder,0,H04N
12395298,2025-08-19,"Information configuration method and apparatus, and terminal",0,H04B|H04L|H04W
12395276,2025-08-19,"Signal transmission methods and apparatuses, devices and storage medium",0,H04L|H04W|Y02D
12395272,2025-08-19,"Method for determining frequency-domain locations, terminal device, and network device",0,H04L
12393088,2025-08-19,"Flash lamp, flash lamp control method and mobile equipment",0,F21V|G02F|G03B|H04N
12389488,2025-08-12,"Method for wireless communication, terminal device, and network device",0,H04W|Y02D
12389475,2025-08-12,Method for network sharing and related devices,0,H04M|H04W
12389447,2025-08-12,"Information processing method for shared spectrum, terminal device, and network device",0,H04L|H04W
12389446,2025-08-12,"Information indication method and apparatus, device, and storage medium",0,H04L|H04W
12389416,2025-08-12,"Method for information reporting, terminal device, and network device",0,H04L|H04W
12389392,2025-08-12,"Resource scheduling method, terminal device, and network device",0,H04L|H04W
12389371,2025-08-12,"Method for selecting transmission resource, method for selecting transmission data, and terminal",0,H04L|H04W
12389032,2025-08-12,Method and device for intra prediction,0,G06T|H04N
12389031,2025-08-12,Method and device for intra prediction,0,G06T|H04N
12389003,2025-08-12,"Transform method, encoder, decoder, and storage medium",0,H04N
12387382,2025-08-12,"Point cloud encoding and decoding method, and decoder",0,G06T|H04N
12386574,2025-08-12,"Method and device of controlling display of terminal information, terminal, and storage medium",0,G06F|G06V|H04N|H04W
12382515,2025-08-05,Method and apparatus for reporting random access process,0,H04W
12382436,2025-08-05,"Communication method and apparatus, and device",0,H04W
12382393,2025-08-05,"Method for controlling terminal device, terminal device and network device",0,H04B|H04W|Y02D
12382380,2025-08-05,Link transmission method and terminal device,0,H04W
12382350,2025-08-05,"Information configuration method and apparatus, and communication device",0,H04W
12382102,2025-08-05,"Coefficient encoding method, coefficient decoding method, encoding device, decoding device, and storage medium",0,H04N
12382083,2025-08-05,Image signal encoding/decoding method and non-transitory computer-readable medium,0,H04N
12382029,2025-08-05,Image encoding/decoding method and device using intra prediction,0,H04N
12382023,2025-08-05,Methods for encoding and decoding pictures and associated apparatus,0,H04N
12381719,2025-08-05,"Data transmission method, and electronic device",0,H04L|H04W
12380579,2025-08-05,Intelligent understanding system for real-time reconstruction of large-scale scene light field,0,G06F|G06T|G06V
12376170,2025-07-29,"Configuration reset method and apparatus, and terminal device",0,H04W
12376080,2025-07-29,"Random access resource configuration method and apparatus, device, and storage medium",0,H04B|H04W
12376057,2025-07-29,Apparatus and method of timing advance indication of same,0,H04B|H04W
12375202,2025-07-29,"Data transmission method, terminal device and network device",0,H04L|H04W
12375165,2025-07-29,"Random access method, terminal device, network device and storage medium",0,H04B|H04L|H04W
12373997,2025-07-29,"Virtual object display method, storage medium and electronic device",0,G06F|G06T|G06V|H04S
12373254,2025-07-29,"Driver system, information processing method, electronic devicce and storage medium",0,G06F|G06N
12369183,2025-07-22,"Information sending method and apparatus, information receiving method and apparatus, and device and storage medium",0,H04L|H04W
12369140,2025-07-22,Paging optimization method and network device,0,H04B|H04W
12369124,2025-07-22,Method for limiting uplink transmission power radiation and related product,0,H04B|H04W
12369079,2025-07-22,"Method to prioritize 5G NSA cell (re) selection, and computer system",0,H04W
12369077,2025-07-22,Measurement control methods and network device,0,H04W|Y02D
12368794,2025-07-22,Electronic device,0,G06F|G09F|H04M
12368563,2025-07-22,Data transmission method and related devices,0,H04L|H04W
12368550,2025-07-22,"Information configuration method and apparatus, and terminal",0,H04B|H04L|H04W|Y02D
12368539,2025-07-22,Methods and devices for transmitting and receiving PDSCH,0,H04B|H04L|H04W
12368501,2025-07-22,"Wireless communication method, terminal device, and network device",0,H04B|H04W
12367363,2025-07-22,"Method and device for positioning, and storage medium",0,G01S|G06K|H04B|H04W
12367005,2025-07-22,"Method for displaying application image, terminal, and non-transitory computer-readable storage medium",0,G06F|G09G
12363748,2025-07-15,Wireless communication method and device,0,H04B|H04L|H04W
12363725,2025-07-15,"Method for PDCCH detection, method for PDCCH transmission, and devices",0,H04L|H04W
12363718,2025-07-15,Wireless communication method and apparatus,0,H04W
12363714,2025-07-15,"Method for transmitting control information, electronic device and storage medium",0,H04L|H04W
