patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432343,2025-09-30,Video encoding and decoding using arbitrary block partitioning,0,H04N
12431414,2025-09-30,Power module and manufacturing method thereof,0,H01L
12431116,2025-09-30,Apparatus for generating driving sound in vehicle and method thereof,0,A61B|G06F|G10K
12427884,2025-09-30,Method and device for supporting installation of contract certificate for electric vehicle,0,B60L|G06Q|H04L|H04W|Y02T
12425745,2025-09-23,Method and system for processing an image of a vehicle,0,H04N
12423430,2025-09-23,Firmware update method and apparatus for a MCU of a vehicle,0,G06F|H04L
12420827,2025-09-23,System for verifying sensor data of autonomous vehicle and method thereof,0,B60W|G01S|G06V|H04L
12420802,2025-09-23,Method and system for recognizing road surface,0,B60W|G01S|G06F
12418655,2025-09-16,Decoding device and method for predicting block partitioned into random shape,0,G06T|H04N
12417956,2025-09-16,Double-side cooling-type semiconductor device,0,H01L
12415526,2025-09-16,Autonomous driving control apparatus and method thereof,0,B60W|G06N
12413790,2025-09-09,Entropy-coding for video encoding and decoding,0,H04N
12412576,2025-09-09,Vehicle and control method thereof,0,B60K|G06F|G10L
12412167,2025-09-09,Electronic toll collection system and control method for the same,0,G06Q|G07B
12409792,2025-09-09,Vehicle and method of controlling the same,0,B60K|B60R|G06T|H04N|H04R
12408145,2025-09-02,Method and device for paging in sidelink communication,0,H04W
12408144,2025-09-02,Method and device for paging in sidelink communication,0,H04W
12407876,2025-09-02,Entropy-coding for video encoding and decoding,0,H04N
12407875,2025-09-02,Entropy-coding for video encoding and decoding,0,H04N
12407874,2025-09-02,Entropy-coding for video encoding and decoding,0,H04N
12407818,2025-09-02,Method and apparatus for video coding using derivation of intra prediction mode,0,H04N
12407794,2025-09-02,Method and apparatus for SVM top view image processing,0,B60R|G06T|G06V|H04N
12406667,2025-09-02,"Method of processing dialogue, user terminal, and dialogue system",0,B60K|G06F|G10L
12402286,2025-08-26,Double-sided cooling apparatus for power module,0,H01L|H05K
12401832,2025-08-26,Method and apparatus for video coding using intra sub-partitions for chroma block,0,H04N
12401791,2025-08-26,"Method for generating prediction block by using weighted-sum of intra prediction signal and inter prediction signal, and device using same",0,H04N
12401786,2025-08-26,Video encoding/decoding method and apparatus,0,H04N
12400965,2025-08-26,Power module,0,H01L
12400176,2025-08-26,"Delivery management server, unmanned delivery robot, unmanned cargo aircraft for delivering goods reflecting navigation route information of a vehicle",0,B64C|B64U|G01C|G05D|G06Q
12400123,2025-08-26,Method and system for controlling a vehicle using machine learning,0,B60W|G06N
12399931,2025-08-26,Device and method for controlling vehicle,0,G06F|H04N
12399701,2025-08-26,System and method for controlling vehicle and updating software,0,G06F
12397816,2025-08-26,Control apparatus for autonomous vehicle and method thereof,0,B60W|G06F
12395927,2025-08-19,Seat belt wireless communication system and method,0,B60R|H02J|H04L|H04W|Y02D
12395498,2025-08-19,Vehicle network system and message transmission and reception method thereof,0,H04L
12394413,2025-08-19,"Dialogue management method, user terminal and computer-readable recording medium",0,G06F|G10L
12392633,2025-08-19,Augmented reality based point of interest guide device and method,0,G01C|G06F|G06T
12391118,2025-08-19,Apparatus for controlling display of vehicle and method for the same,0,B60K|G06F|G06V|G09G|H05K
12389401,2025-08-12,Method and apparatus for transmission and reception of sidelink control information in communication system,0,H04L|H04W
12388815,2025-08-12,Apparatus for controlling access of vehicle diagnostic device and method thereof,0,G07C|H04L
12384268,2025-08-12,Wireless charging vehicle and wireless charging method thereof,0,B60L|G01C|H02J|H04W|Y02T
12382241,2025-08-05,Geo-fence alarm method and system for providing the method,0,G01C|H04W
12380396,2025-08-05,"Central management server, unmanned cargo aircraft and unmanned delivery robot for delivering goods considering status of local delivery hub",0,B64C|B64U|G05D|G06Q|G08G
12377836,2025-08-05,Method and apparatus for providing route guidance,0,B60W|B62D|G01C|G06Q|G06V|G07C|G08G
12375662,2025-07-29,Method and apparatus for encoding and decoding video using sub-picture partitioning,0,H04N
12375631,2025-07-29,Vehicle and method of controlling the same,0,B60N|B60R|B62D|G06T|G06V|G07C|H04N
12375454,2025-07-29,Method and apparatus for data anonymization and pseudonymization in M2M system,0,G06F|H04L|H04W
12373483,2025-07-29,Method and system of providing interface for visual question answering,0,G06F|G06T|G06V
12371189,2025-07-29,Method for multimodal transportation based on air vehicle and apparatus for the same,0,B64F|B64U|G05D|G06Q|G08G
12367433,2025-07-22,"Method, apparatus, and system for allocating a moving object for a fleet system",0,G06Q
12365355,2025-07-22,Apparatus and method for providing IoT service based on vehicle location,0,B60W|H04W
12363302,2025-07-15,Method and apparatus for intra-prediction coding of video data,0,H04N
12363301,2025-07-15,Method and apparatus for intra-prediction coding of video data,0,H04N
12363279,2025-07-15,Method for predicting quantization parameter used in a video encoding/decoding apparatus,0,H04N
12361587,2025-07-15,Vehicle and vehicle position calculation method,0,B60W|G06T
12358406,2025-07-15,Seat of vehicle,0,A47C|B60N|G06F|G06T
12355999,2025-07-08,Method and apparatus for efficiently coding residual blocks,0,H04N
12355969,2025-07-08,Method and apparatus for intra-prediction coding of video data,0,H04N
12354289,2025-07-08,Apparatus for generating a depth map of a monocular camera image and a method thereof,0,G06T
12351056,2025-07-08,EV user authorization method and system,0,B60L|G06Q|H04L
12349106,2025-07-01,Method and device for paging in sidelink communication,0,H04W
12348167,2025-07-01,Power module and motor drive system using the same,0,H01L|H02M|H02P
12347320,2025-07-01,"Vehicle, server, method of controlling vehicle, and method of controlling server",0,G05D|G08G|H04W
12347179,2025-07-01,Privacy-preserving distributed visual data processing,0,G06F|G06Q|G06V|G08G|G11B|H04N
12342570,2025-06-24,Method for manufacturing semiconductor device and semiconductor device manufactured thereby,0,H01L|H10D
12341956,2025-06-24,Image encoding and decoding method using adaptive alternative mode,0,H04N
12340639,2025-06-24,Autonomous driving recorder and operation method thereof,0,G07C|H04L
12340321,2025-06-24,"Electronic device, server and method for providing a personal mobility service of a server",0,B60R|G06Q|G07C|G07F|H04W
12337858,2025-06-24,System and method for providing connected service,0,B60W|G06F|H04L|H04W
12337759,2025-06-24,Side mirror and vehicle having the same,0,B60R|G02B|H04N
12336663,2025-06-24,System and method for controlling delivery device,0,A47J|G06Q
12335623,2025-06-17,Infrastructure and vehicle for communicating with the same,0,B60W|G06V|G08G|H04N
12335537,2025-06-17,Method and apparatus for point cloud coding using mapping function,0,G06T|H04N
12335485,2025-06-17,Video encoding and decoding method using adaptive reference pixel selection,0,H04N
12335482,2025-06-17,Method and apparatus for intra-prediction coding of video data,0,H04N
12335481,2025-06-17,Method and apparatus for intra-prediction coding of video data,0,H04N
12335278,2025-06-17,System and method for detecting intrusion into in-vehicle network,0,B60R|B60W|H04L
12335273,2025-06-17,Method of verifying the integrity of an application in a vehicle controller,0,H04L
12335120,2025-06-17,Apparatus for monitoring OTA ROM data and method thereof,0,H04L
12335027,2025-06-17,Method for providing broadcast signal frequency and system for providing the same,0,H04H|H04W
12333927,2025-06-17,Apparatus and method of providing haptic stimulation,0,B06B|G06F|G08B
12333584,2025-06-17,System and method for providing taxi service,0,G06Q|G07B|G07C|G08G
12333297,2025-06-17,Device and method for controlling OTA update of vehicle,0,B60R|B60W|G06F|G07C
12332869,2025-06-17,Method and apparatus for labeling data in machine to machine system,0,G06F
12330662,2025-06-17,Apparatus and method for controlling vehicle,0,B60W|G06T|H04N
12330567,2025-06-17,External image display device for vehicles,0,B60R|H04N
12328661,2025-06-10,Broadcast signal output device and vehicle having the same,0,H04B|H04W
12323555,2025-06-03,Method and server for providing a call service,0,G06Q|H04M
12322213,2025-06-03,Total terminal system and operating method thereof,0,G06Q|G07B
12321886,2025-06-03,Pet care service system and method by using pet mobility,0,A01K|G06Q|G06V
12318346,2025-06-03,"Controller, crutch and wearable robot including the same",0,A61H|G06F
12316852,2025-05-27,Method for reconstructing chroma block and video decoding apparatus,0,H04N
12316851,2025-05-27,Method for reconstructing chroma block and video decoding apparatus,0,H04N
12316850,2025-05-27,Method for reconstructing chroma block and video decoding apparatus,0,H04N
12314953,2025-05-27,Vehicle and system for preventing free riding,0,G06Q|G06V|G07B|G07C
12314873,2025-05-27,System and method for estimating potential injuries from a vehicular incident,0,G06N|G06Q|G07C|G16H
12314620,2025-05-27,In-vehicle display apparatus and controlling method thereof,0,B60K|B60R|G06F|G06T|G09G|H04N
