patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12426192,2025-09-23,Main board assembly,0,G06F|H05K
12413858,2025-09-09,Electronic device and gain calibration method for image stabilization function thereof,0,H04N
12410833,2025-09-09,Foldable electronic device,0,F16C|G06F|H04M
12407133,2025-09-02,Circuit board device for inserting an expansion card,0,G06F|H01R|H05K
12405910,2025-09-02,Computer peripheral device,0,G06F
12405648,2025-09-02,Portable electronic device,0,G06F|H05K
12405642,2025-09-02,Fixing assembly and electronic device having the same,0,G06F|H05K
12395919,2025-08-19,Method and apparatus for a relay UE supporting connection with another remote UE in a wireless communication system,0,H04W
12387457,2025-08-12,Image capturing device and image calculation method,0,G06T|G06V
12369173,2025-07-22,Method and apparatus of deriving feedback resource for sidelink transmission in a wireless communication system,0,H04L|H04W
12369098,2025-07-22,Method and apparatus of updating routing table of an IAB (integrated access backhaul) node in a wireless communication system,0,H04L|H04W
12349110,2025-07-01,Method and apparatus of handling periodic sidelink resources and discontinuous reception for sidelink communication in a wireless communication system,0,H04W
12346520,2025-07-01,Seamless touchpad device,0,G06F
12335617,2025-06-17,Image stabilization method and electronic device,0,H04N
12323999,2025-06-03,Method and apparatus for reducing power consumption for carrier aggregation in a wireless communication system,0,H04L|H04W|Y02D
12317346,2025-05-27,Method and apparatus of handling device-to-device resource selection with consideration on discontinuous reception operation in a wireless communication system,0,H04L|H04W|Y02D
12317231,2025-05-27,Method and apparatus of handling inter-device coordination for sidelink communication in a wireless communication system,0,H04L|H04W
12316798,2025-05-27,"Smart dialing recommendation method, non-transitory computer-readable medium, and mobile device",0,H04M|H04W
12314483,2025-05-27,Electronic device,0,G06F
12302531,2025-05-13,Handheld electronic device,0,G06F|H05K
12302394,2025-05-13,Method and apparatus for listen before talk for sidelink transmission in a wireless communication system,1,H04L|H04W
12298821,2025-05-13,Mold assembly for assembling touch module in housing and assembling method using the same,0,G06F
12294484,2025-05-06,Method and apparatus for handling sidelink radio link failure in a wireless communication system,0,H04L|H04W
12279234,2025-04-15,Method and apparatus of handling partial sensing for sidelink communication in a wireless communication system,0,H04W
12271237,2025-04-08,Foldable electronic device,2,G06F
12267970,2025-04-01,Thermal dissipation holder,0,G06F|H05K
12262247,2025-03-25,Method and apparatus for deriving cell reference location in a wireless communication system,0,G01S|H04B|H04L|H04W
12242321,2025-03-04,Power management method and electronic device using same,0,G06F|H02J
12237618,2025-02-25,Interface card assembly and circuit board module using the same,0,G06F|H01R|H05K
12232135,2025-02-18,Method and apparatus for cross carrier scheduling considering multi-TRP in a wireless communication system,0,H04L|H04W
12228969,2025-02-18,Foldable electronic device,0,G06F
12225372,2025-02-11,Audio visualization method and system thereof,0,A63F|G06T|H04R|H04S
12207372,2025-01-21,Electronic device with housing for generating light effect,0,G09F|H01L|H05B
12207330,2025-01-21,Method and apparatus for supporting multiple connectivity services in a wireless communication system,0,H04W
12200163,2025-01-14,Electronic device with dynamic wallpaper,0,G06F|H04M
12192916,2025-01-07,Method and apparatus for power headroom report regarding multi-TRP in a wireless communication system,0,H04W
12189442,2025-01-07,Method for detecting heat dissipation and electronic device,0,G06F|H01L|H05K|Y02D
12185398,2024-12-31,Method and apparatus for UU radio bearer to PC5 radio link control (RLC) bearer mapping in a wireless communication system,0,H04W
12185375,2024-12-31,Method and apparatus for Random Access Channel (RACH)-based small data transmission procedure in a wireless communication system,0,H04B|H04W
12181224,2024-12-31,Heat dissipation device,1,F28D|F28F|G06F|H01L
12177599,2024-12-24,Image capturing method and electronic device,0,H04N
12156263,2024-11-26,Method and apparatus for obtaining time alignment regarding multiple TRPS in a wireless communication system,0,H04L|H04W
12143724,2024-11-12,"Clamping device, electronic device and remote control method of electronic device",0,F16M|H04N
12141006,2024-11-12,Electronic device and power management method therefor,0,G06F|Y02D
12133181,2024-10-29,Method and apparatus for multi-transmission/reception point power headroom reporting in a wireless communication system,0,H04L|H04W
12132997,2024-10-29,Electronic device with flash function and driving method of flash,0,H04N
12124293,2024-10-22,Electronic device,1,G06F
12120758,2024-10-15,Method and apparatus for acquiring system information and paging via UE-to-network relay in a wireless communication system,0,H04W
12108479,2024-10-01,Method and apparatus for new data arrival of small data transmission in a wireless communication system,0,H04L|H04W
12105892,2024-10-01,Electronic device,0,G06F|H03K|Y02D
12100091,2024-09-24,Animated image publishing method and animated image generating method,0,G06F|G06T
12096070,2024-09-17,Video editing method and system thereof,0,A63F|G11B|H04N
12093111,2024-09-17,Electronic device and performance optimization method thereof,1,G06F
12089272,2024-09-10,Method and apparatus for a user equipment (UE) to transmit a direct communication request message in a wireless communication system,0,H04W
12073520,2024-08-27,Augmented reality implementing method for generating augumented reality content,0,G06K|G06T
12073039,2024-08-27,Touchpad device,0,G06F
12069627,2024-08-20,Method and apparatus of indicating aggregation number in a wireless communication system,0,H04L|H04W
12069404,2024-08-20,Video recording method and system thereof,0,G06F|H04N
12067226,2024-08-20,Dial control method and dial control system for electronic device,0,G06F
12066876,2024-08-20,Electronic system with a cooling device with at least a pressing portion,0,G06F|H05K
12063602,2024-08-13,Method and apparatus for power headroom report regarding multi-TRP in a wireless communication system,0,H04W
12063320,2024-08-13,Electronic device,0,F16M|G03B|G06F|H04M|H04N
12062844,2024-08-13,Antenna system and antenna combination architecture,0,H01L|H01Q|H05K
12056350,2024-08-06,Portable electronic device and one-hand touch operation method thereof,0,G06F|H04M
12056291,2024-08-06,Electronic device and sensitivity adjustment method for sensor,0,G06F
12052662,2024-07-30,Method and apparatus for handling logical channel prioritization regarding sidelink discontinuous reception in a wireless communication system,3,H04W
12050833,2024-07-30,Method and apparatus for screen display,0,G06F|G09G|H04N
12050492,2024-07-30,Electronic device,0,G06F
12047951,2024-07-23,Method and apparatus for transmitting and receiving downlink control channel in a wireless communication system,0,H04L|H04W
12039093,2024-07-16,Encrypted hard disk device,0,G06F
12028291,2024-07-02,Method and apparatus of handling discontinuous reception and partial sensing for sidelink communication in a wireless communication system,1,H04L|H04W
12027089,2024-07-02,Electronic device and refresh rate adjusting method thereof,0,G06F|G09G
12026075,2024-07-02,Power supply health check system and method thereof,0,G06F
12019468,2024-06-25,Screen fixing apparatus,1,F16M|G06F|G09F
12010557,2024-06-11,Method and apparatus for quality of service (QOS) information modification in a wireless communication system,0,H04W
12009275,2024-06-11,Heat transfer device,0,F28D|F28F|H01L|H05K
12007816,2024-06-11,Heat dissipation module and electronic device having the same,0,G06F|H05K
12004243,2024-06-04,Method and apparatus for supporting UE-to-network relay communication in a wireless communication system,0,H04W
12004026,2024-06-04,Method and apparatus for mobility procedure in a wireless communication system,1,H04L|H04W
12001628,2024-06-04,Electronic device,0,G06F
12001248,2024-06-04,Hinge structure,0,G06F
12001246,2024-06-04,All-in-one computer having displays with touch control and display control method based on touch control,0,G06F|H05K
11997752,2024-05-28,Method and apparatus for multiple-USIM device in a wireless communication system,0,H04W
11997642,2024-05-28,Method and apparatus for acquiring system information and paging via UE-to-network relay in a wireless communication system,1,H04W
11994970,2024-05-28,Diagnostic system,0,G06F
11991749,2024-05-21,Method and apparatus for random access preamble partition for small data transmission in a wireless communication system,0,H04W
11991479,2024-05-21,Time-lapse photographic device,0,H04N
11991472,2024-05-21,Method for performing image processing and capturing photo frame in parallel,0,H04N
11985671,2024-05-14,Method and apparatus for reducing power consumption for carrier aggregation in a wireless communication system,0,H04L|H04W|Y02D
11972055,2024-04-30,Electronic device with vibration function and vibration driving method,1,G06F
11956690,2024-04-09,Method and apparatus for mobility procedure in a wireless communication system,1,H04B|H04L|H04W
11943763,2024-03-26,Method and apparatus for distributed resource allocation in a wireless communication system,1,H04L|H04W
11941178,2024-03-26,Electronic device and control method thereof,0,G06F
11937334,2024-03-19,Method and apparatus for sidelink discontinuous reception in a wireless communication system,0,H04W|Y02D
11937266,2024-03-19,Method and apparatus of requesting resource for sidelink retransmission in a wireless communication system,0,H04L|H04W
11924876,2024-03-05,Method and apparatus of handling partial sensing and discontinuous reception for sidelink communication in a wireless communication system,0,H04W
11914818,2024-02-27,Electronic device and operation control method with switch function of touchable region,0,G06F
11910482,2024-02-20,Method and apparatus for UE reporting for multi-USIM in a wireless communication system,1,H04W
11907729,2024-02-20,Computer system and booting method thereof,0,G06F
11903169,2024-02-13,Portable electronic device,0,G06F|H05K
11903162,2024-02-13,Fan control method for heat dissipation of an electronic device,0,G05B|G06F|H05K
11902940,2024-02-13,Method and apparatus for handling device-to-device feedback transmission in a wireless communication system,1,H04L|H04W
11901754,2024-02-13,Charging base,0,G06F|H01R|H02J
11895591,2024-02-06,Method and apparatus for configuring sidelink discontinuous reception in a wireless communication system,0,H04W
11893229,2024-02-06,Portable electronic device and one-hand touch operation method thereof,0,G06F
11892884,2024-02-06,Hinge structure,0,G06F
11892873,2024-02-06,Computer device,0,G06F|H05K
11881736,2024-01-23,Power system,0,G06F|H02J|H04M
11880515,2024-01-23,Touch pad structure and electronic device thereof,0,G06F
11880234,2024-01-23,Electronic device,1,G06F
11877324,2024-01-16,Method and apparatus for handling contention resolution for a random access procedure in a wireless communication system,0,H04L|H04W
11871531,2024-01-09,Computer device and host module thereof,0,G06F|H05K
11871465,2024-01-09,Method and apparatus for establishing sidelink radio bearer for UE-to-UE relay communication in a wireless communication system,1,H04L|H04W
11871253,2024-01-09,Method and apparatus for improving scheduling mode sidelink communication in a wireless communication system,0,H04B|H04W
11868839,2024-01-09,Device detecting system,0,G06F|G06K|G06Q
11868187,2024-01-09,Circuit board,3,G06F|H05K
11864249,2024-01-02,Method and apparatus for sidelink identifier change in a wireless communication system,0,H04L|H04W
11864157,2024-01-02,Method and apparatus for avoiding paging collision in a wireless communication system,1,H04W
