patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432170,2025-09-30,Agnostic domain communication via a user interface of a communication platform,0,G06F|H04L
12430849,2025-09-30,Systems and methods for multimodal pretraining for three-dimensional understanding models,0,G06F|G06N|G06T
12430828,2025-09-30,User interface for presenting time series metrics,0,G06F|G06T
12430585,2025-09-30,Systems and methods for program synthesis,0,G06F|G06N
12430584,2025-09-30,Systems and methods for program synthesis,0,G06F|G06N
12430454,2025-09-30,Database systems and methods for securely sharing a record within a conversation,0,G06F
12430317,2025-09-30,Verification of backup data across a data pipeline,0,G06F
12425462,2025-09-23,Surfacing relevant topics in a group-based communication system,0,H04L
12425260,2025-09-23,Methods and apparatuses for determining a user status avatar for rendering within a group-based communication interface,0,G06Q|H04L
12423525,2025-09-23,Applied artificial intelligence technology for narrative generation based on explanation communication goals,0,G06F|G06N
12423356,2025-09-23,Systems and methods of programmatic control of scaling read requests to a database system,0,G06F
12423334,2025-09-23,Collecting and supporting querying of high-cardinality time-series data,0,G06F
12423288,2025-09-23,Target environment data seeding,0,G06F
12418405,2025-09-16,Protecting application private keys with remote and local security controllers,0,H04L
12418404,2025-09-16,Secure data migration,0,G06F|H04L
12417385,2025-09-16,"Systems and methods for learning unified representations of language, image, and point cloud for three-dimensional recognition",0,G06F|G06N|G06T|G06V
12417384,2025-09-16,"Systems and methods for learning unified representations of language, image, and point cloud for three-dimensional recognition",0,G06F|G06N|G06T|G06V
12417236,2025-09-16,Evaluating clustering in case of data stewardship actions,0,G06F
12417217,2025-09-16,Multi-tenant database resource utilization,0,G06F
12417063,2025-09-16,Displaying a communication platform summary,0,G06F|G06N|G06Q
12413829,2025-09-09,Systems and methods for controllable video generation,0,G06F|G06N|G06T|H04N
12413524,2025-09-09,Access control for restricted entities,0,H04L
12412022,2025-09-09,Visual text summary generation,0,G06F|G06N|G06T
12411971,2025-09-09,Authenticating accesses to a shared datastore of a multi-tenant computer system,0,G06F|H04L
12411872,2025-09-09,Infoscenting fields for multi-fact data model analysis using shared dimensions,0,G06F
12411830,2025-09-09,Rule evaluation for real-time data stream,0,G06F|G06Q|H04N
12411755,2025-09-09,Testing integration applications for systems,0,G06F
12411743,2025-09-09,Methods of immutable deployment of persistent relational databases,0,G06F
12411669,2025-09-09,Package generation for configuring a working environment on a server instance,0,G06F
12406669,2025-09-02,"Method, apparatus, and computer program product for searchable real-time transcribed audio and visual content within a group-based communication system",0,G06F|G06V|G10L|H04L|H04M|H04N
12406210,2025-09-02,Techniques for machine learning model selection for domain generalization,0,G06F|G06N
12406154,2025-09-02,Systems and methods for search based neural text generation models,0,G06F
12405947,2025-09-02,Statement-level instead-of database triggers,0,G06F
12405946,2025-09-02,Automatic query generation for large language models,0,G06F|G06N
12405927,2025-09-02,Database object lifecycle states,0,G06F
12401708,2025-08-26,Systems and methods to protect against information disclosure,0,G06F|H04L
12401652,2025-08-26,System and methods for network address based blocking for multiple substrates,0,G06F|H04L
12401626,2025-08-26,Multi-factor network segmentation,0,H04L
12400136,2025-08-26,Systems and methods for counterfactual explanation in machine learning models,0,G06F|G06N
12400073,2025-08-26,Systems and methods for shared latent space prompt tuning,0,G06F|G06N
12400072,2025-08-26,Systems and methods for structured conversation summarization,0,G06F
12400068,2025-08-26,Systems and methods for natural language code search,0,G06F|G06N
12399963,2025-08-26,System and method for configurable multi-factor health credential validation,0,G06F|G16H
12399947,2025-08-26,AI driven page navigation based on user behavior,0,G06F
12399872,2025-08-26,Intelligent service for data migration,0,G06F
12395535,2025-08-19,Security techniques for enterprise messaging systems,0,H04L
12394220,2025-08-19,Systems and methods for attention mechanism in three-dimensional object detection,0,G06N|G06T|G06V
12393569,2025-08-19,Operation statement analysis for database trigger firing,0,G06F
12393557,2025-08-19,Declarative entity segmentation,0,G06F
12393414,2025-08-19,System and method for statistically distributed rate limiting of application programming interface traffic,0,G06F|H04L
12388955,2025-08-12,Asynchronous online meeting metadata flow,0,H04L|H04N
12387340,2025-08-12,Systems and methods for open vocabulary instance segmentation in unannotated images,0,G06T|G06V
12387107,2025-08-12,Training multi-task neural network while minimizing catastrophic forgetting,0,G06N
12386920,2025-08-12,Automatic product description generation,0,G06F|G06N|G06V
12386919,2025-08-12,Synthetic data generation for machine learning model simulation,0,G06F|G06N
12386832,2025-08-12,Synthetic data generation for query plans,0,G06F|G06N
12386675,2025-08-12,Orchestration of operations on a cloud platform based on multiple version maps of services,0,G06F
12380430,2025-08-05,Intermediary roles in public trust ledger actions via a database system,0,G06Q
12380280,2025-08-05,Topic identification based on virtual space machine learning models,0,G06F|G06N|G10L|H04L
12380084,2025-08-05,Delta transition table for database triggers,0,G06F
12380081,2025-08-05,Reducing requests using probabilistic data structures,0,G06F|H04L
12379865,2025-08-05,Mechanisms for grouping nodes,0,G06F
12375538,2025-07-29,"Ambient, ad hoc, multimedia collaboration in a group-based communication system",0,G06F|G06Q|H04L
12375493,2025-07-29,Enforcing JIT access control by leveraging pam and LDAP,0,H04L
12375450,2025-07-29,Enabling private communication in public multi-cloud environments,0,H04L
12375439,2025-07-29,"Apparatuses, methods, and computer program products for data retention in a common group-based communication channel",0,G06F|H04L
12375343,2025-07-29,Site management in an on-demand system,0,F24F|G05B|G05F|G06F|H02J|H04L|Y02B|Y02P|Y04S
12374099,2025-07-29,Systems and methods for visual question answering,0,G06N|G06V
12373756,2025-07-29,Contextual workflow buttons,0,G06F|G06Q
12373553,2025-07-29,State-based detection of anomalous API calls within a real-time data stream,0,G06F
12373467,2025-07-29,Query semantics for multi-fact data model analysis using shared dimensions,0,G06F
12373438,2025-07-29,Database like peeking,0,G06F
12373321,2025-07-29,Database disruption detection and failover,0,G06F
12373187,2025-07-29,Automatic microgateway taxonomy tags,0,G06F|H04L
12367662,2025-07-22,Systems and methods for video models with procedure understanding,0,G06F|G06V
12367187,2025-07-22,Distributed database locking,0,G06F
12363137,2025-07-15,Detection of multi-killchain alerts,0,H04L
12361325,2025-07-15,"Automatic generation of an explanation, based on data lineage and user feedback, of a prediction produced by a machine learning system",0,G06F|G06N|G06Q
12361295,2025-07-15,Machine learning to automate request tagging for conversion funnels,0,G06F|G06N
12361201,2025-07-15,Systems and methods for parameter ensembling for reducing hallucination in abstractive summarization,0,G06F|G06N
12361153,2025-07-15,Providing web application components within remote systems,0,G06F|H04L
12360982,2025-07-15,Hybrid database system for strongly consistent and highly scalable metadata storage,0,G06F
12360783,2025-07-15,API governance enforcement architecture,0,G06F
12360760,2025-07-15,Cloud services release orchestration,0,G06F
12360759,2025-07-15,Downgrading database software via a downgradability test,0,G06F
12360757,2025-07-15,Upgrading a target system in a continuous integration system,0,G06F
12355776,2025-07-08,Computing system permission administration engine,0,G06F|G06N|H04L
12354244,2025-07-08,Systems and methods for reversible transformations using diffusion models,0,G06T
