patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432659,2025-09-30,Method for reducing power consumption of terminal in mobile communication system using multi-carrier structure,0,H04L|H04W|Y02D
12431142,2025-09-30,Apparatus and method for improving context-based automatic interpretation performance,0,G06F|G10L
12430710,2025-09-30,Apparatus and method for 360-degree video stitching,0,G06T|G06V
12430588,2025-09-30,Computer system for inferring uncertainty of human and method thereof,0,G06F|G06N|G06V
12430421,2025-09-30,Apparatus and method for updating internet-based malware detection engine using scaling control of virtual machine,0,G06F
12429682,2025-09-30,Plenoptic microscope system and plenoptic image processing apparatus,0,G02B|H04N
12426092,2025-09-23,Method and apparatus for transmitting/receiving signal by using variable band width in communication system,0,H04L|H04W
12426087,2025-09-23,Method and apparatus for resource allocation contention in distributed communication system,0,H04L|H04W
12425999,2025-09-23,Method and apparatus for timing synchronization in communication system,0,H04B|H04W
12425860,2025-09-23,Apparatus and method for performing remote attestation by taking into account mobility,0,H04L|H04W
12425841,2025-09-23,Method of time synchronization service for federated learning in 5G network,0,H04L|H04W
12425646,2025-09-23,Encoding and decoding method and apparatus for immersive video,0,G06T|H04N
12425622,2025-09-23,Method and apparatus for encoding and decoding using selective information sharing between channels between channels,0,H04N
12425188,2025-09-23,SHA-256 quantum circuit design apparatus and method,0,H04L
12425187,2025-09-23,Stateful order-preserving encryption method and apparatus for enhancing security,0,H04L
12425093,2025-09-23,Method and apparatus for signal transmission and reception in communication system,0,H04B|H04L|H04W
12423575,2025-09-23,Method and apparatus for training retrosynthesis prediction model,0,G06F|G06N|G16C
12423520,2025-09-23,Method of training language model for cybersecurity and system performing the same,0,G06F
12423383,2025-09-23,Method for exploration based on curiosity and prioritization of experience data in multi-agent reinforcement learning,0,G06F
12423224,2025-09-23,Flash-based storage device and copy-back operation method thereof,0,G06F
12423024,2025-09-23,Method and device for accessing memory,0,G06F|Y02D
12422919,2025-09-23,System and method for providing virtual reality service,0,G06F|G06T
12418925,2025-09-16,Method and apparatus for transmitting or receiving feedback information in communication system,0,H04L|H04W
12418658,2025-09-16,Method for decoding immersive video and method for encoding immersive video,0,H04N
12418413,2025-09-16,Apparatus and method for validating data,0,G06F|H04L
12417780,2025-09-16,Methods of training acoustic scene classification model and classifying acoustic scene and electronic device for performing the methods,0,G06N|G10L
12417580,2025-09-16,Method and apparatus for filling blank area of MPI view plane based on pixel ray path,0,G06T|H04N
12417557,2025-09-16,"Method, apparatus, and storage medium using padding/trimming in compression neural network",0,G06T|G06V
12413787,2025-09-09,Virtual boundary signaling method and apparatus for video encoding/decoding,0,H04N
12413778,2025-09-09,"Intra block copy-based encoding/decoding method, device, and bitstream storage medium",0,H04N
12413743,2025-09-09,Inter prediction information encoding/decoding method and device,0,H04N
12413713,2025-09-09,"Image encoding/decoding method and device, and recording medium storing bitstream",0,H04N
12413705,2025-09-09,Method and apparatus for encoding/decoding image using geometrically modified reference picture,0,H04N
12413534,2025-09-09,Apparatus and method for guaranteeing deterministic latency in communication system,0,H04L
12413301,2025-09-09,Optical transceiver and method of optimizing optical transceiver,0,H04B|H04L
12411738,2025-09-09,"Distributed cloud system, data processing method of distributed cloud system, and storage medium",0,G06F|H04L
12409947,2025-09-09,System and method for detecting aircraft energy anomaly using neural network model,0,B64D|G06N|G08G
12408074,2025-09-02,Method and apparatus of data transmission for high capacity network,0,H04W
12408000,2025-09-02,Method of processing mesh data for processing audio signal for audio rendering in virtual reality space,0,G06T|H04S
12407417,2025-09-02,Method and apparatus for optimizing performance of optical transceiver,0,H04B|H04L
12402144,2025-08-26,Method for transmitting and receiving control information of a mobile communication system,0,H04L|H04W
