patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432927,2025-09-30,"Semiconductor devices, systems, and methods for forming the same",0,H01L|H10B
12432923,2025-09-30,Memory device and fabrication method thereof,0,H01L|H10B
12432921,2025-09-30,Three-dimensional memory devices and methods for forming the same,0,H01L|H10B
12431468,2025-09-30,Bonded semiconductor devices having processor and dynamic random-access memory and methods for forming the same,0,G11C|H01L|H10B
12430034,2025-09-30,Memory controller and memory system performing data search based on logical-to-physical mapping table,0,G06F
12424544,2025-09-23,Three-dimensional NAND memory and fabrication method thereof,0,H01L|H10B
12423251,2025-09-23,"Memory device, method for controlling memory device and memory system",0,G06F|G11C
12423005,2025-09-23,"Host, memory system, and operation methods thereof",0,G06F
12419050,2025-09-16,"Semiconductor device and its manufacturing method, memory and memory system",0,H01L|H10B
12417055,2025-09-16,High-performance input buffer and memory device having the same,0,G06F|G11C
12417036,2025-09-16,System and method of performing a read operation,0,G06F|G11C
12417020,2025-09-16,"Memory device, memory system, and method for data calculation with the memory device",0,G06F|G11C
12412855,2025-09-09,Vertical memory devices,0,H01L|H10B
12412628,2025-09-09,Methods for forming three-dimensional memory devices,0,G11C|H01L|H10B|H10D
12411626,2025-09-09,File system and host performance booster for flash memory,0,G06F
12411609,2025-09-09,"Memory device and its operating method, memory system and operating method thereof",0,G06F
12408338,2025-09-02,Memory devices having vertical transistors and methods for forming the same,0,G11C|H01L|H10B
12406954,2025-09-02,Memory devices having vertical transistors and methods for forming the same,0,H01L|H10B|H10D
12406928,2025-09-02,Three-dimensional memory devices and fabricating methods thereof,0,H01L|H10B
12406879,2025-09-02,Staircase formation in three-dimensional memory device,0,H01L|H10B
12405793,2025-09-02,Bus-interleave protocol to improve multiple logic unit (LUN) operation efficiency,0,G06F
12405736,2025-09-02,"Operating methods, memory controllers, and memory systems",0,G06F
12402309,2025-08-26,Three-dimensional memory devices and fabricating methods thereof,0,H01L|H10B
12399643,2025-08-26,Data protection for three-dimensional NAND memory,0,G06F|G11C
12396171,2025-08-19,Method of fabricating three-dimensional NAND memory,0,H01L|H10B
12394751,2025-08-19,Method of forming semiconductor structure,0,H01L
12393365,2025-08-19,"Method of controlling memory, memory and memory system",0,G06F|G11C
12389611,2025-08-12,Structure and method for forming capacitors for a three-dimensional NAND,0,H01L|H10B|H10D
12388037,2025-08-12,Three-dimensional memory devices and methods for forming the same,0,H01L|H10B
12388036,2025-08-12,Three-dimensional memory devices and methods for forming the same,0,H01L
12386741,2025-08-12,"Memory controller, memory system, and method for managing logical-to-physical mapping table based on address boundary",0,G06F
12386739,2025-08-12,Memory system and operation method thereof and memory controller,0,G06F
12386737,2025-08-12,"Electronic devices and memory systems having a power control function, and power control methods",0,G06F
12386550,2025-08-12,"Memory device, memory system, and method for data calculation with the memory device",0,G06F|G11C
12382628,2025-08-05,Semiconductor device and method for forming the same,0,H01L|H10B|H10D
12381111,2025-08-05,Wafer bonding method and bonded wafer,0,H01L
12379857,2025-08-05,Dynamic peak power management for multi-die operations,0,G06F|G11C|H10D
12376278,2025-07-29,Bonded semiconductor devices having processor and static random-access memory and methods for forming the same,0,H01L|H10B|H10D
12373290,2025-07-29,Memory systems and operation methods thereof,0,G06F
12373134,2025-07-29,Memory device fragmentation analysis based on logical-to-physical tables,0,G06F
12369317,2025-07-22,"Three-dimensional memory devices having a support stack comprising a sacrificial dielectric layer, and fabricating methods thereof",0,G11C|H01L|H10B
12363896,2025-07-15,Trench structures for three-dimensional memory devices,0,H01L|H10B
12362223,2025-07-15,"Semiconductor structure, fabrication method and three-dimensional memory",0,H01L|H10B|H10D
12360916,2025-07-15,"Memory systems and methods of operating thereof, memory controllers and readable storage media",0,G06F
12360915,2025-07-15,"Operation method of controller, controller, and memory system",0,G06F
12360846,2025-07-15,"Apparatus, system, and method for operating memory system",0,G06F|G11C
12354994,2025-07-08,Three-dimensional memory device and fabrication method,0,H01L|H10B
12353726,2025-07-08,Memory device and program operation thereof,0,G06F|G11C
12349345,2025-07-01,Three-dimensional memory devices and methods for forming the same,0,H01L|H10B
12347787,2025-07-01,Three dimensional (3D) memory device and fabrication method,0,H01L|H10B
12347684,2025-07-01,Method and structure for cutting dense line patterns using self-aligned double patterning,0,H01L|H10B
12346681,2025-07-01,Firmware updating in PCIe type apparatuses,0,G06F
12346576,2025-07-01,Memory systems and operation methods thereof,0,G06F
12340115,2025-06-24,Data preprocessing (DPP) pattern supporting both normal program and early cache release program (ECRP),0,G06F|G11C
12339769,2025-06-24,"Memory device, operation method thereof, and memory system",0,G06F|G11C
12339737,2025-06-24,"Memory system and operation method thereof, and computer-readable storage medium",0,G06F
12336181,2025-06-17,Three-dimensional memory device having source-select-gate cut structures and methods for forming the same,0,H01L|H10B
12334399,2025-06-17,Structures and methods for fabricating staircase regions of a three-dimensional NAND memory device,0,H01L|H10B
12334361,2025-06-17,"Substrate structure, and fabrication and packaging methods thereof",0,H01L
12334181,2025-06-17,Method for controlling temperature of chips and related chips,0,G06F|G11C
12328867,2025-06-10,Memory devices having vertical transistors and methods for forming the same,0,H01L|H10B|H10D
12327601,2025-06-10,Method and apparatus for power saving in semiconductor devices,0,G06F|G11C|Y02D
12327026,2025-06-10,"Memory controller, memory device, memory system and operation method thereof",0,G06F|G11C
12324198,2025-06-03,Semiconductor device and manufacture method thereof,0,H01L|H10D
12322596,2025-06-03,Methods for thermal treatment of a semiconductor layer in semiconductor device,0,B23K|H01L|H10B
12322456,2025-06-03,Digital verify failbit count (VFC) circuit,0,G06F|G11C|H03M
12321676,2025-06-03,System and methods for modeling and simulating on-die capacitors,0,G01R|G06F
12317491,2025-05-27,Three-dimensional memory device and fabrication method for enhanced reliability,0,H01L|H10B|H10D
12315802,2025-05-27,Memory device and fabrication method thereof,0,H01L|H10B
12315568,2025-05-27,Memory device and program operation thereof,0,G06F|G11C|H10B
12310011,2025-05-20,Three-dimensional memory devices and methods for forming the same,0,H01L|H10B
12308856,2025-05-20,"Decoder, decoding method, memory controller, and memory system",0,G06F|H03M
12302573,2025-05-13,Three-dimensional memory device with backside interconnect structures,0,H01L|H10B
12300648,2025-05-13,Three-dimensional memory devices and methods for forming the same,0,H01L|H10B
12300336,2025-05-13,Media scan in memory systems,0,G06F|G11C
12300331,2025-05-13,"Operation method of memory system, memory system and electronic device",0,G06F|G11C
12300327,2025-05-13,"Memory device, memory system, and operation method thereof",0,G06F|G11C
12300317,2025-05-13,Three-dimensional memory device and methods for forming the same,0,G11C|H01L|H10B
12299332,2025-05-13,"Memory devices, operation method thereof and memory system",0,G06F|G11C
12299323,2025-05-13,Memory controller and memory system performing wear-leveling,0,G06F
12299288,2025-05-13,Method for recovery in read operation of memory device and memory device thereof,0,G06F|G11C
12299281,2025-05-13,"Memory systems and operation methods thereof, host devices and operation methods thereof, and computer-readable storage media",0,G06F
12293084,2025-05-06,"Operating method for a memory, a memory, and a memory system to improve programming efficiency",0,G06F|G11C|H10B
12283547,2025-04-22,Contact structures for three-dimensional memory devices and methods for forming the same,0,H01L|H10B
12283322,2025-04-22,Three-dimensional NAND memory and fabrication method thereof,0,G11C|H01L|H10B
12282435,2025-04-22,"Memory system and method of operating thereof, storage medium and memory controller",0,G06F
12278209,2025-04-15,Peripheral circuit having recess gate transistors and method for forming the same,0,G11C|H01L|H10B
12277343,2025-04-15,"Memory controller and control method thereof, memory apparatus, and memory system that improve the balance of the read performance",0,G06F
12277324,2025-04-15,"Memory system, operation method thereof, and computer-readable storage medium for sorting super blocks",0,G06F
12277072,2025-04-15,Memory system and operation method thereof using tag-group-based recording operation,0,G06F
12277064,2025-04-15,"Method for operating memory system, memory controller, memory system and electronic device",0,G06F|G11C
12277018,2025-04-15,Memory system and operation method thereof and power management module,0,G06F
12274066,2025-04-08,Memory peripheral circuit having three-dimensional transistors and method for forming the same,0,H01L|H10B
12274049,2025-04-08,Memory devices having vertical transistors and stacked storage units and methods for forming the same,0,H01L|H10B|H10D
12272645,2025-04-08,Three-dimensional memory devices and fabricating methods thereof,0,H01L|H10B
12266403,2025-04-01,Three-dimensional NAND memory and fabrication method thereof,0,G11C|H01L|H10B|Y02D
12262539,2025-03-25,3D NAND memory device and method of forming the same,0,G11C|H01L|H10B|H10D
12262533,2025-03-25,Dynamic flash memory (DFM) with multi-cells,0,G11C|H01L|H10B
12260124,2025-03-25,Three-dimensional memory device and method for enhanced page register reset,0,G06F|G11C
12260096,2025-03-25,Method of reducing Vpass disturb in 3D nand systems,0,G06F|G11C
12260094,2025-03-25,"Memory system and method of operating thereof, and computer-readable storage medium",0,G06F
12256540,2025-03-18,Three-dimensional memory devices with improved back-side channel structures,0,H01L|H10B|H10D
12255181,2025-03-18,Methods for forming three-dimensional memory devices,0,H01L|H10B
12255164,2025-03-18,Structure and method for isolation of bit-line drivers for a three-dimensional NAND,0,H01L|H10B|H10D
12254950,2025-03-18,"Dies, semiconductor package structures, enable pin configuration methods and memories",0,G11C|H01L
12254185,2025-03-18,Managing operations in memory systems,0,G06F
12254181,2025-03-18,"Memory system controller, memory and operation methods thereof, and electronic device",0,G06F
12253942,2025-03-18,System and method for defragmentation of memory device,0,G06F|Y02D
12248396,2025-03-11,Memory system and a method for garbage collection of the memory system,0,G06F
12242735,2025-03-04,Memory systems and operation methods thereof,0,G06F
12242341,2025-03-04,"Error correction method, memory system and memory controller",0,G06F
12236100,2025-02-25,"Operating method, memory controller, and memory system",0,G06F
12232320,2025-02-18,Word line structure of three-dimensional memory device,0,H01L|H10B|H10D
12232316,2025-02-18,Bonded memory device and fabrication methods thereof,0,H01L|H10B
12229419,2025-02-18,Page buffer supporting different bit line forcing operations using a dynamic latch,0,G06F|G11C
12229028,2025-02-18,Memory device with failed main bank repair using redundant bank,0,G06F|G11C
12216908,2025-02-04,"Memory systems, operation methods thereof, and electronic devices",0,G06F|G11C
12216907,2025-02-04,Method of improving programming operations in 3D NAND systems,0,G06F|G11C
12205940,2025-01-21,Semiconductor package structure and packaging method thereof,0,H01L
12205895,2025-01-21,Three-dimensional memory device having staircase structure and method for forming the same,0,H01L|H10B
12198946,2025-01-14,Intelligent customizable wet processing system,0,H01L
12193229,2025-01-07,Semiconductor device fabrication,0,H01L|H10B
12191269,2025-01-07,Three-dimensional memory device and method for forming the same,0,H01L|H10B|H10D
12189985,2025-01-07,"Memory controllers and operating methods thereof, memory systems, and electronic devices",0,G06F
12189951,2025-01-07,Best read reference voltage search of 3D NAND memory,0,G06F|G11C
12185550,2024-12-31,Through array contact structure of three-dimensional memory device,0,H01L|H10B
12183698,2024-12-31,Structure and method for isolation of bit-line drivers for a three-dimensional NAND,0,H01L|H10B|H10D
12183623,2024-12-31,Semiconductor devices and methods for fabricating the same,0,H01L|H10B|H10D
12182418,2024-12-31,"Memory controller, memory system and operation method thereof",0,G06F
12182039,2024-12-31,"Memory and an operating method thereof, a memory system",0,G06F
12176310,2024-12-24,Memory devices having vertical transistors and methods for forming the same,1,H01L|H10B
12176309,2024-12-24,Three-dimensional memory devices and methods for forming the same,0,H01L|H10B|H10D
12176047,2024-12-24,Interface protocols between memory controller and NAND flash memory for cache programming,0,G06F|G11C
12175100,2024-12-24,Data processing in memory system,0,G06F
12170258,2024-12-17,Memory devices having vertical transistors and methods for forming the same,0,H01L|H10B
12170257,2024-12-17,Three-dimensional memory devices and methods for forming the same,0,H01L|H10B|H10D
12169640,2024-12-17,Read retry method for enhancing read performance and stability of 3D NAND memory,0,G06F|G11C
12167605,2024-12-10,Vertical memory devices,0,H01L|H10B|H10D
12166012,2024-12-10,Flip-chip stacking structures and methods for forming the same,0,H01L|H10B
12159849,2024-12-03,DRAM memory device with Xtacking architecture,0,H01L|H10B
12159058,2024-12-03,High-performance input buffer and memory device having the same,0,G06F|G11C
12153800,2024-11-26,Redundant data protection for NAND memory using self-verification by internal firmware,0,G06F|G11C
12148714,2024-11-19,Three-dimensional memory devices and methods for forming the same,0,H01L|H10B
12148705,2024-11-19,Methods for forming semiconductor devices bonded by interposer structure,0,H01L|H10B
12148655,2024-11-19,Methods for forming stairs in three-dimensional memory devices,0,H01L|H10B
12142575,2024-11-12,Staircase etch control in forming three-dimensional memory device,0,H01L|H10B
12137568,2024-11-05,Hybrid bonding contact structure of three-dimensional memory device,0,H01L|H10B
12137567,2024-11-05,Interconnect structure of three-dimensional memory device,0,H01L|H10B
12137558,2024-11-05,Staircase structure for memory device,0,H01L|H10B
12136618,2024-11-05,Three-dimensional memory device with backside source contact,0,H01L|H10B|H10D
12136599,2024-11-05,Three-dimensional memory devices and fabricating methods thereof,0,H01L|H10B
12136586,2024-11-05,Semiconductor devices having a conductive layer stacking with an insulating layer and a spacer structure through the conductive layer,0,H01L|H10B
12133386,2024-10-29,Contact pads of three-dimensional memory device and fabrication method thereof,0,H01L|H10B
12131924,2024-10-29,Method for processing semiconductor wafers,0,B23K|H01L
12127393,2024-10-22,Memory devices having vertical transistors and methods for forming the same,0,H01L|H10B|H10D
12125827,2024-10-22,Chip package structure and manufacturing method thereof,0,H01L
12118228,2024-10-15,Data protection method for memories and memory device thereof,0,G06F
12114498,2024-10-08,Three-dimensional memory devices,0,H01L|H10B
12113037,2024-10-08,Three-dimensional memory devices and methods for forming the same,0,H01L|H10B
12108603,2024-10-01,Methods for forming on-chip capacitor structures in semiconductor devices,0,G11C|H01L|H10B|H10D
12106985,2024-10-01,Laser dicing system and method for dicing semiconductor structure including cutting street,0,B23K|H01L
12099729,2024-09-24,"Verify failbit count circuit, memory device, memory system and method",0,G06F|G11C|Y02D
12094767,2024-09-17,Barrier layers for word line contacts in a three-dimensional NAND memory and fabrication methods thereof,0,H01L|H10B
12093535,2024-09-17,"Memory device, memory system, and program operation method thereof",0,G06F|G11C
