patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432791,2025-09-30,"Method, apparatus, and device for determining protocol architecture",0,H04L|H04W
12432782,2025-09-30,"Method for random access procedure fallback, device, and system",0,H04W
12432747,2025-09-30,Frequency domain resource assignment method and device,0,H04L|H04W
12432733,2025-09-30,"Maximum PDCCH processing capability allocation method, terminal device, and network device",0,H04L|H04W
12432717,2025-09-30,"Method for uplink transmission in unlicensed band, terminal, and network device",0,H04L|H04W
12432699,2025-09-30,"Beam information determining method, terminal, and network side device",0,H04B|H04L|H04W
12432621,2025-09-30,Method and device for determining a parameter value,0,H04W
12432602,2025-09-30,"Measurement control method, terminal, and network-side device",0,H04B|H04W
12432597,2025-09-30,"Radio resource management measurement method, terminal device, and network device",0,H04W|Y02D
12432582,2025-09-30,Method for determining radio link state and terminal,0,H04L|H04W
12432529,2025-09-30,"Multicast service processing method, multicast service configuration method, and communications device",0,H04W
12432291,2025-09-30,Transmission structure and electronic device,0,G03B|H04M|H04N
12430273,2025-09-30,"Protection method, protection apparatus, electronic device, readable storage medium, and chip",0,G06F|H02H|Y02D
12429998,2025-09-30,"Image display method and apparatus, and electronic device",0,G06F|H04M|H04N
12429084,2025-09-30,Hinge mechanism and electronic device,0,F16C|G06F|G09F|H04M|H05K
12426101,2025-09-23,"Cell reconfiguration method, network control node, and mobile IAB node",0,H04W
12426057,2025-09-23,Information transmission method and device,0,H04L|H04W
12425955,2025-09-23,"Processing method, terminal, and network element",0,H04W
12425904,2025-09-23,"Method and apparatus for measuring sidelink reference signal received power, and communications device",0,H04B|H04L|H04W
12425849,2025-09-23,"Method and apparatus for obtaining key, user equipment, and network side device",0,H04W
12425734,2025-09-23,"Image capture method, image capture apparatus, readable storage medium",0,G03B|H04N
12425599,2025-09-23,Method and apparatus for decoding image by using transform according to block size in image coding system,0,H04N
12425587,2025-09-23,"Image encoding/decoding method and device for signaling filter information on basis of chroma format, and method for transmitting bitstream",0,H04N
12425360,2025-09-23,"Information display method, electronic device, and non-transitory readable storage medium",0,G06F|H04L
12425322,2025-09-23,"Measurement method, configuration method and device",0,H04L|H04W|Y02D
12425164,2025-09-23,Method for transmitting reference signal and device,0,H04L|H04W
12425144,2025-09-23,"Data transmission processing method and apparatus, communication device, and storage medium",0,G01S|H04B|H04J|H04L
12425136,2025-09-23,"Downlink data receiving method, downlink data sending method, and device",0,H04L|H04W
12425133,2025-09-23,"Physical uplink control channel transmission method and apparatus, device and medium",0,H04L|H04W
12422785,2025-09-23,Wearable device and control method therefor,0,G04C|G04G|G06F
12418891,2025-09-16,"Feedback information transmission method and apparatus, device, and medium",0,H04L|H04W
12418366,2025-09-16,"Information sending method, information receiving method, terminal, and control node",0,H04L|H04W
12414138,2025-09-09,"Mode switching method, terminal, and network-side device",0,H04W
12414129,2025-09-09,"Resource determining method, resource indication method, and device",0,H04L|H04W
12414124,2025-09-09,"Resource configuration method, information transmission method, and related device",0,H04L|H04W
12414082,2025-09-09,Resource conflict processing method and device,0,H04W
12414020,2025-09-09,"Handover method and apparatus, terminal device, and network device",0,H04W|Y02D
12414016,2025-09-09,"Mobility management method, source base station, target base station, and terminal device",0,H04W
12413936,2025-09-09,"Transmission mode conversion indication method, access network device, and terminal device",0,H04L|H04W
12413867,2025-09-09,"Photographing method and apparatus, electronic device, and storage medium",0,G06F|G06T|H04N
12413854,2025-09-09,Shooting method and electronic device,0,G06F|H04N
12413738,2025-09-09,Video encoding method and apparatus and electronic device,0,H04N
12411529,2025-09-09,Connection component and mobile terminal,0,E05D|E05Y|G06F|H04M|H05K
12411396,2025-09-09,"Electronic device, control method and control apparatus thereof, and terminal device",0,G03B|H04M|H04N
12407858,2025-09-02,Transform coefficient coding method and device,0,H04N
12407850,2025-09-02,"Motion estimation method and apparatus, electronic device and readable storage medium",0,H04N
12407741,2025-09-02,Method and apparatus for multicast service session operation and communications device,0,H04L|H04M|H04W
12407481,2025-09-02,"Method for reporting CSI report, terminal device, and network device",0,H04B|H04L|H04W
12405936,2025-09-02,Message processing method and electronic device,0,G06F|H04L
12405698,2025-09-02,"Display method and apparatus, and electronic device",0,G06F|Y02D
12402140,2025-08-26,"Serving cell scheduling method, terminal device, and network device",0,H04W
12402058,2025-08-26,Data transmission method and electronic device,0,H04L|H04W
12401893,2025-08-26,"Shooting method, shooting apparatus, and electronic device",0,H04N
12401887,2025-08-26,Photographing method and apparatus and electronic device,0,H04N
12401873,2025-08-26,Camera module and electronic device,0,G02B|H04N|H05K
12401546,2025-08-26,"Uplink transmission method and apparatus, device, and storage medium",0,H04L|H04W
12401486,2025-08-26,Information transmission method and electronic device,0,H04L|H04W
12400288,2025-08-26,"Photographing method, and electronic device and non-transitory readable storage medium",0,G06T|H04N
12399534,2025-08-26,Folding mechanism and electronic device,0,F16C|G06F|H04M
12396058,2025-08-19,Wi-Fi control method and apparatus and electronic device,0,H04W
12396034,2025-08-19,Information transmission method and device,0,H04W
12396032,2025-08-19,"Resource configuration method and apparatus, device, and storage medium",0,H04L|H04W
12395969,2025-08-19,"Resource configuration method, apparatus, and device",0,H04B|H04W
12395887,2025-08-19,"Transmission priority processing method, terminal, and network-side device",0,H04W
12395723,2025-08-19,"Focusing method with operation region, electronic device, and medium",0,G06F|H04N
12395301,2025-08-19,"Beam information determining method, terminal, and network device",0,H04B|H04L|H04W
12395293,2025-08-19,"Signal transmission method, information indication method, and communications device for determining a signal transmission path",0,H04B|H04L|H04W
12395271,2025-08-19,"Data retransmission method, data retransmission apparatus, target node, source node, and terminal",0,H04L|H04W
12395266,2025-08-19,"Sequence generation method, signal receiving method, apparatus, and terminal",0,H04L|H04W
12393319,2025-08-19,"Display method, non-transitory readable storage medium, and chip",0,G06F
12393104,2025-08-19,"Electronic device and camera module thereof having a driver that drives a slider to move, a lens component rotating with movement of the slider",0,G02B|G03B|H04M|H04N
12389441,2025-08-12,Resource selection method and device,0,H04W
12389385,2025-08-12,Method for transmitting indication information and communications device,0,H04L|H04W
12389349,2025-08-12,"Search space configuration method and apparatus, and communications device",0,H04L|H04W
12389343,2025-08-12,"Transmit power configuration method, IAB node, base station, and storage medium",0,H04W
12389289,2025-08-12,"Camping method, apparatus and terminal",0,H04W
12389266,2025-08-12,"Sidelink information transmission method, terminal, and control node",0,H04L|H04W
12389246,2025-08-12,"Method and apparatus for determining measurement target based on configuration information, device, and medium",0,H04B|H04W
12389099,2025-08-12,Camera apparatus and electronic device,0,G02B|H04N
12389012,2025-08-12,Method for processing image on basis of intra prediction mode and apparatus therefor,0,H04N
12388952,2025-08-12,"Video frame insertion method and apparatus, and electronic device",0,G06T|H04N
12388570,2025-08-12,"Data transmission method, device, and medium",0,H04L|H04W
