patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12425537,2025-09-23,Excluding video frame blocks from compensation based on difference determination,0,G06T|G06V|H04N
12423904,2025-09-23,Intersection testing in a ray tracing system,0,G06T
12418657,2025-09-16,Guaranteed data compression,0,G06T|H04N
12417577,2025-09-16,Coherency gathering for ray tracing,0,G06T
12417122,2025-09-16,Memory allocation for 3-D graphics rendering,0,G06F|G06T
12417073,2025-09-16,Floating point to fixed point conversion,0,G06F|H03M
12412334,2025-09-09,Anisotropic texture filtering by combining isotropic filtering results at each of a plurality of sampling points,0,G06F|G06T
12412234,2025-09-09,Memory management for multicore 3-D graphics rendering,0,G06T
12406433,2025-09-02,Processing fragments which have a shader-dependent property in a graphics processing system,0,G06T
12406325,2025-09-02,Tile based computer graphics,0,G06T
12405804,2025-09-02,Hardware unit for performing matrix multiplication with clock gating,0,G06F|G06N
12405802,2025-09-02,Methods and systems for inter-pipeline data hazard avoidance,0,G06F
12395312,2025-08-19,Method and apparatus for time synchronisation in wireless networks,0,H04J|H04L|H04N|H04W
12394136,2025-08-19,Intersection testing in a ray tracing system using comparison of intersection distance differences between primitive intersections,0,G06T
12394134,2025-08-19,Transformation of data in a ray tracing system,0,G06T
12394133,2025-08-19,Texture address generation using fragment pair differences,0,G06T
12394132,2025-08-19,Graphics processing system and method of rendering,0,G06T
12393517,2025-08-19,Flexible cache structure for caching compressed and uncompressed data,0,G06F
12387416,2025-08-12,Anisotropic texture filtering using weights of an anisotropic filter that minimize a cost function,0,G06F|G06T
12387413,2025-08-12,Graphics processing system and method of rendering,0,G06T
12387091,2025-08-12,Activation functions for deep neural networks,0,G06N
12386806,2025-08-12,Hierarchy merging in computer graphics,0,G06F|G06T
12386709,2025-08-12,Periodic reset of graphics processor unit in safety-critical graphics processing system,0,G06F|G06T
12380646,2025-08-05,Accessing primitive data using tessellated primitive ID,0,G06T
12380626,2025-08-05,Systems and methods for 3-D scene acceleration structure creation and updating,0,G06T
12380606,2025-08-05,Compression and decompression of sub-primitive presence indications for use in a rendering system,0,G06T
12380040,2025-08-05,Priority based arbitration,0,G06F
12374048,2025-07-29,Tessellation method using displacement factors,0,G06T
12374030,2025-07-29,Post-tessellation blending in a GPU pipeline,0,G06F|G06T
12374021,2025-07-29,Anisotropic texture filtering by combining results of isotropic filtering at a plurality of sampling points with a gaussian filter,0,G06F|G06T
12373621,2025-07-29,Verification of hardware design for data transformation component,0,G01R|G06F
12367634,2025-07-22,Allocation of resources to tasks,0,G06F|G06T
12367633,2025-07-22,"Data structures, methods and tiling engines for hierarchically storing tiling information in a graphics processing system",0,G06T
12367614,2025-07-22,Random accessible image data compression,0,G06F|G06T|H04N
12367046,2025-07-22,Scheduling tasks using swap flags,0,G06F
12361606,2025-07-15,ASTC interpolation,0,G06T|H04N
12360864,2025-07-15,Workload repetition redundancy,0,G06F|G06T
12354208,2025-07-08,Multi-rendering in graphics processing units using render progression checks,0,G06F|G06T
12354185,2025-07-08,Sparse rendering in computer graphics,0,G06T
12353883,2025-07-08,Executing memory requests out of order,0,G06F|Y02D
12347119,2025-07-01,Training a machine learning algorithm to perform motion estimation of objects in a set of frames,0,G06F|G06T
12340528,2025-06-24,Determining dominant gradient orientation in image processing using double-angle gradients,0,G06F|G06T|G06V
12333768,2025-06-17,Data compression and decompression,0,G06F|G06T|H03M|H04N
12333753,2025-06-17,Matching local image feature descriptors in image analysis,0,G06F|G06T|G06V
12333641,2025-06-17,Random accessible lossless parameter data compression for tile based 3D computer graphics systems,0,G06T
12326778,2025-06-10,Processing tasks in a processing system,0,G06F
12322042,2025-06-03,Multi-viewport transformation module for use in 3D rendering system,0,G06F|G06T|G09G
12322025,2025-06-03,Reducing redundant rendering in a graphics system,0,G06T
12322024,2025-06-03,"Data structures, methods and primitive block generators for storing primitives in a graphics processing system",0,A63F|G06T|G09G
12322005,2025-06-03,Task assembly for SIMD processing using characteristics of computation instance for allocation to a task,0,G06T
12321271,2025-06-03,Distributed system level cache,0,G06F
12315471,2025-05-27,Gamut mapping using luminance parameters,0,G09G|H04N
12315067,2025-05-27,Geometry to tiling arbiter for tile-based rendering system,0,G06T
12315035,2025-05-27,Input/output filter unit for graphics processing unit,0,G06F|G06T
12315033,2025-05-27,Modifying processing of commands in a command queue based on accessed data related to a command,0,G06F|G06T
12315032,2025-05-27,Multi-core draw splitting,0,G06T
12314682,2025-05-27,Floating point adder,0,G06F
12314645,2025-05-27,Method and system for verifying a sorter,0,G06F
12307724,2025-05-20,Image data decompression using difference values between data values and origin values for image data channels,0,G06F|G06T|H04N
12307597,2025-05-20,Assembling primitive data into multi-view primitive blocks in a graphics processing system,0,G06T
12307555,2025-05-20,Cube mapping using gradients of an input block of fragments,0,G06F|G06T
12299937,2025-05-13,Image data compression,0,G06F|G06T|H04N
