patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12387762,2025-08-12,"Video editing method and apparatus, electronic device and medium",0,G06N|G06V|G10L|G11B
12373504,2025-07-29,"Method for recommending a search term, method for training a target model and electronic device",0,G06F|Y02D
12355860,2025-07-08,"Correlation coefficient acquisition method, electronic device and non-transitory computer readable storage medium",0,H04L
12353574,2025-07-08,"Page processing method, electronic apparatus and non-transitory computer-readable storage medium",0,G06F
12314852,2025-05-27,"Method for recommending object, computing device and computer-readable storage medium",0,G06N|G06Q
12307285,2025-05-20,"Mini app switching method, framework, electronic apparatus and non-transitory computer-readable storage medium",0,G06F
12277393,2025-04-15,"Method of training ranking model, and electronic device",0,G06F|G06N|Y02D
12210892,2025-01-28,Method for implementing smart contract based on blockchain,0,G06F|G06Q|H04L
12159120,2024-12-03,Translation method and apparatus and electronic device,0,G06F|G06N|G06V
12141153,2024-11-12,"Method, apparatus and device used to search for content",0,G06F
12124447,2024-10-22,"Data prefetching method and apparatus, electronic device, and computer-readable storage medium",0,G06F|G06N|Y02D
12086556,2024-09-10,"Method, apparatus, device and medium for generating recruitment position description text",0,G06F|G06N|G06Q
12081682,2024-09-03,"Method for determining main chain of blockchain, device, and storage medium",0,G06F|G06Q|H04L
12079258,2024-09-03,"Similarity processing method, apparatus, server and storage medium",0,G06F|G06V
12057117,2024-08-06,"Method and apparatus of verifying information based on a voice interaction, device, and computer storage medium",0,G06F|G10L
12056184,2024-08-06,"Method and apparatus for generating description information of an image, electronic device, and computer readable storage medium",0,G06F
12032672,2024-07-09,"Image verification method and apparatus, electronic device and computer-readable storage medium",0,G06F|H04L
12014258,2024-06-18,"Method and device for optimizing simulation data, and computer-readable storage medium",0,G06F|G06N
11990130,2024-05-21,"Method, apparatus, device and computer storage medium for processing voices",0,G06F|G10L|H04L
11989272,2024-05-21,"Human-machine verification method, device and storage medium",0,G06F|G06V
11978447,2024-05-07,"Speech interaction method, apparatus, device and computer storage medium",0,G06F|G10L
11978245,2024-05-07,Method and apparatus for generating image,0,G06F|G06N|G06T|G06V
11977589,2024-05-07,"Information search method, device, apparatus and computer-readable medium",0,G06F|G06N
11976931,2024-05-07,"Method and apparatus for guiding voice-packet recording function, device and computer storage medium",0,G01C|G06Q|G10L
11960455,2024-04-16,"Method and apparatus for building database for retrieval, device and storage medium",0,G06F
11954013,2024-04-09,"Method of testing applet performance, electronic device, and computer-readable medium",0,G06F
11947578,2024-04-02,"Method for retrieving multi-turn dialogue, storage medium, and electronic device",0,G06F|G06N|Y02D
11934292,2024-03-19,"Sampling object determination method, electronic device, and computer-readable storage medium",0,G06F
11906320,2024-02-20,"Method for managing navigation broadcast, and device",0,G01C|G06F|H04W
11887343,2024-01-30,Method and apparatus for generating simulation scene,0,G06N|G06T|H04N
11875171,2024-01-16,"Blockchain network transaction processing method, apparatus, device, and storage medium",0,G06F|G06Q|H04L
11855752,2023-12-26,"Method for pushing information, method and apparatus for controlling presentation of content",0,B60K|B60W|G05D|H04H|H04L|H04N|H04W
11847194,2023-12-19,"Scheduling method and apparatus, device and storage medium",0,G06F|G06N|H04L|H04W
11847161,2023-12-19,"Data processing method and apparatus, device, and storage medium",0,G06F
11847147,2023-12-19,"Method for building ranking model, query auto-completion method and corresponding apparatuses",0,G06F|G06N
11842072,2023-12-12,"Distributed storage method and apparatus, computer device, and storage medium",0,G06F|H04L
11838377,2023-12-05,"Method, apparatus, electronic device and storage medium for training user click model",0,G06F|G06N|G06Q|H04L
11836197,2023-12-05,Search processing method and apparatus based on clipboard data,0,G06F
11836174,2023-12-05,Method and apparatus of establishing similarity model for retrieving geographic location,0,G06F|G06N|Y02D
11831735,2023-11-28,Method and device for processing mini program data,0,G06F|H04L|Y02D
11830482,2023-11-28,"Method and apparatus for speech interaction, and computer storage medium",0,G06F|G10L
11829436,2023-11-28,"Method and apparatus of pre-rendering page, electronic device, and storage medium",0,G06F|Y02D
11822957,2023-11-21,"Task migration method, apparatus, electronic device and storage medium",0,G06F
11810333,2023-11-07,Method and apparatus for generating image of webpage content,0,G06F|G06T|G06V
11810177,2023-11-07,Clothing collocation,0,G06F|G06Q|G06V
11809903,2023-11-07,"Mini program processing method, apparatus, device and storage medium",0,G06F
11803597,2023-10-31,"Data updating method, apparatus, search server, terminal and storage medium",0,G06F
11800042,2023-10-24,"Video processing method, electronic device and storage medium thereof",0,G06F|G06N|G06V|G11B|H04N
11790483,2023-10-17,"Method, apparatus, and device for identifying human body and computer readable storage medium",0,G06T|G06V
11789929,2023-10-17,"Method, apparatus, device and medium for performing review based on blockchain",0,G06F|G06Q
11780463,2023-10-10,"Method, apparatus and server for real-time learning of travelling strategy of driverless vehicle",0,B60W|G05D|G06Q|H04W
11770264,2023-09-26,"Method and apparatus for processing resource of block chain, device and medium",0,G06Q|H04L
11769125,2023-09-26,"Method and apparatus for processing transaction requests in blockchain, device and medium",0,G06F|G06Q|H04L
11768892,2023-09-26,"Method and apparatus for extracting name of POI, device and computer storage medium",0,G06F|G06V
11763474,2023-09-19,"Method for generating simulated point cloud data, device, and storage medium",0,G06T|G06V
11756094,2023-09-12,"Method and device for evaluating comment quality, and computer readable storage medium",1,G06F|G06N|G06Q
11750396,2023-09-05,"Private data processing method, device and medium",0,H04L|Y02D
11741952,2023-08-29,"Voice skill starting method, apparatus, device and storage medium",1,G06N|G10L
11736795,2023-08-22,"Shooting method, apparatus, and electronic device",0,H04N
11735179,2023-08-22,Speech chip and electronic device,0,G06N|G10L
11734373,2023-08-22,"Method, apparatus, device and computer storage medium for determining search result",0,G06F
11727927,2023-08-15,"View-based voice interaction method, apparatus, server, terminal and medium",0,G06F|G10L
11722727,2023-08-08,"Special effect processing method and apparatus for live broadcasting, and server",0,G06T|G06V|H04N
11720409,2023-08-08,"Resource processing method and apparatus, and storage medium",0,G06F
11719550,2023-08-08,"Method and apparatus for building route time consumption estimation model, and method and apparatus for estimating route time consumption",0,G01C|G06F|G06N|G06Q
11709999,2023-07-25,"Method and apparatus for acquiring POI state information, device and computer storage medium",1,G06F|G06N
11706172,2023-07-18,Method and device for sending information,0,G06N|G06V|H04L
11704833,2023-07-18,"Monocular vision tracking method, apparatus and non-transitory computer-readable storage medium",0,G06T|G06V
11704813,2023-07-18,"Visual search method, visual search device and electrical device",0,G06F|G06T|Y02D
11704538,2023-07-18,Data processing method and device,0,G06N
11703333,2023-07-18,"Method and apparatus for determining route, device and computer storage medium",0,G01C|G06F|G06T
11687942,2023-06-27,"Method and apparatus for processing account of blockchain network, and storage medium",0,G06Q|H04L
11677838,2023-06-13,"Acquisition method, apparatus, device and storage medium for applet data",0,H04L
11671370,2023-06-06,Method and apparatus for adjusting network flow,0,H04L
11670015,2023-06-06,Method and apparatus for generating video,0,G06T|G06V
11669579,2023-06-06,Method and apparatus for providing search results,0,G06F
11669530,2023-06-06,"Information push method and apparatus, device, and storage medium",0,G06F|G06Q|H04L
11665000,2023-05-30,"Method and apparatus for processing privacy data of block chain, device, and storage medium",1,G06F|H04L
11663260,2023-05-30,"Method and apparatus for searching multimedia content device, and storage medium",0,G06F|G06Q
11651015,2023-05-16,Method and apparatus for presenting information,0,G06F|G06N
11646016,2023-05-09,"Method and apparatus for recognizing user intention, device, and readable storage medium",0,G06F|G06N|G10L|Y02D
11645735,2023-05-09,"Method and apparatus for processing image, device and computer readable storage medium",2,G06T
11636155,2023-04-25,"Method and apparatus for data search, system, device and computer readable storage medium",1,G06F
11630821,2023-04-18,"Blockchain-based data processing method and apparatus, device, and medium",0,G06F|G16H
11620678,2023-04-04,"Advertising method, device and system, and computer-readable storage medium",0,G06Q
11614926,2023-03-28,Consensus mechanism deployment method and apparatus,3,G06F|H04L
11610394,2023-03-21,"Neural network model training method and apparatus, living body detecting method and apparatus, device and storage medium",0,G06F|G06V
11609961,2023-03-21,"Search method and apparatus for an electronic map, device and medium",0,G01C|G06F|H04L|H04W
11605226,2023-03-14,"Video data processing method and apparatus, and readable storage medium",0,G06F|G06N|G06V|H04N
