patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432756,2025-09-30,User equipment and method for transmitting S-SS/PSBCH block,0,H04L|H04W
12432742,2025-09-30,Terminal apparatus and communication method,0,H04L|H04W
12432736,2025-09-30,"User equipments, base stations and methods for multi-beam/panel PUCCH transmission",0,H04L|H04W
12432644,2025-09-30,User equipment (UE) and communication control method performed by UE,0,H04W
12432033,2025-09-30,User equipment and method for timing alignment,0,H04L|H04W
12426430,2025-09-23,Display device that improves light extraction efficiency from light emitting element by functioning as a mirror,0,G09F|H01L|H04N|H10H|H10K
12426044,2025-09-23,Method and user equipment for hybrid automatic repeat request feedback operation,0,H04L|H04W
12426038,2025-09-23,Method and apparatus for retransmission of hybrid automatic repeat request-acknowledgement,0,H04L|H04W
12425939,2025-09-23,Triggering of cell reselection evaluation process in non-terrestrial network,0,H04B|H04W
12425613,2025-09-23,Image decoding apparatus and image coding apparatus,0,H04N
12425525,2025-09-23,Image processing apparatus for storing log information and deleting log in response to a request from an information processing apparatus,0,H04N
12423423,2025-09-23,Image forming apparatus and image forming method,0,G06F|Y02D
12422770,2025-09-23,Image forming apparatus that sets cooling time of a fixing device,0,G03G|G06F|Y02D
12421041,2025-09-23,Conveyance system and conveying method,0,B65G|G06Q|G08G
12418932,2025-09-16,"Method performed by user equipment, and user equipment",0,H04L|H04W
12418899,2025-09-16,"User equipment, base station, and communication method",0,H04L|H04W
12418674,2025-09-16,Video coding apparatus and video decoding apparatus,0,H04N
12418649,2025-09-16,Device and method for decoding video data,0,H04N
12414436,2025-09-09,Display device,0,G09F|H01L|H05B|H10H|H10K
12414184,2025-09-09,"Method performed by user equipment, and user equipment",0,H04W
12414181,2025-09-09,UE and SMF,0,H04W
12414145,2025-09-09,"Terminal apparatus, method, and integrated circuit",0,H04B|H04W
12414119,2025-09-09,Method related to physical uplink control channel cell switching and user equipment,0,H04L|H04W
12414075,2025-09-09,Monitoring paging messages and small data transmission,0,H04W
12414070,2025-09-09,User equipment (UE) and method of use in discontinuous coverage within satellite networks,0,H04B|H04W
12413786,2025-09-09,Systems and methods for reducing latency in decoding of coded video data,0,H04N
12413764,2025-09-09,Systems and methods for signaling picture information in a slice header in video coding,0,H04N
12413751,2025-09-09,Systems and methods for signaling network abstraction layer unit information in video coding,0,H04N
12412425,2025-09-09,"Estimation system, estimation method, and recording medium recording estimation program",0,G06N|G06V
12411883,2025-09-09,"Information processing system, information processing method, and recording medium in which information processing program is stored",0,G06F
12408100,2025-09-02,"Network-controlled repeater devices, methods, and networks including same",0,H04B|H04L|H04W
