patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432468,2025-09-30,"Processing device, imaging apparatus, processing method, and processing program",0,H04N
12431236,2025-09-30,"Learning device, learning method, learning program, information processing apparatus, information processing method, and information processing program",0,G06T|G06V|G16H
12431107,2025-09-30,Display method and display apparatus,0,G06T|G09G|H04N
12430853,2025-09-30,"Image processing apparatus, image display system, image processing method, and program",0,A61B|G01T|G06T
12430820,2025-09-30,Image processing apparatus,0,A61B|G06T
12430088,2025-09-30,"System, terminal, server, image display method, and program",0,A63F|G06F
12430085,2025-09-30,"Content provision device, content provision method, program, and recording medium",0,G06F|H04L
12429975,2025-09-30,Touch panel,0,G06F
12429379,2025-09-30,"Image analysis method, image analysis device, program, and recording medium",0,G01J|G01L|G06T
12426845,2025-09-30,"X-ray CT apparatus, image processing apparatus, and motion-corrected image reconstruction method",0,A61B|G06T
12426166,2025-09-23,"Method of manufacturing conductive pattern, touch sensor, electromagnetic wave shield, antenna, wiring board, conductive heating element, and structure",0,G03F|G06F|H01L|H05K
12425714,2025-09-23,"Imaging device, imaging method, and program",0,G03B|H04N
12425705,2025-09-23,Imaging method and program,0,G01J|H04N
12425523,2025-09-23,"Content provision device, content provision method, program, and recording medium for providing content based on reading of an image printed on a medium",0,G06F|H04N
12425522,2025-09-23,Authenticity collation system and authenticity collation method,0,G06T|G06V|H04N
12423812,2025-09-23,"Information processing apparatus, information processing method, and non-transitory computer-readable storage medium for training an estimation model such that a loss is reduced",0,A61B|G06T|G06V
12423809,2025-09-23,"Medical image processing apparatus, method, and program for detecting abnormal region by setting threshold",0,A61B|G06T
12423562,2025-09-23,"Machine learning system and method, integration server, information processing apparatus, program, and inference model creation method",0,G06F|G06N|G16H
12422972,2025-09-23,"Information processing apparatus, information processing system, and non-transitory computer readable medium",0,G06F|H04M
12421426,2025-09-23,"Composition, thermally conductive sheet, and device with thermally conductive layer",0,C01P|C08K|C08L|C09C|C09J|C09K|H01L
12421343,2025-09-23,"Composition for forming underlayer film for imprinting, method for producing composition for forming underlayer film, kit, pattern producing method, and method for manufacturing semiconductor element",0,B29C|B29K|B29L|C08F|C08K|C08L|G03F|H01L
12419615,2025-09-23,Acoustic wave diagnostic apparatus and method of controlling acoustic wave diagnostic apparatus,0,A61B|G06F|G16H
12419590,2025-09-23,"Image processing device, image processing method, and image processing program",0,A61B|G06T
12418621,2025-09-16,"Information processing apparatus, non-transitory computer readable medium, and information processing method",0,G06F|H04N
12417838,2025-09-16,"Document creation support apparatus, method, and program to generate medical document based on medical images",0,G06F|G16H
12417648,2025-09-16,"Image analysis apparatus, image analysis method, and program",0,G06T|G06V
12417565,2025-09-16,"Image generation device, image generation program, learning device, learning program, image processing device, and image processing program",0,A61B|G06N|G06T
12415953,2025-09-16,Photodetector element and image sensor,0,B82Y|C09K|H04N|H10F|H10K|Y02E
12413730,2025-09-09,Device and method for adaptive quantization based on video capturing mode,0,H04N
12411546,2025-09-09,"Information processing apparatus, information processing method, and program",0,G02B|G03B|G06F|G06V
12407922,2025-09-02,"Imaging assistance apparatus, imaging system, imaging assistance method, and imaging assistance program",0,G02B|G03B|H04N
12406755,2025-09-02,"Document creation support apparatus, method, and program",0,A61B|G06T|G16H
12406376,2025-09-02,"Contour extraction device, contour extraction method, and contour extraction program",0,A61B|G06T
12401922,2025-08-26,"Imaging element, imaging apparatus, operation method of imaging element, and program",0,H04N
12401771,2025-08-26,"Optical scanning device, driving method of optical scanning device, and image drawing system",0,G02B|G03B|G09G|H04N
12400423,2025-08-26,Imaging apparatus,0,G03B|G06T|G06V|H04N
12400385,2025-08-26,"Information processing apparatus, information processing method, program, and information processing system",0,G05D|G06F|G06T|G09G|H04N
12399103,2025-08-26,"Cell life-and-death determination method, cell life-and-death determination device, and cell life-and-death determination system",0,B01L|G01N|G06T
12398361,2025-08-26,"Program for operating cell culture support apparatus, cell culture support apparatus, and method for operating cell culture support apparatus",0,C12M|G06N|G16B
12395742,2025-08-19,Display method and video recording method,0,G09G|H04N
12395737,2025-08-19,Imaging apparatus and operation method thereof,0,G03B|H04N
12395727,2025-08-19,"Information processing apparatus, information processing system, information processing method, and program",0,G03B|G06T|G06V|H04N
12394178,2025-08-19,"Control device, imaging apparatus, control method, and control program",0,G06T|G06V|H04N
12394088,2025-08-19,"Estimation apparatus, imaging apparatus, moving object, estimation system, estimation method, and program",0,G01B|G01S|G05D|G06T
12394046,2025-08-19,Reducing a load on a support process by extracting a frame from a medical image with a predetermined ratio,0,A61B|G06T|G06V
12393781,2025-08-19,"Information processing apparatus, operation method of information processing apparatus, and operation program of information processing apparatus",0,G06F|G16H
12393116,2025-08-19,"Pattern forming method, photosensitive resin composition, cured film, laminate, and device",0,G03F|H01L
12393105,2025-08-19,Printer and digital camera with printer,0,G03B|G03C|H04N
12389549,2025-08-12,Manufacturing method of electronic device,0,C09D|H01L|H05K|H10D
12388960,2025-08-12,"Medical image processing apparatus, medical image processing system, medical image processing method, and program",0,A61B|G06F|G06T|G06V|H04N
12387826,2025-08-12,"Document creation apparatus, document creation method, and document creation program for creating document based on medical image",0,A61B|G06F|G06T|G16H
12387825,2025-08-12,"Information processing apparatus, information processing method, and information processing program",0,G06T|G06V|G16H
12387378,2025-08-12,"Camera device, imaging system, control method, and program",0,G03B|G06T|H04N
12387334,2025-08-12,Ultrasound diagnostic apparatus and ultrasound image processing method,0,A61B|G06T|G16H
12387332,2025-08-12,"Information processing device, radiography apparatus, information processing method, and information processing program",0,A61B|G06T|G06V
12387054,2025-08-12,"Information saving apparatus, method, and program and analysis record generation apparatus, method, and program for recognizing correction made in image analysis record",0,A61B|G06F|G06T|G16H
12386380,2025-08-12,Dial and operating mechanism,0,G05G|H04N
12386265,2025-08-12,Pattern forming method and method for manufacturing electronic device,0,G03F|H01L
12386241,2025-08-12,Imaging device and shake suppression method,0,G02B|G03B|H04N
12384962,2025-08-12,"Photodetector element, manufacturing method for photodetector element, and image sensor",0,B82Y|C09K|H04N|H10F|H10K|Y02E
12382173,2025-08-05,"Imaging element, imaging apparatus, operation method of imaging element, and program",0,G02B|G03B|H04N
12382170,2025-08-05,"Imaging apparatus, information processing method, and program",0,G02B|G03B|H04N
12379815,2025-08-05,"Touch sensor, touch panel, and image display device",0,G06F|H10K
12379812,2025-08-05,Conductive sheet and touch panel,0,G06F|H05K
12379658,2025-08-05,"Curable composition for imprinting, method for producing curable composition for imprinting, cured product, pattern producing method, and method for manufacturing semiconductor element",0,B29C|B82Y|C08F|C09D|C09J|G03F|H01L
12379573,2025-08-05,Zoom lens and imaging apparatus,0,G02B|H04N
12376834,2025-08-05,Ultrasonic diagnostic apparatus,0,A61B|H04W
12376774,2025-08-05,"Information processing system, information processing method, and information processing apparatus based on audience emotion for audience placement",0,A61B|G06Q|G06V|G09B|G10L
12374540,2025-07-29,Post-CMP semiconductor cleaning composition comprising an amine/alkanolamine mixture,0,C11D|H01L
12374443,2025-07-29,"Document creation support apparatus, document creation support method, and program",0,G06F|G06T|G06V|G16H
12374002,2025-07-29,"Image processing apparatus, method and program, learning apparatus, method and program, and derivation model",0,A61B|G01T|G06N|G06T|G06V
12373973,2025-07-29,"Medical image processing apparatus, endoscope system, medical image processing method, and program",0,A61B|G06T|G16H
12372873,2025-07-29,"Treatment liquid for manufacturing semiconductor, pattern forming method using the same, and method of manufacturing electronic device using the same",0,B65D|C11D|G03F|H01L
12372868,2025-07-29,"Pattern forming method, kit, and resist composition",0,B65D|G03F|H01L
12372703,2025-07-29,Optical system,0,C09K|G02B|G02F|G09F|H04N
12368835,2025-07-22,"Display control device, display control method, and program",0,G02B|G06T|G09G|H04N
12368825,2025-07-22,"Control apparatus, control method, and program",0,G06T|G06V|H04N
12366805,2025-07-22,"Chemical liquid, rinsing solution, and resist pattern forming method",0,G03F|H01L
12366763,2025-07-22,"Lens device, imaging apparatus, operation method of lens device, operation method of imaging apparatus, and program",0,G02B|G03B|H04N
12363436,2025-07-15,Imaging apparatus capable of changing thinning-out rates for different angles of view,0,H04N
12363267,2025-07-15,"Control method, projection apparatus, and control program",0,G03B|G06T|G09G|H04N
12362062,2025-07-15,"Endoscopic image learning device, endoscopic image learning method, endoscopic image learning program, and endoscopic image recognition device",0,A61B|G06F|G06N|G06V|G16H
12362061,2025-07-15,"Medical image processing device, processor device, endoscope system, medical image processing method, and program",0,A61B|G06T|G06V|G16H
12362045,2025-07-15,"Information processing apparatus, information processing method, and program",0,G06F|G06N|G06T|G06V|G16C
12360629,2025-07-15,Method of producing touch sensor and touch sensor,0,G03F|G06F
12357266,2025-07-15,Displaying blood vessels in ultrasound images,0,A61B|G06N|G06T
12357149,2025-07-15,"Learning apparatus, learning method, program, trained model, and endoscope system",0,A61B|G06N|G06T
12356059,2025-07-08,"Optical member, lens device, and imaging apparatus",0,G02B|G03B|H04N|H10F
12355925,2025-07-08,Digital camera with printer,0,H04N
