patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12430519,2025-09-30,"Data processing device, data processing method, and data processing program",0,G06F
12430510,2025-09-30,"Text generation apparatus, text generation learning apparatus, text generation method, text generation learning method and program",0,G06F
12425279,2025-09-23,Connecting circuit and communication interface,0,H03K|H04L
12424237,2025-09-23,"Tag estimation device, tag estimation method, and program",0,G06F|G10L
12424233,2025-09-23,"Target source signal generation apparatus, target source signal generation method, and program",0,G06F|G10L
12423915,2025-09-23,"Distribution control system, distribution control apparatus, distribution control method, and program",0,G06T|H04N
12423608,2025-09-23,Computing device of Ising model,0,G02F|G06E|G06N
12423327,2025-09-23,"Information processing apparatus, information processing method and program for anonymizing data",0,G06F|G06Q
12417097,2025-09-16,"Accelerator control system, accelerator control method and accelerator control program",0,G06F
12414095,2025-09-09,Bandwidth allocation device and bandwidth allocation method,0,H04J|H04L|H04W
12413602,2025-09-09,"Communication control system, status switchover support apparatus, status switchover support method and program",0,H04L
12413274,2025-09-09,"Wireless communication system, wireless communication method, and transmitter",0,H04B|H04L
12412487,2025-09-09,"Secret calculation system, apparatus, method and program",0,G06F|G09C|H04L
12412075,2025-09-09,"Behavior learning system, behavior learning method and program",0,G06F|G06N|H04L
12407819,2025-09-02,"Video coding method, video coding device, and video coding program",0,H04N
12407628,2025-09-02,Input/output switch and communication system,0,H04L
12407589,2025-09-02,Packet capture device and packet capture method,0,H04L
12407496,2025-09-02,"Program execution system, data processing apparatus, program execution method and program",0,G06F|H04L
12407074,2025-09-02,"High-frequency line structure, subassembly, line card, and method for manufacturing line structure",0,H01L|H01P|H01R|H05K
12406208,2025-09-02,Anomaly detection method using an autoencoder learning from data items collected by measuring devices,0,G06F|G06N|H04L
12405817,2025-09-02,"Container resource designing device, container resource designing method, and program",0,G06F
12402171,2025-08-26,Wireless communication system and wireless communication method,0,H04L|H04W
12401868,2025-08-26,Hyperspectral imaging device capable of acquiring polarization information and optical element thereof,0,G01J|G02B|G06N|H04N|H10F
12401645,2025-08-26,"Processing device, processing method, and program",0,G06F|H04L
12401494,2025-08-26,Machine learning using secure gradient descent computation,0,G06N|H04L
12399961,2025-08-26,"Program protection apparatus, program protection method, and program protection program",0,G06F
12399030,2025-08-26,"Estimation method, estimation apparatus and estimation program of cause of line of vehicles",0,B60W|G01C|G06T|G06V|G08G
12395872,2025-08-19,"Radio communication method, radio communication system, radio base station, and reflector",0,H04B|H04W
12395527,2025-08-19,"Determination device, determination method, and determination program",0,G06F|H04L
12395399,2025-08-19,"History management apparatus, history management method, and program",0,G06F|H04L
12395326,2025-08-19,"Classical computer, information processing method, and computer readable medium",0,G06F|G06N|H04L
12395322,2025-08-19,"Encryption apparatus, cypher communication system, encryption method and program",0,G09C|H04L
12394124,2025-08-19,"Texture generation apparatus, texture generation method, object, and program",0,B29C|G06T|G06V
12393549,2025-08-19,"Data storage device, data storage method, and data storage program",0,G06F
12389141,2025-08-12,"Optical communication system, control method and optical subscriber line terminal apparatus",0,H04B|H04L|H04Q
12388753,2025-08-12,"Control device, control method, and non-transitory recording medium for storing instruction for transmitting requests",0,H04L
12388706,2025-08-12,"Correct answer data generation apparatus, correct answer data generation method and correct answer data generation program",0,H04L
12388701,2025-08-12,"Wireless communication system, wireless communication method, and reception apparatus",0,H04L|H04W|Y02D
12388676,2025-08-12,"Data transfer device, data processing device and data processing method",0,H04L
12388494,2025-08-12,"Communication path estimation method, wireless communication system, transmitter, and receiver",0,H04B|H04L
12387743,2025-08-12,"Abnormality estimation device, abnormality estimation method, and program",0,G06F|G06N|G10L
12387446,2025-08-12,"Information processing apparatus, information processing method, and program for placing an agent in a virtual space",0,G06F|G06T|G06V
12387051,2025-08-12,"Dialogue processing apparatus, learning apparatus, dialogue processing method, learning method and program",0,G06F
12386961,2025-08-12,"Falsification detection device, falsification detection method, and falsification detection program",0,G06F
12386948,2025-08-12,"Secure computation apparatus, secure computation system, secure computation method, and program",0,G06F|H04L
12386694,2025-08-12,"Registering apparatus, registering method, and program",0,G06F
12386692,2025-08-12,"Fault recovery support apparatus, fault recovery support method and program",0,G06F
12386649,2025-08-12,"Server maintenance control device, server maintenance system, server maintenance control method, and program",0,G06F
12382354,2025-08-05,"Communication system, connection designation control method, control apparatus and program",0,H04W
12382280,2025-08-05,"Address setting system, address setting method, address setting management device and program",0,H04L|H04W
12381894,2025-08-05,"Determination device, determination method, and determination program",0,G06F|H04L
12381801,2025-08-05,Traffic monitoring device and traffic monitoring method,0,H04L
12381736,2025-08-05,"Cipher system, encryption apparatus, decryption apparatus, method, and program",0,H04L
