patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432269,2025-09-30,Utilizing reinforcement learning for serverless function tuning,0,G06F|G06N|H04L
12430310,2025-09-30,Container-image reproduction and debugging,0,G06F
12430302,2025-09-30,Reducing a size of metadata for online deduplication operations,0,G06F
12430159,2025-09-30,Encrypted memory guest/host communication,0,G06F
12430156,2025-09-30,Managing containers across multiple operating systems,0,G06F|H04L
12425494,2025-09-23,Adaptive compression for idempotent data stores in computer messaging,0,G06F|H04L
12425303,2025-09-23,Distributed and partitioned state machine based rule engine for mesh devices and edge devices,0,H04L
12425290,2025-09-23,Byzantine fault prevention in mesh networks,0,H04L
12423459,2025-09-23,Structured encryption rules engine,0,G06F
12423435,2025-09-23,Dynamic booting of operating system by designating first base boot partition as active boot partition responsive to detecting unauthorized attempt to access first encrypted file,0,G06F
12423132,2025-09-23,Efficient queue shadowing for virtual machines,0,G06F
12423130,2025-09-23,Facilitating power management of a hardware device by a virtual machine,0,G06F
12423127,2025-09-23,Inheritance container service,0,G06F
12423077,2025-09-23,Modifying bytecode to return an address associated with a target function,0,G06F
12418590,2025-09-16,Minimum viable charge exchange for service operations in edge devices,0,H02J|H04L
12417185,2025-09-16,Dynamic direct memory access mapping for peripheral devices,0,G06F
12417169,2025-09-16,Dynamically allocating memory pool subinstances,0,G06F
12417019,2025-09-16,Isolation of processes using shared memory for communication,0,G06F
12412116,2025-09-09,Push notification qubit manipulation,0,G06N
12412032,2025-09-09,Automated verification of commands in a software product guide,0,G06F|G06N
12411716,2025-09-09,Serverless function colocation with storage pools,0,G06F
12411704,2025-09-09,Efficient central processing unit overcommit for virtual machines with symmetric multi-processing,0,G06F
12411683,2025-09-09,Patch sharing mechanism in open-source environments,0,G06F
12408047,2025-09-02,Management orchestrator for a content-centric network in a 6G network,0,H04L|H04W
12407503,2025-09-02,Label filtering and encryption,0,H04L
12406047,2025-09-02,Quantum authentication of protected resources,0,G06F|G06N
12405923,2025-09-02,Validation of container images,0,G06F
12402060,2025-08-26,Service download optimization for nanotech mesh,0,H04W
12401725,2025-08-26,Communication system for micro-frontends of a web application,0,H04L
12401653,2025-08-26,Key/value pair metadata authentication for declarative process orchestration environments,0,H04L
12395325,2025-08-19,Eavesdropper identification and container image layer invalidation,0,H04L
12393721,2025-08-19,Sidecar data services for enforcing data policies,0,G06F
12393567,2025-08-19,Logfile collection and consolidation,0,G06F|H04L
12393440,2025-08-19,Safe entropy source for encrypted virtual machines,0,G06F
12393439,2025-08-19,Copyless NUMA balancing hypervisor memory migration,0,G06F
12393408,2025-08-19,Identification and removal of redundant interfaces,0,G06F
12387123,2025-08-12,Dynamically adjusting biases on quantum bits based on detected events,0,G06N
12386793,2025-08-12,Detecting stale storage layouts without using client locks,0,G06F
12386676,2025-08-12,Adjusting the size of a resource pool for a virtual machine based on events associated with the virtual machine,0,G06F
12386646,2025-08-12,Cluster infrastructure with on-demand activation,0,G06F
12386615,2025-08-12,Executing a continuous integration pipeline based on a type of change to source code,0,G06F
12386609,2025-08-12,Superdense coding of software package deltas,0,G06F|H04B
12386605,2025-08-12,Reducing the size of image files usable for deploying software in computing environments,0,G06F
12379997,2025-08-05,Detecting an error in an updated software package by automatically rebuilding related downstream products,0,G06F
12375372,2025-07-29,Zero-copy forwarding for network function virtualization,0,G06F|H04L
12373125,2025-07-29,Randomization-based protection for memory deduplication,0,G06F
12368774,2025-07-22,Data plane reduction for eventing components,0,H04L
12368719,2025-07-22,Synchronizing a user's authentication state across multiple data centers using event messages,0,H04L
12368660,2025-07-22,Multi-cluster networking using hub and spoke elastic mesh,0,H04L
12367089,2025-07-22,Quantum service circuit breaker,0,G06F|G06N
12367071,2025-07-22,Quantum computing system heat orchestration,0,G06F|G06N
12367059,2025-07-22,Efficient memory swap for virtual machines,0,G06F
12367058,2025-07-22,Efficient disk cache management for virtual machines,0,G06F
12367056,2025-07-22,Reliable device assignment for virtual machine based containers,0,G06F
12367034,2025-07-22,Providing access to metadata modifications to facilitate software build reproduction,0,G06F
12367033,2025-07-22,Identifying significant code changes via syntactic representation,0,G06F
12366908,2025-07-22,Energy aware data replication,0,G06F
12363585,2025-07-15,Managing message sizes in a mesh network,0,H04W
12363166,2025-07-15,Blockchain-driven dynamic access control,0,H04L
12363125,2025-07-15,Selective access to computing systems based on authentication mechanisms,0,H04L
12361118,2025-07-15,Efficient launching of trusted execution environments,0,G06F|H04L
12360828,2025-07-15,Exposing a cloud API based on supported hardware,0,G06F
12360771,2025-07-15,Rescheduling a load instruction based on past replays,0,G06F
12360756,2025-07-15,Automatic generation of container images,0,G06F
12360754,2025-07-15,Refining software package installation processes using configuration management files,0,G06F
12355874,2025-07-08,Stateful hash-based signatures using a secure device,0,H04L
12355839,2025-07-08,Workload-based cache compression in a distributed storage system,0,G06F|H04L
12355644,2025-07-08,Incorporation of a trace visualization with a traffic graph visualization in a service mesh,0,G06F|H04L
12353866,2025-07-08,Automated deployment of continuous integration,0,G06F
12348518,2025-07-01,Managing operator pattern service connections to an environment,0,G06F|H04L
12348392,2025-07-01,Lightweight container networking solution for resource constrained devices,0,H04L
12347009,2025-07-01,Modifying avatars in user interfaces based on wearable device data using machine learning,0,A61B|G06N|G06T
12346775,2025-07-01,Migrating quantum services based on temperature thresholds,0,G06N|H04L
12346745,2025-07-01,Safe critical section operations for virtual machines with virtual central processing unit overcommit,0,G06F
12346717,2025-07-01,Virtual machine storage system for duplication avoidance,0,G06F
12346689,2025-07-01,Dynamic container layer switching,0,G06F
12346467,2025-07-01,Secure and efficient access to host memory for guests,0,G06F
12346429,2025-07-01,Automatically inputting an authentication code for an authentication process,0,G06F|H04L
12346341,2025-07-01,Using dynamic data structures for storing data objects,0,G06F|G06N|H04L
12335396,2025-06-17,Superpositioned qubits as finite token generators for authentication,0,H04L
12335383,2025-06-17,For cryptographic synchronization within federated quantum computing environments,0,H04L
12335352,2025-06-17,Using proxy services for dependencies in distributed computing systems,0,G06F|H04L
12335344,2025-06-17,Remote service orchestration and mirroring for computing devices,0,H04L
12335331,2025-06-17,Dynamic scaling of a distributed computing system,0,H04L
12333322,2025-06-17,Virtual networking for special types of nested virtual machines,0,G06F|H04L
12332995,2025-06-17,Containers system auditing through system call emulation,0,G06F
12328231,2025-06-10,Consensus driven mesh organization,0,H04L
12328222,2025-06-10,Reverse virtual ethernet port aggregator bridging for single root I/O virtualization,0,H04L
12327140,2025-06-10,Managing computer workloads across distributed computing clusters,0,G06F
12327101,2025-06-10,Generating streams of disk image files usable for deploying software in computing environments,0,G06F
12323326,2025-06-03,Location change notification handling,0,G06F|H04L
12321788,2025-06-03,Systems and methods to reserve resources for workloads,0,G06F
12321752,2025-06-03,Freedom from interference using containers,0,G06F
12321479,2025-06-03,Using a custom filesystem to secure the contents of a filesystem,0,G06F
12321473,2025-06-03,On-demand encrypted container image download,0,G06F
12321276,2025-06-03,Prefetching cached data for predicted accesses,0,G06F
12319231,2025-06-03,Vehicle control using serverless functions,0,B60R|G07C|H04L
12314816,2025-05-27,Qubit layers for containerized like execution,0,G06F|G06N
12314774,2025-05-27,Dynamic containerized content delivery,0,G06F|H04L
12314750,2025-05-27,Migrating containers across non-uniform memory access (NUMA) nodes of a processor device,0,G06F
12314711,2025-05-27,Deriving a custom version of a software package from super positioned qubits,0,G06F|G06N
12314706,2025-05-27,Just-in-time packager build system,0,G06F
12314303,2025-05-27,Pattern-based matching for policy engines,0,G06F
12314155,2025-05-27,Rule engine for functional safety certification,0,G06F
12309031,2025-05-20,Detecting multiple operator pattern services making conflicting resource modifications,0,G02B|G06F|H01R|H04L
12306932,2025-05-20,Attesting on-the-fly encrypted root disks for confidential virtual machines,0,G06F
12306726,2025-05-20,Data preservation for node evacuation in unstable nodes within a mesh,0,G06F|H04L
12301708,2025-05-13,Cryptographic key management for distributed quantum computing systems,0,H04L
12299807,2025-05-13,Multi-sensory representation of datasets in a virtual reality environment,0,G06T
12299498,2025-05-13,Assigning computer workloads to nodes based on energy consumption modes of the nodes,0,G06F|H04L|Y02D
12299494,2025-05-13,Memory barrier elision for multi-threaded workloads,0,G06F
12299489,2025-05-13,Automatic dependency configuration for managed services,0,G06F
12299135,2025-05-13,K-anonymous vulnerability detection,1,G06F
12294578,2025-05-06,Zero-trust attestation in cloud computing,0,H04L
12294498,2025-05-06,Real time qubit allocation for dynamic network topographies,0,G06N|H04B|H04L
12294495,2025-05-06,Self-organizing network configuration,0,H04L
12293259,2025-05-06,Qubit allocation service,0,G06F|G06N
12293199,2025-05-06,Automated user interface generation for an application programming interface (API),0,G06F
12288100,2025-04-29,Workload distribution by utilizing unused central processing unit capacity in a distributed computing system,0,G06F
12284217,2025-04-22,Cross-domain data access,0,G06F|H04L
12282788,2025-04-22,Recoverable container platform cluster for testing,0,G06F
12277442,2025-04-15,Quantum computer system scheduling and parameterization based on error correction history,0,G06F|G06N
12277427,2025-04-15,Graphical user interfaces for exploring and interacting with distributed software applications,0,G06F|H04L
12277411,2025-04-15,Calculating lowest dependency version compatible with dependency specification,0,G06F|H04N
12265815,2025-04-01,Conditional update recommendations based on local system state,0,G06F|G06Q|H04L
12265811,2025-04-01,Self-moving operating system installation in cloud-based network,0,G06F|H04L
12265638,2025-04-01,Direct access to host memory for guests,0,G06F
12265629,2025-04-01,Suppressing a vulnerability of a continuous integration pipeline with audit functionality,0,G06F
12265462,2025-04-01,Monitoring activity of an application prior to deployment,0,G06F|G06N
12261925,2025-03-25,Efficient packet re-transmission for express data paths,0,H04L
12261917,2025-03-25,Dynamic geo-based computing host identification for automatic provisioning,0,H04L
12260298,2025-03-25,Real time qubit allocation for error correction,0,G06N
12260295,2025-03-25,Callback-based qubit manipulation,0,G06F|G06N
12260240,2025-03-25,Container image file optimization,0,G06F
12260224,2025-03-25,Sizing service for cloud migration away from only cloud storage and back to on-site computing strategy,0,G06F|H04L
12260204,2025-03-25,Automatically deploying a development environment on a target system,0,G06F
12259850,2025-03-25,Space efficient distributed storage systems,0,G06F|Y02D
12259824,2025-03-25,Assigning input/output virtual addresses using a pre-defined randomness algorithm,0,G06F
12254417,2025-03-18,Automatically validating decision tables,0,G06F|G06N
12254338,2025-03-18,Pre-allocating page table entries to provide virtual machine access to single root input-output virtualization devices,0,G06F
12254220,2025-03-18,Resource configuration based on energy expenditure,0,G06F
12253982,2025-03-18,Version control of files encoding information via qubits,0,G06F|H04L
12248798,2025-03-11,Sharing templates and multi-instance cloud deployable applications,0,G06F
12248791,2025-03-11,Providing a captive portal to manage a driver application for a peripheral device,0,G06F|H04L
12248597,2025-03-11,Encrypted file name metadata in a distributed file system directory entry,0,G06F
12248386,2025-03-11,Application profiling to resize and reconfigure compute instances,0,G06F
12244668,2025-03-04,Containerized gateways and exports for distributed file systems,0,G06F|H04L
12243134,2025-03-04,Automated image synthesis and composition from existing configuration files and data sets,0,G06F|G06T
12242598,2025-03-04,Function pointer protection,0,G06F
12238211,2025-02-25,Performing deduplication based on encrypted storage blocks generated using a secure enclave,0,H04L
12238173,2025-02-25,Using wireless charging to redistribute power resources within a mesh network,0,H02J|H04L|Y02D
12236283,2025-02-25,Transmitting configuration data between containers running on different computer architectures via a sidecar container,0,G06F
12236221,2025-02-25,Software provisioning agent residing in trusted execution environment,0,G06F|H04L
12235797,2025-02-25,Automated server-side reference mapping in resource registries,0,G06F
12231349,2025-02-18,Managing cloud acquisitions using distributed ledgers,0,H04L
12229637,2025-02-18,Data exchange between a qubit in a quantum isolation zone and a storage entity outside of the quantum isolation zone,0,G06N
12229594,2025-02-18,Scheduling multiple processes with varying delay sensitivity,0,G06F|G06N
12229295,2025-02-18,Generating customized policy decision point services for controlling access to computing resources,0,G06F
12229267,2025-02-18,Management of local signing of software packages using a trusted execution environment,0,G06F|H04L
