patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432884,2025-09-30,Conforming heat transport device for dual inline memory module cooling applications,0,G06F|G11C|H05K
12432707,2025-09-30,Selective spatial reuse to enhance network performance,0,H04W
12432555,2025-09-30,Multi AP microbranch deployment configuration based on optimized packet forwarding,0,H04W
12432162,2025-09-30,Dynamic bandwidth capacity control for enterprises,0,H04L
12432118,2025-09-30,Auto-formation of link aggregations based on remotely-issued instructions,0,H04L|Y02D
12432092,2025-09-30,Dynamic assignments of tunnels to broadcast groups,0,H04L
12432089,2025-09-30,Identifying source of layer-2 loop in ring network,0,H04L
12428263,2025-09-30,Intelligent elevator control system utilizing wireless user location awareness,0,B66B|G05B|H04W
12426027,2025-09-23,Ultra low latency,0,H04W
12423413,2025-09-23,Program file measurements for context-specific validation,0,G06F
12423330,2025-09-23,Updating data models to manage data drift and outliers,0,G06F
12423249,2025-09-23,Dragonfly routing with incomplete group connectivity,0,G06F|H04L
12423191,2025-09-23,Remote data merge system and method,0,G06F
12423149,2025-09-23,Lock-free work-stealing thread scheduler,0,G06F
12423094,2025-09-23,Software life-cycle component management system,0,G06F
12422809,2025-09-23,Fan enhancements to improve server performance and quality,0,G01R|G05B|G06F
12418441,2025-09-16,Smart NIC/DPU translation agent for vendor-specific communication,0,H04L
12418423,2025-09-16,Binding a virtual security processor to a physical security processor,0,H04L
12416952,2025-09-16,Programming power controllers via logic device,0,G06F
12414031,2025-09-09,Centralized solution to high-throughput topology optimization for wireless mesh networks,0,H04W
12414019,2025-09-09,Sensor-based roaming issue identification in a wireless network,0,H04W
12413424,2025-09-09,Systems and methods for assigning a cryptographic identity to node-based systems,0,H04L
12408303,2025-09-02,Elastomer embedded multipoint contact cooling,0,H01L|H05K
12407604,2025-09-02,Loop protection in a network,0,H04L
12407567,2025-09-02,Dynamic device persona identification in a network,0,H04L|Y02D
12407495,2025-09-02,Encryption keys from storage systems,0,H04L
12406176,2025-09-02,Distributed execution of neural networks,0,G06N
12405903,2025-09-02,System and method for facilitating fine-grain flow control in a network interface controller (NIC),0,G06F|H04L
12405861,2025-09-02,Adaptive scaling of topics in a stateful event-driven platform,0,G06F
12405825,2025-09-02,Distribution of quantities of an increased workload portion into buckets representing operations,0,G06F
