patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12431453,2025-09-30,Electronic device package and method for manufacturing the same,0,G02B|H01L
12424596,2025-09-23,Optoelectronic package structure and method of manufacturing the same,0,H01L
12412845,2025-09-09,Semiconductor packages and methods of manufacturing the same,0,H01L|H01Q
12406921,2025-09-02,Electronic device,0,H01L
12394695,2025-08-19,Semiconductor device package,0,H01L|H01P|H01Q
12394676,2025-08-19,Semiconductor package structure and method for manufacturing the same,0,H01L
12388001,2025-08-12,Electronic package,0,H01L|H05K
12381150,2025-08-05,Electronic device,0,H01L
12378110,2025-08-05,Method of attaching film,0,B81C|H01L
12374631,2025-07-29,Semiconductor device package and method of manufacturing the same,0,H01L
12368104,2025-07-22,Electronic package,0,H01L
12364008,2025-07-15,Semiconductor device package and method of manufacturing the same,0,H01L|H10D|H10H
12362320,2025-07-15,Semiconductor package structure,0,H01L
12362316,2025-07-15,Electronic structure having a protrusion structure disposed in a gap between a circuit pattern structure and a packaging structure,0,H01L
12347811,2025-07-01,Electronic device including electronic component receiving power from two sides,0,H01L
12334412,2025-06-17,Electronic package and method of forming the same,0,H01L
12322740,2025-06-03,"Semiconductor package, wearable device, and temperature detection method",0,G01C|G01J|H01L|H04R
12322672,2025-06-03,Semiconductor package structure and semiconductor manufacturing process,0,H01L
12321513,2025-06-03,Body-part tracking device and body-part tracking method,0,G01S|G06F|G06K|H01Q
12315828,2025-05-27,"Package substrate, electronic device package and method for manufacturing the same",0,H01F|H01L
12315820,2025-05-27,Wiring structure including low- and high-density conductive structures,0,H01L
12315797,2025-05-27,Semiconductor substrate structure and method of manufacturing the same,0,H01L
12315785,2025-05-27,Semiconductor device package,0,H01L
12308334,2025-05-20,Semiconductor device and semiconductor package,0,H01L
12308306,2025-05-20,Semiconductor device package and method of manufacturing the same,0,H01L
12300681,2025-05-13,Electronic package and electronic device,0,H01L|H05K|H10F
12300677,2025-05-13,Semiconductor device package including stress buffering layer,0,H01L|H05K
12300651,2025-05-13,"Electronic device, package structure and electronic manufacturing method",0,H01L
12300630,2025-05-13,Semiconductor device package structure comprising package unit including adhesive layer,0,H01L
12300602,2025-05-13,Semiconductor package structure and method for manufacturing the same,0,H01L
12300560,2025-05-13,Semiconductor device package and method of manufacturing the same,0,H01L
12283585,2025-04-22,Optoelectronic device package and method of manufacturing the same,0,G02B|H01L
12283569,2025-04-22,Semiconductor device package and a method of manufacturing the same,0,H01L
12283537,2025-04-22,Electronic package and method of forming the same,0,H01L
12272766,2025-04-08,Semiconductor device package and method of manufacturing the same,0,H01L|H01Q|H10H
12272687,2025-04-08,Semiconductor device package with conductive pillars and reinforcing and encapsulating layers,0,H01L
12272671,2025-04-08,Semiconductor device package and method for manufacturing the same,0,G06V|H01L|H10F
12267961,2025-04-01,Embedded component package structure and manufacturing method thereof,0,H01L|H05K
12266644,2025-04-01,Semiconductor package device method of manufacturing the same,0,G02B|H01L|H10F|H10H
12266632,2025-04-01,Package process and package structure,0,H01L
12266618,2025-04-01,Semiconductor device and method of manufacturing the same,0,H01L|H01Q
