patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432785,2025-09-30,Data-centric event-based random access procedure,0,H04W
12431240,2025-09-30,Instant scout scan checker,0,A61B|G06T|G16H
12431152,2025-09-30,Apparatus and method for audio encoding,0,G10L|H04N
12430836,2025-09-30,Depth segmentation in multi-view videos,0,G06T|G06V|H04N
12427277,2025-09-30,Imaging-based sizing optimization of endotracheal tube for mechanical ventilation,0,A61B|A61M|G06T
12424333,2025-09-23,Automatically setting window width/level based on referenced image context in radiology report,0,G06F|G06V|G16H
12423839,2025-09-23,Training alignment of a plurality of images,0,G06T
12423807,2025-09-23,Apparatus to analyse diffusion magnetic resonance imaging data,0,A61B|G01R|G06T
12419600,2025-09-23,Subtraction imaging,0,A61B|G06T
12418636,2025-09-16,Coding hybrid multi-view sensor configurations,0,H04N
12417839,2025-09-16,Artificial intelligence (AI)-based optimized solution for device localization in medical facility set-up,0,G06T|G16H
12414174,2025-09-09,Wireless communication system,0,G01S|G06F|H04L|H04M|H04W
12414076,2025-09-09,Enhanced multi-connection operations,0,H04W
12412317,2025-09-09,Predicting the appearance of a user following treatment,0,B26B|G06T
12412280,2025-09-09,Medical image segmentation and atlas image selection,0,G06T
12412092,2025-09-09,Evaluating input data using a deep learning algorithm,0,G06F|G06N|G16B|G16H
12408198,2025-09-02,Random access backoff indicator,0,H04W
12407391,2025-09-02,Methods and apparatuses for codebook restriction for type-II feedback reporting and higher layer configuration and reporting for linear combination codebook in a wireless communications network,0,H04B|H04W
12406362,2025-09-02,Multi-material decomposition for spectral computed tomography,0,A61B|G06T
12406345,2025-09-02,Apparatus and method for dynamic range transforming of images,0,G06T|G09G|G11B|H04N
12406231,2025-09-02,System and method for improved spare part search for maintenance services using topic modelling,0,G05B|G06N|G06Q|G16H
12402863,2025-09-02,"Ultrasound image-based identification of anatomical scan window, probe orientation, and/or patient position",0,A61B|G06T|G16H
12401996,2025-08-26,Access to health information during emergency call,0,G06F|H04M|H04W
12401528,2025-08-26,Authentication system with reduced attack surface,0,H04L
12400752,2025-08-26,Image analysis method and device,0,G06N|G06T|G16H
12400357,2025-08-26,Apparatus for determining an orientation of a patient's chest,0,A61B|G06T
12400304,2025-08-26,Apparatus and method for dynamic range transforming of images,0,G06T|G09G|G11B|H04N
12396702,2025-08-26,"Systems, methods, and apparatuses for quantitative assessment of organ mobility",0,A61B|G06T
12396698,2025-08-26,Apparatus for generating photon counting spectral image data,0,A61B|G06N|G06T|G06V
12396689,2025-08-26,Determining needle position,0,A61B|G06T
12394147,2025-08-19,Rendering and displaying a 3D representation of an anatomical structure,0,G06T|G06V
12394138,2025-08-19,Rendering of B-mode images based on tissue differentiation,0,A61B|G06T
12394055,2025-08-19,Spectral dark-field imaging,0,A61B|G06T|G06V
12393800,2025-08-19,Multiple application QR code,0,G06F|G06K|H03M
12382435,2025-08-05,"Communication device, system and method for communication using feeback",0,H04L|H04W|Y02D
12380967,2025-08-05,System and method for auto-configurable data compression framework,0,G06F|G16B|H03M
12380584,2025-08-05,Accurate diaphragm thickness and function evaluation using ultrasound and mechanical ventilator signals,0,A61B|A61M|G06T|G16H
12380562,2025-08-05,Vessel registration using functional information,0,A61B|G06F|G06T
12376909,2025-08-05,Training data collection for machine learning models,0,A61B|B25J|G05B|G06N|G06T|G16H
12376799,2025-08-05,Signal-to-noise ratio targeting,0,A61B|H04N
12376778,2025-08-05,ECG features for type ahead editing and automatic update for report interpretation,0,A61B|G06F|G06N|G16H
12376184,2025-07-29,Configuration of bandwidth part,0,H04W|Y02D
12375633,2025-07-29,Low complexity multilayer images with depth,0,H04N
12375275,2025-07-29,Middlebox visibility for post quantum KEM,0,H04L
12374445,2025-07-29,Mechanical ventilator configuration for mechanical ventilation of a patient with limited or no imaging data of the patient,0,A61B|A61M|G06T|G16H
12374444,2025-07-29,Creating a synthetic medical image,0,G06T|G16H
12374308,2025-07-29,Mixing secondary graphics elements in HDR images,0,G06F|G09G|H04N
12374111,2025-07-29,Event-controlled view selection,0,A61B|G06V|G16H|H04L
12374084,2025-07-29,Data augmentation for a machine learning method,0,G06F|G06V
12373953,2025-07-29,Segmentating a tubular feature,0,G06T
12369887,2025-07-29,Method and system for generating a synthetic elastography image,0,A61B|G06N|G06T
12369832,2025-07-29,Clinical contextual electrocardiogram monitoring,0,A61B|A61N|G11B|G16H|H04N
12363747,2025-07-15,User device and method with beam management enhancements,0,H04W
12363729,2025-07-15,Joint resource pools for uplink communications,0,H04L|H04W
12362865,2025-07-15,HARQ process / entity based uplink multiplexing,0,H04L|H04W
12361609,2025-07-15,Apparatus for generating an augmented image of an object,0,G06T|G06V
12360190,2025-07-15,Realtime design of radio-frequency pulses and gradient pulses in magnetic resonance imaging,0,G01R|G06N
12357260,2025-07-15,Medical imaging systems and methods with auto-correction of image quality-based on the log analysis of medical devices,0,A61B|G06F|G06T|G16H
12354721,2025-07-08,Automatic diagnosis report preparation,0,G06F|G06N|G06T|G16H
12354344,2025-07-08,Apparatus and method for performing image-based dish recognition,0,G06F|G06V
12353371,2025-07-08,Assessing quality of genomic regions studied for inclusion in standardized clinical formats,0,G06F|G16B
12347216,2025-07-01,Interactive endoscopy for intraoperative virtual annotation in vats and minimally invasive surgery,0,A61B|G06T|G06V
12347142,2025-07-01,Tomographic imaging with motion detection system,0,A61B|A61N|G01R|G06T|G16H
12347099,2025-07-01,Obtaining images for use in determining one or more properties of skin of a subject,0,A61B|G01N|G06T|H04N
12347053,2025-07-01,3-D virtual endoscopy rendering,0,G06T
12347000,2025-07-01,"Apparatus, system, method and computer program for providing a nuclear image of a region of interest of a patient",0,A61B|G06T
12346998,2025-07-01,Artificial intelligence (AI)-based standardized uptake value (SUV) correction and variation assessment for positron emission tomography (PET),0,G06N|G06T
12345791,2025-07-01,Self-navigation in three-dimensional magnetic resonance imaging,0,G01R|G06T
12343226,2025-07-01,Oral care system for interdental space detection,0,A46B|A61C|G06T|G16H
12340527,2025-06-24,Inter- and extrapolation of chest image and mechanical ventilation settings into a time lapse series for progression monitoring and outcome prediction during long term mechanical ventilation,0,A61B|A61M|G06T|G16H
12340464,2025-06-24,Rendering of two dimensional data sets,0,G01S|G06T
12339873,2025-06-24,Incremental clustering and hierarchy formation system for clinical decision support (CDS) system development and method of operation thereof,0,G06F|G16H
12335819,2025-06-17,"UE groups, UE group manager UEs and UE group member UEs",0,H04B|H04W
12333919,2025-06-17,Monitoring system,0,G08B|H04B|H04W
12333773,2025-06-17,Explaining a model output of a trained model,0,G06N|G06V
