patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12431451,2025-09-30,Semiconductor device,0,G11C|H01L|H10B
12431439,2025-09-30,Semiconductor package and semiconductor device,0,H01L|H05K
12430241,2025-09-30,"Memory controller, memory controller control method, and memory system",0,G06F|G06N|G11C
12425280,2025-09-23,Transmission device and reception device,0,H03M|H04L
12424460,2025-09-23,Substrate processing apparatus,0,H01L
12424433,2025-09-23,"Method for manufacturing metal fluoride-containing organic polymer film, patterning method, and method for manufacturing semiconductor device",0,H01L
12423004,2025-09-23,System and method for determining optimal program parameters in non-volatile memory systems,0,G06F
12419055,2025-09-16,Semiconductor memory device having a circuit chip bonded to a memory array chip and including a solid-state drive controller and a control circuit,0,H01L|H10B
12419047,2025-09-16,Semiconductor device and semiconductor device manufacturing method,0,H01L|H10B
12417962,2025-09-16,Semiconductor storage device,0,G11C|H01L|H10B|H10D
12417172,2025-09-16,Memory system,0,G06F
12417025,2025-09-16,Nonvolatile memory including intermediate buffer and input/output buffer and memory system including the nonvolatile memory,0,G06F
12414298,2025-09-09,Semiconductor memory device,0,H01L|H10B
12414250,2025-09-09,Electronic apparatus,0,G06F|H05K
12413251,2025-09-09,Semiconductor memory device and method of controlling the same,0,G06F|G11C|H03M|Y02D
12412870,2025-09-09,Semiconductor memory device and method of manufacturing the same,0,G11C|H01L
12412839,2025-09-09,"Semiconductor device having an interconnection including plural metal layers, and manufacturing method thereof",0,H01L
12411732,2025-09-09,Memory system and control method,0,G06F
12411638,2025-09-09,Memory system and method of controlling nonvolatile memory,0,G06F
12411605,2025-09-09,Memory card and host device,0,G06F|Y02D
12411602,2025-09-09,Memory system,0,G06F
12406950,2025-09-02,Semiconductor device,0,H01L|H10B
12406842,2025-09-02,Substrate processing apparatus and method of producing semiconductor device,0,C23C|H01L
12406129,2025-09-02,"Method for designing semiconductor integrated circuit, circuit design system, and control program",0,G06F
12400995,2025-08-26,Semiconductor manufacturing apparatus and method of manufacturing semiconductor device,0,H01L
12400981,2025-08-26,Method for manufacturing semiconductor device,0,H01L|H10B|H10D
12399818,2025-08-26,Memory system,0,G06F
12399817,2025-08-26,Memory system and method of controlling the memory system,0,G06F
12399652,2025-08-26,Memory multichip package employing a frequency multiplying bridge chip,0,G06F
12399629,2025-08-26,Storage system having a host that manages physical data locations of a storage device,0,G06F|G11C|Y02D
12399116,2025-08-26,Determination method and treatment method,0,C01B|C23C|C30B|G01N|G01R|H01L
12394649,2025-08-19,Semiconductor manufacturing apparatus for improved uniformity of semiconductor coating with transfer arm and position detector working in combination,0,H01L
12394482,2025-08-19,Semiconductor memory device and manufacturing method thereof,0,G11C|H01L|H10B
12394455,2025-08-19,Memory system and non-volatile memory using soft bit data information to improve memory operation,0,G06F|G11C
12389637,2025-08-12,Nonvolatile semiconductor memory device including a memory cell,0,H01L|H10B|H10D
12388031,2025-08-12,Memory device,0,H01L|H10B
12388002,2025-08-12,Semiconductor device,0,H01L
12386736,2025-08-12,Memory system and method for controlling the same,0,G06F|G11C
12386557,2025-08-12,Non-volatile storage device offloading of host tasks,0,G06F
12386528,2025-08-12,Semiconductor memory device controlling erase operation,0,G06F|G11C
12386514,2025-08-12,Solid-state storage device and method for maintaining performance thereof,0,G06F
12386254,2025-08-12,"Template, method for manufacturing template, and method for manufacturing semiconductor device",0,B29C|G03F|H01L
12385135,2025-08-12,"Semiconductor manufacturing apparatus, method of manufacturing semiconductor device and method of film formation",0,C23C|H01L
12384624,2025-08-12,Storage device and control method,0,B65G|G01R|G11C|H01L
12382698,2025-08-05,Semiconductor device and method for manufacturing the same,0,H01L|H10B|H10D
12382599,2025-08-05,Semiconductor memory device,0,G06F|G06K|G11C|H05K
12381580,2025-08-05,"Memory controller, memory system, and memory control method",0,G06F|G11B|G11C|H03M
12381183,2025-08-05,Semiconductor device having stacked chips,0,G06F|G11C|H01L|H03K
12381152,2025-08-05,Semiconductor storage device,0,H01L|H10B
12381147,2025-08-05,Chip bonded semiconductor memory device with different charge storage films,0,G11C|H01L|H10B
12381144,2025-08-05,Semiconductor device and method of manufacturing the same,0,H01L
12381142,2025-08-05,Semiconductor device with conductors disposed in insulating films and method for manufacturing the same,0,H01L
12380022,2025-08-05,Memory system,0,G06F
12379874,2025-08-05,Memory system and method of controlling nonvolatile memory by controlling the writing of data to and reading of data from a plurality of blocks in the nonvolatile memory,0,G06F
12379847,2025-08-05,Storage device and memory system,0,G06F
12376300,2025-07-29,Method for manufacturing semiconductor device and method for processing film,0,H01L|H10B|H10D
12374594,2025-07-29,Semiconductor device and electronic device,0,H01L|H05K
12373143,2025-07-29,Memory device,0,G06F|G11C
12373140,2025-07-29,"Storage system, information processing system and method for controlling nonvolatile memory",0,G06F|G11C
12373099,2025-07-29,Memory system and memory control method,0,G06F|Y02D
12366974,2025-07-22,Memory system performing multi-step write operation and control method thereof,0,G06F|G11C
12366966,2025-07-22,Memory system,0,G06F
12362303,2025-07-15,Semiconductor memory device,0,G11C|H01L|H10B
12362289,2025-07-15,Semiconductor storage device,0,H01L|H10B
12362277,2025-07-15,Semiconductor device,0,H01L|H10B
12362023,2025-07-15,Semiconductor memory device,0,G06F|G11C
12360993,2025-07-15,Method and database system for optimizing query processing execution scheme,0,G06F
12360834,2025-07-15,Memory system and method,0,G06F
12360699,2025-07-15,Memory system,0,G06F
12356622,2025-07-08,Nonvolatile semiconductor memory device and method for manufacturing same,0,H01L|H10B|H10D
12356613,2025-07-08,Semiconductor memory device,0,G11C|H01L|H10B
12355853,2025-07-08,Memory system allowing host to easily transmit and receive data,0,G06F|G06K|H04L|H04N|H04W
12354999,2025-07-08,Semiconductor device and method of manufacturing the same,0,H01L
12354972,2025-07-08,Semiconductor device,0,H01L|H10B
12354945,2025-07-08,Memory device comprising various conductors/members in bridge region and memory region of a memory device,0,H01L|H10B
12354906,2025-07-08,Method of manufacturing semiconductor device and method of forming pattern,0,H01L|H10B
12354671,2025-07-08,Semiconductor memory device,0,G11C|H01L
12354666,2025-07-08,Semiconductor storage device and controller,0,G06F|G11C
12353748,2025-07-08,Memory system with accessible storage region to gateway,0,G06F
12353741,2025-07-08,Superblock-based write management in non-volatile memory devices,0,G06F
12353722,2025-07-08,"Information processing apparatus, method for controlling information processing apparatus, non-transitory recording medium storing control tool, host device, non-transitory recording medium storing performance evaluation tool, and performance evaluation method for external memory device",0,G06F|G11C
12353571,2025-07-08,Storage device,0,G06F
12353263,2025-07-08,Removable memory device,0,G06F|G06K
