patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12430934,2025-09-30,Utilizing implicit neural representations to parse visual components of subjects depicted within visual content,0,G06T|G06V
12430898,2025-09-30,Debiasing vision-language models with additive residuals,0,G06F|G06V
12430863,2025-09-30,Deformable neural radiance field for editing facial pose and facial expression in neural 3D scenes,0,G06T|G11B
12430829,2025-09-30,Multi-modal image editing,0,G06T
12430813,2025-09-30,Generating virtual objects from embedded code,0,G06K|G06T
12430727,2025-09-30,Image and object inpainting with diffusion models,0,G06T
12430725,2025-09-30,Object class inpainting in digital images utilizing class-specific inpainting neural networks,0,G06N|G06T
12430724,2025-09-30,Autonomously removing scan marks from digital documents utilizing content-aware filters,0,G06T|G06V
12430501,2025-09-30,Automatically generating graphic design variants from input text,0,G06F
12430492,2025-09-30,Theme-based document style transfer,0,G06F
12430254,2025-09-30,Web bot detection via behavioral analysis and machine learning,0,G06F|G06N|G06Q|H04L
12423979,2025-09-23,Per-clip video object segmentation using machine learning,0,G06F|G06T|G06V|H04N
12423895,2025-09-23,Adaptive editing experience for mixed media content,0,G06F|G06T|G11B
12423892,2025-09-23,Rendering and anchoring instructional data in augmented reality with context awareness,0,G06F|G06N|G06T
12423889,2025-09-23,Modifying paths in digital vector images by snapping to similar path geometries,0,G06T
12423888,2025-09-23,Vector object generation from raster objects using semantic vectorization,0,G06F|G06T|G06V
12423855,2025-09-23,Generating modified two-dimensional images by customizing focal points via three-dimensional representations of the two-dimensional images,0,G06T
12423831,2025-09-23,Background separation for guided generative models,0,G06T
12423371,2025-09-23,Utilizing machine learning models to process low-results web queries and generate web item deficiency predictions and corresponding user interfaces,0,G06F
12417570,2025-09-16,Vectorizing by piecewise deconstruction of object strokes,0,G06T
12417561,2025-09-16,Parameter-based synthetic model generation and recommendations,0,G06N|G06Q|G06T
12417559,2025-09-16,Semantic image fill at high resolutions,0,G06T|G06V
12417558,2025-09-16,Generating stylized digital images via drawing stroke optimization utilizing a multi-stroke neural network,0,G06N|G06T|G06V
12417518,2025-09-16,Repairing irregularities in computer-generated images,0,G06N|G06T
12417389,2025-09-16,Efficient mixed-precision search for quantizers in artificial neural networks,0,G06N
12417245,2025-09-16,Scalable video fingerprinting for content authenticity,0,G06F
12417244,2025-09-16,Determining user affinities for content generation applications,0,G06F|G06N|G06Q|H04L
