patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12430015,2025-09-30,"Image display apparatus including display controller and operation acceptance section, image display method therefor, and program therefor",0,A61B|G06F
12423805,2025-09-23,"Image display apparatus, non-transitory computer readable storage medium storing control program, and image display system",0,A61B|G06T|G16H
12417523,2025-09-16,"Dynamic imaging quality control device, storage medium for dynamic imaging quality control program, and dynamic imaging quality control method",0,A61B|G06T
12413572,2025-09-09,"Authentication system, authentication method, and authentication program",0,H04L
12406359,2025-09-02,"Medical information management apparatus, data structure of medical information, and storage medium",0,G06T|G16H
12394184,2025-08-19,Data collection device and data collection method,0,G06N|G06T|G06V|G10L
12387838,2025-08-12,"Failed-image decision support apparatus, failed-image decision support system, failed-image decision support method, and computer readable storage medium",0,A61B|G06T|G16H
12373921,2025-07-29,Image processing apparatus and recording medium,0,A61B|G06T
12370690,2025-07-29,"Posture determination method, computer-readable recording medium storing program, and component feeding apparatus",0,B25J|G06T
12363235,2025-07-15,"Processing apparatus with multiple settings screens, setting system, setting method, and computer-readable information recording medium",0,H04N
12360712,2025-07-15,"Image processing system for specifying countermeasures against errors, image forming system, information processing apparatus, inspection method, countermeasure specifying program, countermeasure specifying system, learning apparatus, and learning method",0,G03G|G06F|G06T|H04N
12355923,2025-07-08,"Image forming device, image reading device, non-transitory recording medium storing computer-readable program, image forming method, and image processing device",0,G06F|H04N
12354301,2025-07-08,"Abnormality handling data aggregating system, abnormality handling data aggregating method, and storage medium",0,G06T
12347103,2025-07-01,"Learning apparatus, learning system, learning method of machine learning model, and storage medium",0,G06T|G16H
12346617,2025-07-01,"Image processing apparatus, image processing system, control method, and non-transitory computer-readable recording medium",0,G06F
12343192,2025-07-01,"Radiographing control apparatus, recording medium, and radiographing system",0,A61B|G06T
12322516,2025-06-03,Storage medium and case search apparatus,0,G06F|G06V|G16H
12315163,2025-05-27,Dynamic image analysis apparatus and storage medium,0,G06T|G06V
12314618,2025-05-27,"Image inspection device, image forming system, and non-transitory storage medium comprising a hardware processor that executes continuity inspection of an identifier in an inspection region in a read image across a plurality of jobs",0,G06F
12309332,2025-05-20,Image inspection system for print setting correction,0,G06T|H04N
12308118,2025-05-20,"Information processing apparatus, information processing method, and recording medium",0,G06F|G06V|G16H
12293500,2025-05-06,"Image inspection device, image forming device, and computer-readable recording medium storing a program",0,G06F|G06T|H04N
12293264,2025-05-06,"Information processing system, information processing method and non-transitory recording medium",0,G06N
12288333,2025-04-29,Image processing apparatus and image processing method,0,A61B|G06T
12277702,2025-04-15,Radiographic failure determination support device and recording medium,0,G01T|G06T
12276931,2025-04-15,Image formation apparatus and control method therefor,0,G03G|H04N
12276622,2025-04-15,"State change tracking device, X-ray imaging system, state change tracking method of inspection target, and life estimating method of inspection target",0,G01N|G06T
12261944,2025-03-25,Authentication system and method for controlling authentication system,0,H04L
12260617,2025-03-25,"Object detection device, object detection method, program, and recording medium",0,G06F|G06N|G06T|G06V
12257099,2025-03-25,"Mobile radiographic imaging apparatus, storage medium, and wireless communication method",0,A61B|H04W
12253433,2025-03-18,"Gas monitoring device, method, and program",0,G01M|G06T|G08B
12248717,2025-03-11,"Device, method, and non-transitory computer-readable recording medium with computer program for managing machine troubles, and image forming system with machine trouble management device",0,G06F
