patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432322,2025-09-30,Projection type video display device,0,G03B|G09G|H04N
12423929,2025-09-23,Augmented reality display device and augmented reality display method,0,G06F|G06T|G06V
12418692,2025-09-16,Information processing apparatus and information processing method,0,H04L|H04N
12413700,2025-09-09,Image display apparatus and image display system,0,G06V|H04N
12400685,2025-08-26,Recording and reproducing apparatus and method thereof,0,G06F|G06V|G11B|H04N
12400306,2025-08-26,"Operation program, operation method, and operation device for image processing",0,G06N|G06T
12393735,2025-08-19,Portable terminal,0,G06F|H04M|H04W
12389221,2025-08-12,Mobile terminal and control method thereof,0,H04L|H04W
12389062,2025-08-12,Broadcast receiving apparatus,0,G09G|H04N
12387488,2025-08-12,Display device and display method,0,G04G|G06F|G06Q|G06T|G06V
12387442,2025-08-12,Mixed reality display device and mixed reality display method,0,G02B|G06F|G06T|G06V|G09G|H04L|H04N
12386489,2025-08-12,Information terminal device and application operation mode control method of same,0,G06F
12380698,2025-08-05,Information processing terminal and remote control method,0,G06F|G06T|G06V|G08C|H04L|H04M|H04Q|H04W
12375748,2025-07-29,Video processing system for demultiplexing received compressed and non-compressed video signals and transmitting demultiplexed signals,0,H04N
12375747,2025-07-29,Broadcast receiver and broadcast receiving system,0,G06F|H04H|H04N
12375625,2025-07-29,Television receiver with a TV phone function,0,H04L|H04N
12372789,2025-07-29,"Display terminal, application control system and application control method",0,G02B|G06F|G06T|G06V|H04M|Y02D
12368788,2025-07-22,"Content delivery system, delivery server, receiving terminal, and content delivery method",0,G06Q|H04L|H04N
12366683,2025-07-22,Lens unit having glass lens and combined resin lens,0,B29D|B60R|G02B|H04N
12361654,2025-07-15,"Display terminal, display control system and display control method",0,G06F|G06T|G06V|G09G|H04N
12360587,2025-07-15,Head-mounted information processing apparatus and its controlling method,0,G06F
12355548,2025-07-08,Broadcast receiving apparatus and method of processing transmission waves,0,H04H|H04N
12354401,2025-07-08,Imaging apparatus and imaging system,0,G06V|H04N
12353779,2025-07-08,Head mounted processing apparatus,0,G06F|G09G|H04N
12348818,2025-07-01,"Display controlling method, time controlling method, time managing method, and broadcast receiving apparatus",0,G06F|G09G|H04H|H04N
12348771,2025-07-01,Image encoding method and image decoding method,0,H04N
12342018,2025-06-24,Contents receiving system and client,0,H04N|H04R
12339730,2025-06-24,Head mounted display apparatus,0,G02B|G06F|G06V|G09G|H04N
12339568,2025-06-24,Lens unit and camera module,0,G02B|G03B|H04N
12335098,2025-06-17,Communication control method,0,H04L
12333080,2025-06-17,Mixed reality display system and mixed reality display terminal,0,G02B|G06F|G06Q|G06T|G06V
12328524,2025-06-10,Imaging device and image processing method,0,G06V|G11B|H04N
12327319,2025-06-10,Virtual reality sharing method and system,0,G06F|G06T|H04N
12324676,2025-06-10,"System, computer program and method for displaying TMT test result",0,A61B|G06Q|G09B|G16H
12323670,2025-06-03,"Portable terminal device, television receiver, and incoming call notification method",0,G06F|H04M|H04N
12321528,2025-06-03,Head-mounted display,0,G02B|G06F|G06T
12321524,2025-06-03,Head-mounted display,0,G02B|G06F|G06V
12317006,2025-05-27,Projection video display apparatus with variable light adjustment for multi-screen projection mode,0,G03B|G06F|H04N
12316917,2025-05-27,Mobile content viewing device and content viewing method,0,H04N
12316801,2025-05-27,"Information processing system, wireless terminal, and information processing method",0,H04M|H04N|H04W
12315297,2025-05-27,Personal information display device and processing method therefor,0,G06F|G06T|G06V
12307553,2025-05-20,"Remote operation instructing system, and mount type device",0,G02B|G06F|G06T|H04N
12307010,2025-05-20,Method for controlling to display based on a detected line of sight of a user and a detected line-of-sight position,0,G06F|H04N
12306917,2025-05-20,"Information processing apparatus, user authentication network system, and user authentication method",0,G06F|G10L
12302204,2025-05-13,"Mobile information terminal, information presentation system and information presentation method",0,G06F|G06T|H04N|H04W
12302103,2025-05-13,Display apparatus and display method,0,G06F|G09G|H04L|H04N|H04W
12299771,2025-05-13,Video display device and video display method,0,G01C|G06F|G06T|G09B|G09G
12299034,2025-05-13,"Automatic video production device, automatic video production method, and video recording medium used therefor",0,G06F|G06T|G06V|H04N
12294814,2025-05-06,Watching monitoring device and watching monitoring method,0,G06T|G06V|H04N
12294763,2025-05-06,Broadcast receiving apparatus,0,H04H|H04N
12293739,2025-05-06,Display apparatus,0,G06F|G06T|G09G|H04N
12284464,2025-04-22,Communication apparatus and method for receiving an inbound videophone call notice while displaying digital information on the display,0,H04L|H04N
12284462,2025-04-22,Video display device and control method,0,G02B|G06F|G09G|H04N
12284437,2025-04-22,Video recording device and camera function control program,0,G03B|G06F|H04N
12284326,2025-04-22,"Reception device, display control method, transmission device, and transmission method for program content type",0,H04N
12282842,2025-04-22,"Neural network processing apparatus, neural network processing method, and neural network processing program",0,G06F|G06N
12282708,2025-04-22,Portable terminal device and information processing system,0,G06F|G06V|G10L|H04M
12279011,2025-04-15,Broadcast reception device and video display method,0,G06F|G09G|H04N
12277359,2025-04-15,"Information processing apparatus, photographed image transfer and display system, and photographed image transfer and display method",0,G06F|G06T|G06V|H04N
12276899,2025-04-15,Image pickup device and method of tracking subject thereof,0,G01S|G03B|G06V|H01L|H04N|H10D
12267804,2025-04-01,"Portable information terminal, information processing system, and method for identifying area where portable information terminal is present",0,G06F|G06T|H04W
12267550,2025-04-01,"Broadcast receiving apparatus, broadcast receiving method, and contents outputting method",0,H04N
12267526,2025-04-01,Image encoding method and image decoding method,0,H04N
12267480,2025-04-01,Stereo imaging device with image distortion correction,0,G06T|G06V|H04N
12261839,2025-03-25,User authentication system and portable terminal,0,G06F|H04L|H04W
12260014,2025-03-25,Virtual object display device and virtual object display method,0,G01C|G01P|G06F|G06T|G06V|H04N
12259757,2025-03-25,Mobile terminal device,0,G06F|G06T|H04M|H04N
12250338,2025-03-11,Information processing terminal and automatic response method,0,H04L|H04M
12249338,2025-03-11,Information processing device and digital assistant system,0,G06F|G10L
12248910,2025-03-11,Information display device and activity plan display system,0,G06Q|G06V|H04N
12238377,2025-02-25,Broadcast receiving apparatus,0,G06F|G09G|H04H|H04N
12238308,2025-02-25,Image encoding method and image decoding method,0,H04N
12236544,2025-02-25,"Display terminal, display control system and display control method",0,G06F|G06T|G06V|G09G|H04N
12235457,2025-02-25,Head-mounted display device,0,G02B|G06F|G09G|H04N
12235444,2025-02-25,Linked display system and head-mounted display,0,G02B|G06F|G09G
12231825,2025-02-18,Operating method for multi-screen projection system,0,G03B|G06F|H04N
12229334,2025-02-18,Video display device and video display method,0,A63B|G06F|G06V|G09B|G09G|G10L|H04N
12225281,2025-02-11,Mobile terminal,0,G03B|H04N
12219202,2025-02-04,Multimedia player displaying operation panel depending on contents,0,G06F|G11B|H04N
12212897,2025-01-28,Multi-screen projection system,0,G03B|G06F|H04N
12212837,2025-01-28,"Imaging apparatus, imaging method and imaging program",0,G06T|H04N
12210680,2025-01-28,Head mounted display apparatus,0,G02B|G06F|G06T|Y02D
12206934,2025-01-21,Mobile information terminal,0,H04N
12204720,2025-01-21,"Finger tapping measurement processing terminal, system, method, and computer program",0,A61B|G06F
12198733,2025-01-14,Editing method and recording and reproducing device,0,G06F|G11B|H04N
12198399,2025-01-14,Display system and display method,0,B60K|B60R|G06F|G06T|G06V
12192580,2025-01-07,Broadcast receiving apparatus for receiving program contents based on location information,0,H04N
12192564,2025-01-07,"Digital contents receiver, digital contents receiving method and digital contents transmitting and receiving method",0,H04N
12186075,2025-01-07,Abnormal data processing system and abnormal data processing method,0,A61B|G06F
12185211,2024-12-31,Mobile communication terminal and control method therefor,0,G06F|H04L|H04W
12185016,2024-12-31,Imaging apparatus capable of switching display methods,0,G03B|H04N
12184819,2024-12-31,Imaging apparatus,0,G06F|G06V|H04N
12177507,2024-12-24,Broadcast receiving system,0,H04N
12170804,2024-12-17,Video display device and cooperative control method in video display device,0,G06F|H04N
12169585,2024-12-17,Mobile information terminal and control method thereof,0,G06F
12169281,2024-12-17,"Head-mounted display, head-mounted display linking system, and method for same",0,G02B|G06F|G09G
12167080,2024-12-10,Information processing terminal and method,0,G06V|H04N
12165604,2024-12-10,Head-up display apparatus,0,B60K|G01J|G02B|G09G|H04N
12163806,2024-12-10,Information processing apparatus,0,G01C|G06T|G11B|H04N
12160681,2024-12-03,Video transmitter apparatus and video receiver apparatus,0,H04N
12154330,2024-11-26,"Space recognition system, space recognition method and information terminal",0,G06T|G06V
12153734,2024-11-26,Image display device and image display method,0,G06F|G06T|H04N
12143727,2024-11-12,Composite reception/emission apparatus,0,G01B|G01S|H04N
12143665,2024-11-12,Information processing apparatus and information processing method,0,H04L|H04N
12143568,2024-11-12,Image encoding method and image decoding method,0,H04N
12141382,2024-11-12,Wearable information terminal,0,G04G|G06F
12137344,2024-11-05,"Communication system, communication device and communication terminal device",0,H04L|H04W
12137245,2024-11-05,Image encoding method and image decoding method,0,H04N
12132951,2024-10-29,"Information processing method, and display apparatus",0,H04N
12131753,2024-10-29,Information recording/reproducing apparatus,0,G11B|H04N
12130974,2024-10-29,"Head mounted display system and head mounted display used for same, and operation method for same",0,G06F
