patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12433084,2025-09-30,Display device,0,G06F|G06V|G09G|H01L|H10F|H10H
12432793,2025-09-30,Operating method of UE related to relay in wireless communication system,0,H04B|H04W
12432754,2025-09-30,Multicast-related communication,0,H04W
12432751,2025-09-30,Method and apparatus for determining sidelink resources in NR V2X,0,H04L|H04W
12432725,2025-09-30,Method and apparatus for uplink/downlink transmission/reception on basis of beam linkage state in wireless communication system,0,H04B|H04L|H04W
12432704,2025-09-30,Sidelink communication,0,H04L|H04W|Y02D
12432698,2025-09-30,"Method for assigning beam management ID to terminal in wireless communication system supporting sidelink, and apparatus therefor",0,H04B|H04W
12432664,2025-09-30,Maximizing an amount of degradation for the NR operating band based on channel bandwidth,0,H04B|H04L|H04W
12432649,2025-09-30,Method and apparatus for cell reselection in wireless communication system,0,H04W
12432626,2025-09-30,Communication method via network slice,0,H04W
12432625,2025-09-30,Communication related to network slice,0,H04L|H04W
12432595,2025-09-30,Method for supporting WLAN use experience analysis using UE WLAN user data,0,H04L|H04M|H04W|Y02D
12432590,2025-09-30,Scheduling restriction and SMTC configuration for high frequency range,0,H04W
12432579,2025-09-30,Radio link failure reporting for master cell group during secondary cell group suspension,0,H04W
12432384,2025-09-30,"Method and device for generating/receiving media file including NAL unit information, and method for transmitting media file",0,H04N
12432380,2025-09-30,"Point cloud data transmitting device, point cloud data transmitting method, point cloud data receiving device, and point cloud data receiving method",0,G06T|H04N
12432351,2025-09-30,"Image decoding method comprising generating prediction samples by applying determined prediction mode, and device therefor",0,H04N
12432314,2025-09-30,Display device,0,F16M|H04N
12432103,2025-09-30,Method and device for setting 1X EHT-STF sequence by repeating STF sequence for 40 MHz band in wireless LAN system,0,H04B|H04L|H04W
12432036,2025-09-30,Method and apparatus for transmitting/receiving wireless signal in wireless communication system,0,H04B|H04L|H04W
12432034,2025-09-30,"Method, transmission device, processing device, and storage medium for transmitting reference signal, and method and reception device for receiving reference signal",0,H04B|H04L|H04W
12432009,2025-09-30,Method and apparatus for transmitting and receiving signals of user equipment and base station in wireless communication system,0,G06N|H03M|H04L
12431954,2025-09-30,Method and device for beam-related operation of device in wireless communication system,0,H04B|H04W|Y02D
12431943,2025-09-30,"Method for controlling beam in wireless communication system, and apparatus therefor",0,H04B|H04W
12431745,2025-09-30,Calibration method and apparatus in wireless power transmission system,0,H02J|H04L
12430885,2025-09-30,Artificial intelligence apparatus and method for detecting unseen class items thereof,0,G06T|G06V
12430711,2025-09-30,Signal processing device and image display device comprising same,0,G06F|G06T|G06V|G09G|H04N
12426755,2025-09-30,Robot cleaner and method for controlling the same,0,A47L|B25J|G05D|H04N
12426422,2025-09-23,Display device having support module on side surface of substrate,0,H01L|H10H|H10K|Y02E
12426421,2025-09-23,Display device including semiconductor light emitting device,0,H01L|H10H
12426112,2025-09-23,Method and apparatus for measurement in idle state or inactive state considering a network slice in a wireless communication system,0,H04W
12426093,2025-09-23,Method and apparatus for transmitting and receiving information related to collision of reserved resources in a wireless communication system,0,H04B|H04W
12426070,2025-09-23,Operation method of UE related to sidelink communication and feedback in wireless communication system,0,H04L|H04W
12426062,2025-09-23,"Method for monitoring scheduling information in wireless communication system, and device using method",0,H04L|H04W
12426056,2025-09-23,Method and apparatus for receiving or transmitting configuration information related to at least one TDRA row,0,H04L|H04W
12426024,2025-09-23,Channel switching for C-OFDMA transmission in multi-AP system,0,H04B|H04L|H04W
12426017,2025-09-23,"Method for operating IAB node in wireless communication system, and device using method",0,H04L|H04W
12425998,2025-09-23,"Method for configuring timing alignment for IAB node, and node using same method",0,H04W
12425964,2025-09-23,Method and device for carrying out timer-based power saving in NR V2X,0,H04L|H04W|Y02D
12425963,2025-09-23,Technique for performing multi-link communication in wireless communication system,0,H04W|Y02D
12425951,2025-09-23,"Method for managing prohibited PLMN list during disaster roaming, and apparatus supporting same",0,H04W
12425924,2025-09-23,Technique for performing low latency communication in wireless LAN system,0,H04L|H04W
12425906,2025-09-23,Method and apparatus for measurement failure reporting in a wireless communication system,0,H04W
12425881,2025-09-23,Digital aircomp signaling,0,G06N|H04L|H04W
12425844,2025-09-23,Signal randomization method and device of communication apparatus,0,G06N|H04L|H04W|Y02D
12425826,2025-09-23,Method for triggering advanced automatic collision notification using pre-crash system,0,G08G|H04W
12425821,2025-09-23,Method of sharing and delivering V2X service related information by a server and an RSU and apparatus therefor,0,H04W
12425638,2025-09-23,"Method for encoding and decoding video, and apparatus using same",0,G06T|H04N
12425629,2025-09-23,Image coding method on basis of entry point-related information in video or image coding system,0,H04N
12425592,2025-09-23,Method and device for designing low-frequency non-separable transform,0,H04N
12425581,2025-09-23,"Image encoding/decoding method and device for signaling chroma component prediction information according to whether palette mode is applicable, and method for transmitting bitstream",0,H04N
12425531,2025-09-23,Display device and control method therefor,0,H04N
12425510,2025-09-23,Mobile terminal,0,G06F|H04M
12425168,2025-09-23,HARQ operation at PHY layer level,0,H04L
12425160,2025-09-23,Method and apparatus for transmitting or receiving channel state information in wireless communication system,0,H04B|H04L|H04W
12425156,2025-09-23,"Method for control channel for redcap in wireless communication system, and terminal using same method",0,H04L|H04W
12425155,2025-09-23,Method and apparatus for transmitting and receiving wireless signal in wireless communication system,0,H04L|H04W
12425137,2025-09-23,Method and device for performing low-latency and high-speed transmission in wireless communication system,0,H04L|H04W
12424883,2025-09-23,Method and device for authentication in wireless power transfer system,0,H02J|H04B|H04L|H04W
12424882,2025-09-23,Communication reset and abortion in wireless power transmission system,0,H02J|H04L
12424878,2025-09-23,Connection method and apparatus for out-of-band communication in wireless power transmission system,0,H02J|H04L|H04W
12424126,2025-09-23,Display device,0,G06F|G09F|G09G
