patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432714,2025-09-30,Dynamic scheduling of paired downlink and uplink traffic,0,H04L|H04W
12432561,2025-09-30,Independent and continuous verification of security and attestation zones in a data communication network,0,G08B|H04W
12432525,2025-09-30,Active information for user devices for improved service delivery,0,G01S|G06Q|G06T|H04W
12432426,2025-09-30,Automated video segmenting and integration of video segments into digital communications,0,G06V|H04N
12432227,2025-09-30,Encryption detection,0,H04L
12432219,2025-09-30,Managing data processing systems based on location using out-of-band communications,0,H04L
12432216,2025-09-30,Systems and methods for deployment of workspace endorsements,0,H04L
12432206,2025-09-30,Time varying information encoding scheme for device security,0,H04L
12432194,2025-09-30,Secure peripheral management,0,H04L
12432164,2025-09-30,Workload management between edge computing sites,0,H04L
12432155,2025-09-30,Buffer headroom-based result determination system,0,H04L
12432121,2025-09-30,Rollback orchestration module for deployed and dependent forecasting models at the edge,0,G06N|H04L
12432117,2025-09-30,Management of telemetry services in a heterogenous computing platform,0,G06F|H04L
12432113,2025-09-30,Service level enforcement in distributed system based on impact of enforcement actions,0,H04L
12432075,2025-09-30,Blockchain security for distributed multi-cloud orchestration and configuration management,0,H04L
12432057,2025-09-30,Control system management for secret backup in distributed systems,0,G06F|H04L
12432045,2025-09-30,Method and apparatus for high performance data signing and encryption with stream whitening with an advanced encryption standard-electronic codebook (AES-ECB) block,0,H04L
12432020,2025-09-30,Correction of downlink radio frame misalignment for coordinated multi-point transmission/reception by phase rotation,0,H04L|H04W
12430703,2025-09-30,"Method, device, and computer program product for image processing",0,G06N|G06T
12430656,2025-09-30,Carbon footprint optimized system and method for recommending a priority for replacement or workload redistribution for hardware across an enterprise system,0,G06Q
12430641,2025-09-30,Method and system for obfuscating asset transactions in a distributed ledger,0,G06Q
12430587,2025-09-30,Object level space forecasting,0,G06F|G06N
12430568,2025-09-30,Decoupled architecture for artificial intelligence model management,0,G06F|G06N
12430513,2025-09-30,Using machine learning for individual classification,0,G06F|G06N|G10L
12430476,2025-09-30,Preventing content rendered by a display from being captured or recorded,0,G06F|G06V
12430457,2025-09-30,"Reversing symmetric encryptions using keys found in snapshots—per-file keys, random and transmitted outside",0,G06F|H04L
12430450,2025-09-30,Recovery key management and storage,0,G06F
12430444,2025-09-30,Workspace instantiation using continuous vulnerability intelligence feedback loops,0,G06F
12430439,2025-09-30,LCS trust system,0,G06F
12430407,2025-09-30,Intelligent accelerator license management,0,G06F|H04L
12430358,2025-09-30,Sub-track granularity for preserving point-in-time data,0,G06F
12430331,2025-09-30,"Method, device, and computer program product for querying storage system",0,G06F
12430304,2025-09-30,Coordinating deduplication among nodes,0,G06F
12430255,2025-09-30,Dataset integrity protection,0,G06F
12430249,2025-09-30,Location-based global cache tiering,0,G06F
12430248,2025-09-30,Board level dynamic cache layout distribution,0,G06F
12430247,2025-09-30,BMC memory expansion system,0,G06F
12430234,2025-09-30,Dynamic test case execution scheduling mechanism,0,G06F
12430231,2025-09-30,"Method, device, and computer program product for generating test case",0,G06F
12430229,2025-09-30,Intelligent way to select regression test cases in system test,0,G06F
12430221,2025-09-30,Systems and methods for estimating information handling system performance capacity based on temperature and acoustic parameters,0,G06F
12430219,2025-09-30,Intelligent score based OOM test baseline mechanism,0,G06F
12430218,2025-09-30,Metadata simulation,0,G06F
12430216,2025-09-30,Systems and methods for high-availability witness sleds,0,G06F
12430210,2025-09-30,Managing changes to metadata in a data storage system,0,G06F
12430195,2025-09-30,Validation of environmental restrictions on IHS operations,0,G06F
12430190,2025-09-30,System and method to detect data storage drive failures,0,G06F|G06N
12430183,2025-09-30,Snapshot based pool of virtual resources for efficient development and test of hyper-converged infrastructure environments,0,G06F
12430178,2025-09-30,Time-bound task management in parallel processing environment,0,G05B|G06F|Y02D
12430176,2025-09-30,Controlling operation of edge computing nodes based on knowledge sharing among groups of the edge computing nodes,0,G06F|G06N
12430168,2025-09-30,Schedule management for machine learning model-based processing in computing environment,0,G06F|G06N
12430157,2025-09-30,Workspace administration system and method for a workspace orchestration system,0,G06F
12430122,2025-09-30,Systems and methods for use of a firmware update proxy,0,G06F
12430115,2025-09-30,Connectivity management system client module update and failure recovery,0,G06F|H04L
12430102,2025-09-30,Automatically modifying user code using artificial intelligence techniques,0,G06F|G06N
12430065,2025-09-30,Techniques for providing data consistency,0,G06F
12430063,2025-09-30,Metadata management during an intermediate persistent storage failure during startup,0,G06F
12430062,2025-09-30,Managing transitions from metro-cluster to standalone objects,0,G06F
12430058,2025-09-30,Data copying using a source group and a target group of data storage systems,0,G06F
12430055,2025-09-30,System and method for expanding the lifetime of virtual entries in data storage systems,0,G06F
12430051,2025-09-30,"Method, electronic device, and computer program product for expanding storage device cluster",0,G06F
12430049,2025-09-30,Data log with bonded descriptors,0,G06F
12430048,2025-09-30,Optimized throughput of volume creations,0,G06F
12430040,2025-09-30,"Method, electronic device, and computer program product for data replication",0,G06F
12430038,2025-09-30,Automated power limit write pacing to control NAND endurance,0,G06F
12430030,2025-09-30,Green disk array enclosure,0,G06F
12430029,2025-09-30,Storage system with dynamic fair queue scheduling of host and replication input-output operations,0,G06F
12430008,2025-09-30,Managing data pipelines using graphical user interfaces,0,G06F|H04L
12429938,2025-09-30,Facilitating a scheduler for distributed unit power management in advanced communication networks,0,G06F|H04L|H04W
12429935,2025-09-30,Managing thermal excursions at an information handling system,0,G06F
12429933,2025-09-30,Management of device based on CPU temperature during hibernation state,0,G06F
12426149,2025-09-23,Heater apparatus for a computing device,0,G06F|H05K
12425836,2025-09-23,Managing embedded subscriber identity module (eSIM) credentials in heterogeneous computing platforms,0,H04W
12425504,2025-09-23,Kickstand with radio frequency (RF) window,0,G06F|H04M
12425452,2025-09-23,Device authentication using out-of-band communications,0,H04L
12425444,2025-09-23,System and method for applying security mitigation to components within a storage system,0,H04L
12425423,2025-09-23,Security-linked telemetry in a zero-trust computing environment,0,H04L
12425419,2025-09-23,Lightweight attacker identification method for federated learning with secure byzantine-robust aggregation via clustering,0,G06N|H04L
12425400,2025-09-23,Secure access via 802.1X port-based network access control (PNAC),0,H04L
12425296,2025-09-23,Pro-active telecommunications infrastructure deployment failure detection,0,H04L
12425237,2025-09-23,Guarding device onboarding ownership vouchers against unauthorized ownership changes,0,H04L
12424777,2025-09-23,Method for pre-assembly of compression attached memory modules,0,G06F|H01R
12423893,2025-09-23,Converting text data to video data using artificial intelligence techniques,0,G06F|G06T
12423880,2025-09-23,Localized image enhancements in heterogeneous computing platforms,0,G06N|G06T
12423776,2025-09-23,"Method, electronic device, and computer program product for image processing utilizing encoder-decoder arrangement",0,G06T|G06V
12423710,2025-09-23,System and method for generation of self-guided recovery procedures and suggestions,0,G06F|G06Q
12423480,2025-09-23,Encrypted enclave to protect from platform nonvolatile storage attacks,0,G06F
12423478,2025-09-23,Validation of component transfers between information handling systems,0,G06F
12423457,2025-09-23,Data sensitivity classification using content-based datasets,0,G06F
12423425,2025-09-23,Pave and/or repave systems and methods using ransomware protection smart network interface controller or ransomware protection storage device secure snapshots,0,G06F
12423424,2025-09-23,Analyzing file entropy to identify adverse conditions,0,G06F
12423420,2025-09-23,Selective automatic override of a configuration management exclusion window,0,G06F
12423419,2025-09-23,System and method for determining types of anomalies while performing memory-less anomaly detection,0,G06F|G06N
12423332,2025-09-23,Enhanced distributed retrieval augmented generation system,0,G06F
12423322,2025-09-23,Dynamic replication service execution using data change metrics,0,G06F
12423280,2025-09-23,System and method for identifying poisoned data during data curation,0,G06F
12423279,2025-09-23,User-configurable autotagging policies,0,G06F
12423269,2025-09-23,Warm start file compression using sequence alignment,0,G06F|H03M
12423264,2025-09-23,Attribute based asset discovery for intelligent protection,0,G06F
12423259,2025-09-23,Fabric connection assist transceiver device identification system,0,G06F
12423256,2025-09-23,Systems and methods for desktop bus (D-Bus) caching,0,G06F
12423240,2025-09-23,Cache layout optimization,0,G06F
12423218,2025-09-23,Data center environment architecture for providing autonomous data center test automation orchestration,0,G06F
12423204,2025-09-23,Systems and methods to abstract hardware access in baseboard management controllers (BMCS),0,G06F
12423190,2025-09-23,Self-service data protection operation of active-passive and active-active database clusters,0,G06F
12423187,2025-09-23,Detecting configuration issues during pre-canary deployment,0,G06F
12423163,2025-09-23,Context driven network slicing based migration of applications and their dependencies,0,G06F|H04L
