patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12430834,2025-09-30,Video-generation system with structured data-based video generation feature,0,G06F|G06N|G06T|G06V|G10L
12425072,2025-09-23,Proving physical possession of internet-of-things (IOT) devices,0,G16Y|H04B|H04L|H04W
12423741,2025-09-23,Coordinated processing of food ordering based on media content presentation,0,G06Q|H04N
12413821,2025-09-09,Web-based content presentation via smart television device application,0,H04N
12413810,2025-09-09,Television upgrade,0,H04N
12411556,2025-09-09,Using gestures to control a media player,0,G06F|G06T|G06V|H04N
12408250,2025-09-02,Using movement of an end-user between monitored environments to trigger an action at an Internet of Things device,0,H04L|H04W|H05B
12406000,2025-09-02,Video fingerprinting,0,G06F
12401915,2025-08-26,Camera time-based motion trails and motion heat-maps for periodic captured images,0,G06T|G06V|H04N
12401852,2025-08-26,Computing device upgrading system over a wireless network,0,H04N
12395697,2025-08-19,Using motion and presence of an end-user to switch operational modes of an internet of things device,0,G06F|H04N|H04W
12394298,2025-08-19,Dynamic collection and reporting of customer premises context information in response to predicted emergency event,0,G08B|H04L
12389088,2025-08-12,Use of watermarking to trigger fingerprint-related action,0,G06F|H04N
12389055,2025-08-12,Interest based recommendation system,0,G06Q|H04N
12382120,2025-08-05,Content-modification system with overlay handling feature,0,H04N
12380464,2025-08-05,Real-time guaranteed campaign delivery optimization using broadcast schedules and historic viewing data,0,G06Q|H04N
12375753,2025-07-29,Audio duplication and redirection system,0,H04N
12374328,2025-07-29,Dynamic domain-adapted automatic speech recognition system,0,G06F|G10L
12373221,2025-07-29,Fast boot system,0,G06F
12367477,2025-07-22,Secure payment using a radio frequency identification (RFID) enabled remote control,0,G06Q|H04N
12365009,2025-07-22,Air filter and wiper blades for reducing particle inside electronic devices,0,B01D|B08B|G06F
12363800,2025-07-15,Radio frequency remote control,0,G06F|G08C|H04N|H04W
12363742,2025-07-15,Dynamic private Wi-Fi channel selection,0,G08C|H04W
12363367,2025-07-15,Tailoring and censoring content based on a detected audience,0,G06V|G10L|H04N
12361945,2025-07-15,Voice control device with push-to-talk (PTT) and mute controls,0,G06F|G10L|H04N|H04R|H04W
12353685,2025-07-08,Customizing a user interface based on user capabilities,0,G06F|H04N
12348815,2025-07-01,Dynamic control of media-content presentation based on user presence and/or user profile,0,H04N
12348805,2025-07-01,Demographic classification of media accounts based on media content data,0,G06Q|H04N
12348795,2025-07-01,Automatically determining an optimal supplemental content spot in a media stream,0,H04N
12348793,2025-07-01,Product metrics monitoring and anomaly detection using machine learning models,0,G06F|G06N|H04N
12346480,2025-07-01,Use of obfuscation marker to obfuscate a face image and enable computerized face identification,0,G06F|G06V
12342012,2025-06-24,Intelligent download of content,0,H04N
12335547,2025-06-17,Candidate ranking for content recommendation,0,G06F|H04N
12334115,2025-06-17,Method and system for generating synthetic video advertisements,0,G06Q|G10L|G11B
12330023,2025-06-17,Platform for visual tracking of user fitness,0,A63B|A63F|G06T|G06V
12328485,2025-06-10,Message processing using a client-side control group,0,H04L|H04N
12328468,2025-06-10,Synchronization with synthesized audio clock,0,H03L|H04N
12323654,2025-06-03,Advertisement placement for stream media,0,H04N
12323364,2025-06-03,Hub station with channel switching feature,0,H04L|H04W
12316921,2025-05-27,Content classifiers for automatic picture and sound modes,0,H04N
12316495,2025-05-27,System performance degradation mitigation based on prioritizable mitigating actions,0,G06F|H04L
12309452,2025-05-20,Detection of mute and compensation therefor during media replacement event,0,G06Q|H04N
12309451,2025-05-20,Dynamic replacement of objectionable content in linear content streams,0,G06V|H04N
12309036,2025-05-20,Reverse wireless discovery for adding an IoT device to an IoT ecosystem,0,H04L|H04W
12307428,2025-05-20,"Automated payments performance monitoring, alerting and recommendation framework",0,G06F|G06N|G06Q
12306875,2025-05-20,Multiple query projections for deep machine learning,0,G06F
12301897,2025-05-13,Emotion evaluation of contents,0,G06V|H04N
12300274,2025-05-13,Content system with user-input based video content generation feature,0,G06N|G11B|H04N
12292774,2025-05-06,Brown out condition detection and device calibration,0,G06F|H04L|H04N|H04W|Y02D
12289386,2025-04-29,Receiver for high precision synchronization,0,H04B|H04J|H04L|H04N|H04W
12288569,2025-04-29,Audio time synchronization using prioritized schedule,0,G11B|H04N
12282784,2025-04-22,Media device user interface and content personalization using natural language prompts,0,G06F|G10L
12265993,2025-04-01,Rendering a dynamic endemic banner on streaming platforms using content recommendation systems and content affinity modeling,0,G06Q|H04N
12265746,2025-04-01,"Controlling visual indicators in an audio responsive electronic device, and capturing and providing audio using an API, by native and non-native computing devices and services",0,G06F|G08C|G10L
12261908,2025-03-25,Synchronization of multimedia content presentation across multiple devices in a watch party,0,H04L
12260882,2025-03-25,Actor-replacement system for videos,0,G06F|G06T|G06V|G10L|G11B
12260076,2025-03-25,User control mode of a companion application,0,G06F|H04N
12256175,2025-03-18,Generating a user avatar for video communications,0,G06T|G06V|H04N
12256126,2025-03-18,Smart remote control for audio responsive media device,0,G06F|H04N
12255776,2025-03-18,Dynamic reconfiguration of control-group pairing in response to operational failure,0,H04L
12250255,2025-03-11,Skipping the opening sequence of streaming content,0,H04L|H04N
12249054,2025-03-11,Dynamic tone mapping,0,G06T|H04N
12248330,2025-03-11,Smart switch with functionalities determined based on a grounded conductor connection,0,G05F|G06F|H04L
12244885,2025-03-04,Personalized content related to content being viewed,0,H04N
12238392,2025-02-25,Computing system with device attestation feature,0,G06F|H04L|H04N
12238366,2025-02-25,Real-time objects insertion into content based on frame identifiers,0,G06T|G06V|H04N
12235905,2025-02-25,Content display and clustering system,0,G06F|H04N
12225427,2025-02-11,Tracking proximities of devices and/or objects,0,G08B|H04W
12219442,2025-02-04,Power monitoring of devices,0,H04L|H04W
12219190,2025-02-04,Recommendation system with reduced bias based on a view history,0,H04N
12212795,2025-01-28,Content-modification system with probability-based selection feature,0,H04N
12206926,2025-01-21,Crowd sourced indexing and/or searching of content,0,G06F|H04L|H04N
12204818,2025-01-21,Transmitting messages to a display device based on detected audio output,0,G06F|H04N|H04R|H04S
12200310,2025-01-14,Rendering a dynamic endemic banner on streaming platforms using content recommendation systems and content modeling for user exploration and awareness,0,G06Q|H04N
12200302,2025-01-14,Media device upgrading system with networking capabilities,0,H04N
12200301,2025-01-14,Replacement of digital content in data streams,0,H04N
12199790,2025-01-14,Dynamic provisioning of IoT devices from an online application marketplace,0,H04L
12198700,2025-01-14,Media system with closed-captioning data and/or subtitle data generation features,0,G10L|H04N
12198434,2025-01-14,Dynamic triggering and processing of purchase based on computer detection of media object,0,G06N|G06V|H04N
12192560,2025-01-07,Private listening system for streaming audio and video,0,H04N
12192553,2025-01-07,Content delivery optimization based on predicted effectiveness of linear content schedule,0,H04N
12192552,2025-01-07,Controlling media-content presentation based on movement of media-player device from home location to visited location,0,H04N
12192541,2025-01-07,Adaptive audio bitrate selection,0,H04N
12190864,2025-01-07,Interest-based conversational recommendation system,0,G06N|G10L
12177520,2024-12-24,HDMI customized ad insertion,0,G06V|H04N
12177519,2024-12-24,Dynamic splash screen during an application launch sequence for media streaming devices,0,G06F|H04N
12170824,2024-12-17,Overriding multimedia device,0,G06F|G06N|H04N
12167076,2024-12-10,Dynamic video overlays,0,H04N
12160779,2024-12-03,Detecting and switching wireless networks,0,H04L|H04W
12160637,2024-12-03,Playing media contents based on metadata indicating content categories,0,G06V|H04N
12160632,2024-12-03,Preserving channel lock and performing dynamic ad insertion (DAI) in a multi-device setup,0,H04N
12159637,2024-12-03,Using non-audio data embedded in an audio signal,0,G06F|G10L|H04R|H04S
12156298,2024-11-26,Real-time assessment of multimedia service in a particular environment,0,H04W
12155878,2024-11-26,Demographic predictions for content items,0,H04N
12155408,2024-11-26,Identifying electronic devices in a room using a spread code,0,H04B|H04J|H04L|H04R|H04S
12153588,2024-11-26,Multimodal analysis for content item semantic retrieval and identification,0,G06F
12153155,2024-11-26,Mobile device based control device locator,0,G01S|H04W
12149780,2024-11-19,Multi-interface streaming media system,0,G06F|G09G|H04N
12149772,2024-11-19,Method and system for controlling lighting in a viewing area of a content-presentation device,0,H04N|H05B
12149771,2024-11-19,Non-television experience triggers,0,H04N
12149768,2024-11-19,"Media channel identification and action, with disambiguation through client-side fingerprint matching of channel-specific icon",0,H04N
12143688,2024-11-12,Rendering a dynamic endemic banner on streaming platforms using content recommendation systems,0,H04N
12141009,2024-11-12,Dynamic battery back-up for set-top-boxes,0,G06F|H02J|H04N|Y02B|Y02D|Y04S
