patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12430629,2025-09-30,Initiating split data transfers at a terminal,0,G06Q
12430351,2025-09-30,System and method for ingesting data based on processed metadata,0,G06F
12430315,2025-09-30,"System, method, and device for uploading data from premises to remote computing environments",0,G06F
12423143,2025-09-23,"System, method, and device for ingesting data into remote computing environments",0,G06F
12412221,2025-09-09,Management of reconciliation and reporting workflow using robotic process automation,0,G06F|G06Q
12411989,2025-09-09,System and method for providing third party access to a system,0,G06F
12411986,2025-09-09,Data treatment apparatus and methods,0,G06F
12411864,2025-09-09,System and method for processing instructions associated with one or more data transfers,0,G06F|G06Q|H04L
12407511,2025-09-02,Dynamic implementation and management of hash-based consent and permissioning protocols,0,H04L
12399687,2025-08-26,Generating software architecture from conversation,0,G06F
12395491,2025-08-19,Systems and methods for authenticating end users of a web service,0,G06F|H04L
12387208,2025-08-12,Authorization control network and method of validating an authorization request,0,G06F|G06Q
12387203,2025-08-12,Distributed electronic ledger with metadata,0,G06Q
12387145,2025-08-12,Prediction of future occurrences of events using adaptively trained artificial-intelligence processes and contextual data,0,G06F|G06N
12386813,2025-08-12,System for automatic data transfer acceleration,0,G06F
12380494,2025-08-05,System and method for real-time cheque processing and return at an automated teller machine,0,G06Q|G07F
12380491,2025-08-05,Systems and methods for managing online storefronts,0,G06Q
12380475,2025-08-05,Systems and methods for automated response to online reviews,0,G06F|G06Q
12380158,2025-08-05,Automated image retrieval with image graph,0,G06F|G06V
12374234,2025-07-29,Simulator for value instrument negotiation training,0,G06F|G06Q|G06T|G06V|G09B
12373828,2025-07-29,System and method for effecting a secure event,0,G06K|G06Q|H04L
12373805,2025-07-29,Secure offline approval of initiated data exchanges,0,G06Q|H04L
12373795,2025-07-29,System and method of dynamically recommending online actions,0,G06N|G06Q
12373598,2025-07-29,Identifying and mitigating disparate group impact in differential-privacy machine-learned models,0,G06F
12367289,2025-07-22,Threat detection and mitigation in a networked environment,0,G06F
12367069,2025-07-22,System and method for executing a dynamic routing service,0,G06F|G06Q
12363114,2025-07-15,System and method for authenticating client devices communicating with an enterprise system,0,G06F|H04L
12363049,2025-07-15,System and method for controlling access to project data and to computing resources therefor,0,H04L
12361074,2025-07-15,System and method for controlling access to secure data records in a web browsing session,0,G06F|G06Q
12360963,2025-07-15,System and method for managing data from different sources,0,G06F
12354168,2025-07-08,System and method for dynamically managing a digital card in an electronic wallet,0,G06Q|H04L
12354094,2025-07-08,Real-time provisioning of directed digital content based on decomposed structured messaging data,0,G06F|G06Q
12354067,2025-07-08,Configuration of data transfer recipient,0,G06Q
12353969,2025-07-08,System and method for examining data from a source,0,G06F|G06N
12353892,2025-07-08,System and method for automated configuration of a computing device,0,G06F|G06Q
12340186,2025-06-24,System and method for executing a process workflow,0,G06F|G06Q
12335169,2025-06-17,Systems and methods for locking in offsets associated with resource requests,0,G06Q|H04L
12333518,2025-06-17,Real-time reconciliation processing based on structured messaging data,0,G06Q
12333354,2025-06-17,Using generative artificial intelligence to improve user interactions,0,G06F|G06N
12327102,2025-06-10,System and method for providing a technology resource management interface,0,G06F
12326856,2025-06-10,Using generative artificial intelligence to improve user interactions,0,G06F|G06N
12323535,2025-06-03,Dynamic management and implementation of consent and permissioning protocols using container-based applications,0,G06F|H04L
12323484,2025-06-03,System and method for data movement,0,H04L
12321979,2025-06-03,System and method for optimized transfer of digital assets,0,G06Q
12321861,2025-06-03,Initialization of parameters for machine-learned transformer neural network architectures,0,G06F|G06N
12321780,2025-06-03,System and method for executing data processing tasks,0,G06F
12316715,2025-05-27,Dynamic push notifications,0,G06Q|H04L|H04W
12316645,2025-05-27,System and methods for secure processing of real-time resource transfers,0,H04L
12315017,2025-05-27,System and method for enabling capture of an image of a vehicle,0,G06F|G06Q|G06T|H04N
12315007,2025-05-27,System and method for integrated application and provisioning,0,G06F|G06Q
12314920,2025-05-27,Token-based open-loop stored-value card network,0,G06Q
12299149,2025-05-13,Secure deployment of de-risked confidential data within a distributed computing environment,0,G06F
12298949,2025-05-13,Systems and methods for detecting false data entities using multi-stage computation,0,G06F
12293343,2025-05-06,Immediate release of resource for data transfer,0,G06Q|G07F
12288236,2025-04-29,Recommendation with neighbor-aware hyperbolic embedding,0,G06N|G06Q
12284190,2025-04-22,Systems and methods for authenticating data access requests,0,H04L
12282785,2025-04-22,System and method for providing advisory notifications to mobile applications,1,G06F|G06N|H04L
12277546,2025-04-15,Touchless payments at point-of-sale terminals,0,G06Q|H04L
12271944,2025-04-08,Expected transfer monitoring and notification,0,G06Q
12265959,2025-04-01,System and method for generating notifications based on digital wallet pass data,0,G06Q
12265505,2025-04-01,Systems and methods for automated reporting,0,G06F
12260128,2025-03-25,"System, method, and device for uploading data from premises to remote computing environments",0,G06F
12254512,2025-03-18,Auto-adjudication process via machine learning,0,G06Q
12254511,2025-03-18,Multi-part request for transfers,0,G06Q|H04L
12248933,2025-03-11,System and method for provisioning a data transfer application,0,G06F|G06Q|H04L
12248830,2025-03-11,System and method for modifying a card issuance file,0,G06F|G06K
12248557,2025-03-11,Automatic workstation functionality management based on login credentials,0,G06F
12243016,2025-03-04,System and method for providing a graphical user interface,0,G06F|G06Q
12236478,2025-02-25,Apparatus and method to securely instruct an order by efficiently invoking a program application on a computing device,1,G06F|G06Q
12236433,2025-02-25,Value transfer card management system,0,G06Q|G07F|H04L|H04W
12229795,2025-02-18,System and method for generating location based multiplier notifications,0,G06Q|H04W
12229690,2025-02-18,System and method for determining expected loss using a machine learning framework,0,G06N|G06Q
12229411,2025-02-18,Systems and methods for managing access to resources in a computing environment,0,G06F|G06Q
12229117,2025-02-18,Secure distribution of digital assets within a computing environment using permissioned distributed ledgers,0,G06F|G06Q|H04L
12223553,2025-02-11,Systems and methods for providing access to representations of computing events,0,G06Q
12223549,2025-02-11,Systems and methods for automated data processing using machine learning for vehicle loss detection,1,G06Q|G06V
12222989,2025-02-11,System and method for generating a recommendation,0,G06F|G06Q
12217011,2025-02-04,Generating adaptive textual explanations of output predicted by trained artificial-intelligence processes,0,G06F|G06N
12210534,2025-01-28,Machine learning enabled real time query handling system and method,1,G06F
12210445,2025-01-28,System and method for evaluating test results of application testing,0,G06F
12206656,2025-01-21,Method and apparatus with provider information access authorization,0,G06F|G06Q|H04L
12205165,2025-01-21,Cryptocurrency payment based on a canceled fiat transaction,0,G06Q
12205088,2025-01-21,Value transfer card management system,0,G06Q
12198510,2025-01-14,System and method for automated deposit item handling,0,G06Q|G07F
12198177,2025-01-14,Systems and methods for providing product recommendations,0,G06Q
12198109,2025-01-14,System and method for providing real-time updates of cheque collection in a cheque clearing process,0,G06Q
12192294,2025-01-07,System and method for integrating external services into process workflow environments,0,G06F|G06Q|H04L
12192267,2025-01-07,System and method for enabling one or more transfer features associated with a real-time transfer protocol,0,H04L
12192162,2025-01-07,Multi-channel messaging system,0,H04L|H04W
12190377,2025-01-07,System and method for providing data access,0,G06F|G06Q|H04L
12190299,2025-01-07,Real-time transfer management interface,0,G06Q
