patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432795,2025-09-30,Bluetooth network establishing system and method,0,H04W
12430728,2025-09-30,Method for labeling image object and circuit system,0,G06T|G06V
12430712,2025-09-30,Super resolution image generation circuit,0,G06T|G06V
12430419,2025-09-30,Method and system for writing authentication information,0,G06F
12430033,2025-09-30,NAND flash memory controller capable of adjusting its processing power according to its speed,0,G06F
12429902,2025-09-30,"Memory system, memory access interface device and operation method thereof",0,G06F
12418390,2025-09-16,"Communication system, electronic device, and determination method for determining echo noise cancelling ability",0,H04B|H04L
12417068,2025-09-16,Audio synchronous circuit and audio synchronous method,0,G06F|H04W
12405892,2025-09-02,Electronic apparatus and command accessing method thereof having power saving mechanism,0,G06F
12405763,2025-09-02,Image processor circuit supporting two-pixel mode and picture-in-picture mode and image processing method thereof,0,G06F|G06T|G09G
12401485,2025-08-26,Network communication apparatus and network communication monitoring method thereof having full band monitoring mechanism,0,H04L|H04W
12400447,2025-08-26,Image processing method according to cadence of image frames and device or performing the same,0,G06F|G06V
12399672,2025-08-26,Image processor circuit supporting two-pixel mode and image processing method thereof,0,G06F|G06T|G09G
12395936,2025-08-19,"Method for wireless data reception, and wireless device",0,H04W|Y02D
12395351,2025-08-19,Digital signature method and verification method for digital signature,0,H04L
12395308,2025-08-19,Network and node synchronization method,0,H04L|H04W|Y02D
12389472,2025-08-12,Method for switching pairing in mesh network system,0,H04W
12389183,2025-08-12,Player device and associated signal processing method,0,H04N|H04R|H04S
12388607,2025-08-12,Wireless communication method and wireless communication device,0,H04L|H04W
12387469,2025-08-12,"Object detection model training apparatus, method, and non-transitory computer readable storage medium thereof",0,G06N|G06V
12386762,2025-08-12,Address conversion system and address conversion method,0,G06F
12386734,2025-08-12,Data processing device and associated memory management method,0,G06F
12386695,2025-08-12,Method for scanning bad block of memory and circuit system thereof,0,G06F
12382402,2025-08-05,"Wireless transceiver device, wireless communication system and wireless transmission rate control method",0,H04B|H04L|H04W
12367166,2025-07-22,SoC with UART interface,0,G06F
12366991,2025-07-22,Multi-cluster system and multi-cluster system control method,0,G06F
12363330,2025-07-15,Image processing method and image processing device for enhancing image processing efficiency,0,H04N
12354182,2025-07-08,Image processing circuit performing filtering process on set of pixels to generate set of processed pixels and image processing method,0,G06T
12353818,2025-07-08,"Optimizing method, device and non-transient computer readable medium for integrated circuit layout",0,G06F
12353345,2025-07-08,Multi-path universal asynchronous transceiver and transmission method thereof,0,G05B|G06F
12353237,2025-07-08,Voltage control oscillating apparatus and operation method thereof having gain calibration mechanism,0,G06F|H03L
12346231,2025-07-01,"Electronic system, monitoring chip, and operation method",0,G06F
12342032,2025-06-24,"Control integrated circuit for maintaining video output to conditional access module with aid of reference clock regeneration, associated television receiver and associated method",0,H04N
12339801,2025-06-24,Adapter and data transmission method under limited memory,0,G06F
12335991,2025-06-17,Method of selecting access point and related communication device,0,H04W|Y02D
12335657,2025-06-17,Method for processing video with dynamic video-based super-resolution network and circuit system,0,G06T|G06V|H04N
12335506,2025-06-17,Electronic device and associated signal processing method,0,H04N
12335144,2025-06-17,Electronic device and flow control method for electronic device,0,H04L
12335072,2025-06-17,Signal receiving apparatus and method having parameter optimization mechanism,0,H04L
12335071,2025-06-17,Decision feedback equalizer,0,H04L
12327119,2025-06-10,Logic circuit and method for checking and updating program counter values in pipeline architecture by comparing PC values of consecutive cycles,0,G06F|H03K
12326774,2025-06-10,"Wake-up mechanism controlling method, electronic system, non-transitory computer readable storage medium",0,G06F
12323731,2025-06-03,Image data processing method and associated electronic device,0,G09G|H04N
12323660,2025-06-03,Media docking device and media transfer method,0,G06F|H04N
12323504,2025-06-03,Clock correction method and clock correction circuit,0,H04B|H04L|H04W
12323156,2025-06-03,Clock signal generation circuit,0,G06F|G11C|H03L
12321644,2025-06-03,Memory sharing electronic circuit system and external device capable of storing data in host device,0,G06F
12321417,2025-06-03,Image data augmentation apparatus and method,0,G06F|G06N|G06T|G06V
12309018,2025-05-20,Radio frequency circuit and calibration method therefor,0,H03M|H04L
12308953,2025-05-20,Communication device and host system for reducing communication interference based on bit extension mechanism,0,H04B|H04L
12307759,2025-05-20,Image data augmentation device and method,0,G06N|G06T|G06V
12307751,2025-05-20,Training method of neural network model and associated device,0,G06N|G06T|G06V
12307260,2025-05-20,Displaying content transmitted by an external device based on detection of a connected state by display firmware,0,G06F|G09G|H04N
12307242,2025-05-20,Method for updating encrypted firmware,0,G06F
12306661,2025-05-20,Apparatus and method of power efficient high-speed clock transmission,0,G06F
12300330,2025-05-13,Memory system and memory access interface device thereof for supporting different speed modes,0,G06F|G11C
12294519,2025-05-06,Packet processing device and packet processing method,0,H04L
12294361,2025-05-06,Output stage of ethernet transmitter,0,H03H|H03K|H04L
12293987,2025-05-06,Electronic package device and method of operating the same,0,H01L|H03M
12293486,2025-05-06,"Image processing method, image processing system, and non-transitory computer readable storage medium for processing image with one or more brightness ranges",0,G06T
12293036,2025-05-06,Waterproof-state recognition and processing method and device applicable to capacitive touch screen,0,G06F
12292815,2025-05-06,Method for system profiling and controlling and computer system performing the same,0,G06F|H04L
