patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12430124,2025-09-30,System and method for reducing context length in processing codebase using large language model,0,G06F
12425402,2025-09-23,Method and system for proxy-driven authentication and authorization for software,0,H04L
12425385,2025-09-23,Method and system for integrating applications on software-as-a-service platform using serverless interface,0,G06F|H04L
12423449,2025-09-23,Method and system for providing access control governance,0,G06F|H04L
12423324,2025-09-23,Method and system for dynamic data partitioning and efficient polling in distributed microservices architecture,0,G06F
12423299,2025-09-23,Method and system for imitation conversion fixes between Structured Query Language (SQL) dialects,0,G06F
12423159,2025-09-23,System and method for providing continuous optimization workflow,0,G06F
12423144,2025-09-23,"System, method, and computer program for application controls enablement",0,G06F
12423079,2025-09-23,Deploying immutable image software onto branch retail devices,0,G06F
12418519,2025-09-16,Method and system for exchanging web authentication protocols for public cloud migrations,0,H04L
12416909,2025-09-16,System and method for performing last-mile processing automation,0,G05B|G06F
12413418,2025-09-09,Method and system for secure aggregation protocol for protecting privacy of individual data sets,0,H04L
12411992,2025-09-09,Updating annotated software objects,0,G06F
12411921,2025-09-09,System and method for detecting login fraud based on a machine learning model,0,G06F
12411726,2025-09-09,Method and system for solving for seamless resiliency in a multi-tier network for grey failures,0,G06F|H04L
12411016,2025-09-09,Systems and methods for providing location-based travel objective notifications,0,G01C|G06N
12407964,2025-09-02,"System, method, and computer program for implementing a cloud hosted development module",0,G06F|H04R|H04W
12407749,2025-09-02,Systems and methods for stateless management of a virtualization platform,0,G06F|H04L
12407585,2025-09-02,Managing dynamic messaging using a Kafka-based monitoring application,0,H04L
12406252,2025-09-02,Systems and methods for integrated digital wallet payments,0,G06N|G06Q
12406143,2025-09-02,Systems and methods for identifying and removing bias from communications,0,G06F
12405944,2025-09-02,Systems and methods for self-service data structure discovery,0,G06F
12405811,2025-09-02,"System and method to capture digital experiences to support guided training, process and procedures and job aids",0,G06F|G06Q
12401511,2025-08-26,Systems and methods for issuance and management of non-fungible tokens,0,G06Q|H04L
12400243,2025-08-26,"Method and system for delivering real-time personalization across a distributed, modular network architecture",0,G06Q|H04L
12400215,2025-08-26,Systems and methods for activating and using dynamic cards,0,G06K|G06Q
12400099,2025-08-26,Systems and methods for using display-enabled transaction cards,0,G06K|G06Q|G07F
12399974,2025-08-26,Systems and methods for decentralized recovery of identity attributes,0,G06F
12399972,2025-08-26,Image-based login and authentication,0,G06F|H04L
12399873,2025-08-26,Method and system for synthesizing data gravity within an incomplete duplicate instance of a very large database,0,G06F
12399691,2025-08-26,Method and system for automatic workflow generation by large language models,0,G06F|G06N|G06Q
12395564,2025-08-19,Systems and methods for real-time identity proofing with verification,0,H04L
12395314,2025-08-19,Systems and methods for minimizing impact of breach of encryption and signing keys in multi-cloud environments,0,H04L
12393970,2025-08-19,System and method for decentralized marketplaces,0,G06F|G06Q
12393854,2025-08-19,System and method for implementing an application prediction engine,0,G06F|G06N|H04L
12393623,2025-08-19,Systems and methods for generating query parameters from natural language utterances,0,G06F
12393619,2025-08-19,Systems and methods for generating a targeted document set for input to a generative model,0,G06F
12393590,2025-08-19,System and methods for processing data queries in hybrid data mesh architectures,0,G06F
12393556,2025-08-19,Method and system for providing database management as a service,0,G06F
12393401,2025-08-19,Systems and methods for improving efficiency and control compliance across software development life cycles using domain-specific controls,0,G06F
12386979,2025-08-12,Systems and methods for federated model validation and data verification,0,G06F|G06N
12380077,2025-08-05,System and method for automated discovery of fine-grain lineage of transactional data,0,G06F
12379937,2025-08-05,System and method for providing global data validation tool,0,G06F
12379923,2025-08-05,Systems and method for automated code analysis and tagging,0,G06F|G06N
12373794,2025-07-29,Method and system for resume data extraction,0,G06N|G06Q
12373669,2025-07-29,Method and system for using deep video prediction for economic forecasting,0,G06N|G06Q
12373623,2025-07-29,Systems and methods for identifying and remediating architecture risk,0,G06F|G06N
12373592,2025-07-29,Systems and methods for auto discovery of sensitive data in applications or databases using metadata via machine learning techniques,0,G06F
12373245,2025-07-29,Systems and methods for configuration driven integration of services in business process models agnostic of workflow systems,0,G06F
12373178,2025-07-29,Determining dependencies in workspaces,0,G06F
12368650,2025-07-22,Method and system for providing telemetry modeling,0,H04L
12367728,2025-07-22,System and method for determining voter eligibilty and facilitating secure electronic voting,0,G07C|H04L
12367111,2025-07-22,Method and system for database cyber resiliency,0,G06F
12363029,2025-07-15,Systems and methods for contextual messaging and information routing in a distributed ledger network,0,H04L
12362942,2025-07-15,Systems and methods for secure client-server authentication with key recycling,0,H04L
12361363,2025-07-15,Method and system for proficiency identification,0,G06Q
12361021,2025-07-15,System and method for separating or distributing database calls between active and passive databases,0,G06F
12361009,2025-07-15,System and method for providing end-to-end observability for distributed event-driven applications,0,G06F|G06Q|H04L
12360770,2025-07-15,System and method for providing lock-free self-service queue,0,G06F
12355713,2025-07-08,Method and system for automated message generation,0,G06N|H04L
12353952,2025-07-08,Systems and methods for preparation of normal distributions on quantum computers,0,G06F|G06N
12353834,2025-07-08,Systems and methods for generalized structured data discovery utilizing contextual metadata disambiguation via machine learning techniques,0,G06F|G06N
12353635,2025-07-08,Method and system for gesture recognition,0,G06F|G06N
12353600,2025-07-08,Systems and methods for local data storage,0,G06F|H04L|H04W
12353591,2025-07-08,Secure aggregation of information using federated learning,0,G06F|H04L
12353314,2025-07-08,Method and system for automated application management,0,G06F
12347436,2025-07-01,Method and system for persisting a conversation across multiple communication channels,0,G06F|G10L
12346731,2025-07-01,Method and system for implementing an automation stack module to manage a seeding process,0,G06F
12346344,2025-07-01,Method and system for managing cross-account data distribution,0,G06F
12346317,2025-07-01,Systems and methods for providing a semantic query framework,0,G06F
12346306,2025-07-01,Method and system for data streaming reconciliation,0,G06F
12341735,2025-06-24,Method and system for providing resiliency in interaction servicing across data centers,0,G06F|G06Q|G09G|H04L|H04M
12340399,2025-06-24,System and method for providing uniform platform for accessing external cloud vendors,0,G06Q
12340200,2025-06-24,System and method for implementing a monitoring tool switch,0,G06F
12339865,2025-06-24,System and method for implementing a regulatory and statutory reporting generic multi-disclosure processor,0,G06F
12339857,2025-06-24,Methods for metadata driven application programming interface creation,0,G06F
12339812,2025-06-24,Method and system for facilitating distributed entity resolution,0,G06F
12335411,2025-06-17,Systems and methods for federated privacy management,0,H04L|H04W
12335397,2025-06-17,Systems and methods for inter-service authentication,0,H04L
12333928,2025-06-17,Systems and methods for wayfinding in hazardous environments,0,G01C|G08B|H04W
12333569,2025-06-17,Systems and methods for third-party service integration in an application,0,G06Q
12333526,2025-06-17,Systems and methods for payment token provisioning with variable risk evaluation,0,G06F|G06Q
12333400,2025-06-17,Systems and methods for federated learning using distributed messaging with entitlements for anonymous computation and secure delivery of model,0,G06F|G06N|H04L
12332933,2025-06-17,Systems and methods for document partitioning and partition labeling,0,G06F
12327125,2025-06-10,Method for automatically repaving via a virtual shape shifter element (vSSE) associated with a virtual appliance hosted on cloud environment,0,G06F
12326883,2025-06-10,Systems and methods for detecting miscategorized text-based objects,0,G06F
12323808,2025-06-03,Systems and methods for verified communication between mobile applications,0,H04L|H04W
12323525,2025-06-03,Method and system for facilitating authentication of remote terminals,0,H04L
12323405,2025-06-03,Method and system for providing smart contract catalogue,0,G06F|G06Q|H04L
12321736,2025-06-03,Systems and methods for deploying federated infrastructure as code,0,G06F
12321715,2025-06-03,Method and system for verification of random numbers,0,G06F|G06N
12314951,2025-05-27,Systems and methods for verified communication between mobile applications,0,G06F|G06Q|H04L
12314709,2025-05-27,Method and system for maintenance of immutable evidence for software development life cycle data,0,G06F|H04L
12314702,2025-05-27,Automated update notification of tasks tool,0,G06F|H04L
12314646,2025-05-27,Systems and methods for identifying and remediating architecture design defects,0,G06F|G06N
12309107,2025-05-20,"Systems and methods for receiving, transforming, and routing messages in real time",0,G06Q|H04L
12307460,2025-05-20,Systems and methods for verified communication between mobile applications,0,G06F|G06Q|H04L
12307434,2025-05-20,Systems and methods for dynamically switching payment mechanisms for outgoing payments,0,G06N|G06Q
12306838,2025-05-20,System and method for automating cloud financial operations management optimizations,0,G06F
12299396,2025-05-13,Method and system for analyzing textual narratives using quality criteria,0,G06F
12298970,2025-05-13,Method and system for analyzing natural language data by using domain-specific language models,0,G06F
12293378,2025-05-06,Method and system for simulation and calibration of markets,0,G06N|G06Q
12292961,2025-05-06,Access and usage of privileged credentials,0,G06F
12292892,2025-05-06,System and method for generating searchable social graph,0,G06F|G06Q
12292788,2025-05-06,Method and system for automatically identifying and resolving errors in log file,0,G06F|G06N
12292785,2025-05-06,Method and system for automatically selecting and executing solutions on the target application,0,G06F
12287769,2025-04-29,"System, method, and computer program for platform independent JSON configuration based reporting services",0,G06F
12287766,2025-04-29,Systems and methods for machine learning-based data matching and reconciliation of information,0,G06F|G06N
12284201,2025-04-22,Systems and methods for proactively monitoring the inherent cyber-tech risk of software and hardware components,0,H04L
12284160,2025-04-22,Systems and methods for federated secure vocabulary learning,0,G06F|H04L
12282953,2025-04-22,Systems and methods for processing peer-to-peer financial product markup language agency notices,0,G06F|G06Q|H04L
12282937,2025-04-22,Systems and methods for payment product verification and authorization using a customer identifier,0,G06Q
12282917,2025-04-22,System and method for implementing a market data hub via distributed ledger technology,0,G06Q
12282769,2025-04-22,System and method for automating SRE and project management tool metrics and creating user dynamic views,0,G06F
12282455,2025-04-22,Systems and methods for key matching using ambiguous data,0,G06F
12277250,2025-04-15,Systems and methods for privacy-preserving inventory matching with security against malicious adversaries,0,G06F|G06Q|H04L
12277098,2025-04-15,Systems and methods for tracking data lineage and record lifecycle using distributed ledgers,0,G06F|H04L
12271914,2025-04-08,Method and system for understanding financial documents,0,G06F|G06N|G06Q
12271700,2025-04-08,System and method for interpreting stuctured and unstructured content to facilitate tailored transactions,0,G06F
12266218,2025-04-01,Method and system for extracting information from a document,0,G06N|G06V|H04N
