patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432539,2025-09-30,Alert a user of a weather change,0,G01W|H04W
12432203,2025-09-30,Systems and methods for digital media-based user authentication,0,G06F|G06N|H04L|H04W
12432181,2025-09-30,Systems and methods for implementing transparent SaaS proxy on and off network,0,H04L
12430684,2025-09-30,System and method for facilitating bank account information changes,0,G06F|G06N|G06Q|H04L
12430621,2025-09-30,Automated multi-party event and transaction decisioning system,0,G06Q
12430614,2025-09-30,Flexible format encryption,0,G06F|G06K|G06N|G06Q|H04L
12430413,2025-09-30,Systems and methods for generating composite user profiles based on locally-sourced and aggregated user profiles,0,G06F
12430352,2025-09-30,Methods and system for detecting unmanaged resources in cloud-based data warehousing system,0,G06F|H04L
12430321,2025-09-30,Communication transmission using a communication allocation based on iterative processing,0,G06F
12430006,2025-09-30,Generating dynamic user interface content,0,G06F|H04L
12427789,2025-09-30,Schemes to validate and protect secure documents,0,B41J|B41M|B42D|G06Q
12425806,2025-09-23,Systems and methods for generating real-time location-based notifications,0,H04W
12425387,2025-09-23,Systems and methods for machine-readable code-based authentication,0,H04L|H04W
12425304,2025-09-23,Compliance for cloud-based applications and computer systems using machine learning,0,H04L
12425218,2025-09-23,Portable identity verification context with automatic renewal or verification orchestration to mitigate decay,0,G06F|H04L
12423747,2025-09-23,Systems and methods for managing a customer account switch,0,G06Q
12423736,2025-09-23,Vehicle identification driven by augmented reality (AR),0,G06Q|G06T
12423683,2025-09-23,System and method for creating a secure mesh network utilizing the blockchain,0,G06Q|H04L|H04W
12423623,2025-09-23,Systems and methods for using a predictive engine to predict failures in machine-learning trained systems for display via graphical user interface,0,G06N|G06Q
12423612,2025-09-23,"Methods, mediums, and systems for generating causal inference structure between concepts having predictive capabilities",0,G06F|G06N|G06Q|G10L
12423466,2025-09-23,Automated tiered security for confidential information and confidential information sharing and methods thereof,0,G06F
12423213,2025-09-23,Systems and methods for state machine-based orchestration of performance testing for cloud computing resources,0,G06F|G06N
12423174,2025-09-23,Tag-facilitated testing for cloud infrastructure,0,G06F
12418553,2025-09-16,Web page risk analysis using machine learning,0,G06N|H04L
12418416,2025-09-16,Facilitating authentication using stochastic-model-derived images,0,G06F|G06N|G06T|H04L
12417679,2025-09-16,Obstruction detection of a transaction device display screen,0,G06F|G07F|G09G
12417505,2025-09-16,Detecting reliability across the internet after scraping,0,G06F|G06Q
12417494,2025-09-16,Systems and methods for exchanging user data,0,G06N|G06Q
12417461,2025-09-16,Fraud detection based on an analysis of messages in a messaging account,0,G06Q|H04L
12417442,2025-09-16,Active OCR,0,G06N|G06Q|G06V
12417434,2025-09-16,Jailed environment restricting programmatic access to multi-tenant data,0,G06F|G06K|G06N|G06Q|H04L
12417315,2025-09-16,Scrambling an identity on the internet,0,G06F|G06N|H04L
12417275,2025-09-16,Preventing unauthorized access to personal data during authentication processes,0,G06F|H04L
12417218,2025-09-16,Systems and methods for scalable dataset content embedding for improved database searchability,0,G06F
12417089,2025-09-16,Software pipeline configuration,0,G06F
12417087,2025-09-16,Systems and methods for data migration,0,G06F
12414171,2025-09-09,Methods and systems for linking mobile applications to multi-access point providers to provide secure communication of encrypted user data,0,H04W
12413671,2025-09-09,Computer-based systems configured to monitor a communication session and generate a training session and methods of use thereof,0,G06F|G10L|H04M
12413666,2025-09-09,Computer-based systems configured to generate an interactive communication for a plurality of the repetitive interaction sessions and methods of use thereof,0,H04L|H04M
12413628,2025-09-09,Authentication of data sharing,0,G06F|G06Q|H04L
12413614,2025-09-09,Computer-based systems configured to dynamically enhance a spam prevention functionality on a computing device and methods of use thereof,0,H04L
12413596,2025-09-09,Enhanced authentication using a secure document,0,G06F|G06Q|H04L|H04W
12413576,2025-09-09,Time-based token trust depreciation,0,G06Q|H04L
12413410,2025-09-09,Managing user data for different platforms,0,H04L
12412314,2025-09-09,Color conversion between color spaces using reduced dimension embeddings,0,G06F|G06N|G06T|G06V|H04N
12412198,2025-09-09,High authentication layer to determine a person's location when considering sending a secure object,0,G06Q|G07G
12412180,2025-09-09,System and techniques for utilizing a smart contracts library,0,G06Q|H04L
12412179,2025-09-09,Patching security vulnerabilities using machine learning,0,G06F|G06N|G06Q
12412152,2025-09-09,Securing lender output data,0,G06F|G06K|G06N|G06Q|H04L
12412124,2025-09-09,Detecting category-specific bias using overfitted machine learning models,0,G06N|G06Q
12412065,2025-09-09,Transaction card assembly,0,G06K|H04W
12411901,2025-09-09,Systems and methods for transmitting electronic query data,0,G06F
12411874,2025-09-09,Distributed active learning in natural language processing for determining resource metrics,0,G06F
12411860,2025-09-09,Generating synthetic time series datasets having anomalies,0,G06F
12407753,2025-09-02,Secure file sharing and deletion,0,G06F|H04L
12407627,2025-09-02,Systems and methods for conserving computational resources by reducing network traffic predictions via machine learning models,0,H04L
12407513,2025-09-02,Sharing and requesting private data using cryptography,0,H04L
12406446,2025-09-02,Augmented reality techniques to identify a merchant category code associated with a transaction,0,G06N|G06Q|G06T|G06V
12406297,2025-09-02,Generation of graphics for vehicle items,0,G06F|G06N|G06Q
12406253,2025-09-02,Localized blockchain utilizing mesh networks for localized events,0,G06Q|H04L
12406248,2025-09-02,Systems and methods for authorizing a transfer,0,G06F|G06Q|G07F
12406213,2025-09-02,System and method for generating financing structures using clustering,0,G06F|G06N|G06Q
12406095,2025-09-02,Methods and systems for adapting an application programming interface,0,G06F|H04L
12406093,2025-09-02,Systems and methods for preventing sensitive data leakage during label propagation,0,G06F
12406042,2025-09-02,User authentication in decentralized computing system environment,0,G06F|G06V
12405941,2025-09-02,Multi-region workflow management,0,G06F
12405870,2025-09-02,Systems and methods for active-passive cluster configuration,0,G06F|H04L
12405844,2025-09-02,Systems and methods for synthetic database query generation,0,G06F|G06N|G06Q|G06T|G06V|H04L|H04N
12405720,2025-09-02,Scroll-based automatic field completion,0,G06F|G06N
12401965,2025-08-26,Systems and methods for providing mobile proving ground,0,G06F|H04W
12401649,2025-08-26,Systems and methods for validating network operations related to use of a token via a token request based on entity characteristics,0,H04L
12401609,2025-08-26,Segmentation and engagement based messaging,0,H04L
12401516,2025-08-26,Systems and methods for creating seed and master keys for blockchain wallets from user biometrics,0,G06Q|H04L
12401510,2025-08-26,Systems and methods for user control and exclusion of cryptographic tokenized data,0,H04L
12401498,2025-08-26,Custodial digital wallet management systems,0,G06Q|H04L
12400246,2025-08-26,Facilitating responding to multiple product or service reviews associated with multiple sources,0,G06F|G06N|G06Q
12400235,2025-08-26,Transaction exchange platform with a messenger microservice to update transactions,0,G06F|G06Q
12400234,2025-08-26,Microtransaction detection and authorization systems and methods,0,G06Q
12400189,2025-08-26,Systems and methods for machine learning based execution of actions based on calendar event data,0,G06Q
12400183,2025-08-26,Line item transaction inference using merchant data and website interaction,0,G06Q
12399954,2025-08-26,Data lineage metric based data processing,0,G06F
12399764,2025-08-26,Facilitating error corrections during testing of proposed code,0,G06F
12399760,2025-08-26,Techniques for utilizing disruptions to enterprise systems,0,G06F|G06Q
12397238,2025-08-26,Card customization via a gaming console,0,A63F|G06Q|G07F
12395568,2025-08-19,Systems and methods to determine the loss of ability to notify customer through mobile app and prompt re-download,0,H04L
12395563,2025-08-19,Systems and methods for visitor identification using device graphs and community detection,0,G06F|H04L
12395529,2025-08-19,Layered cybersecurity using spurious data samples,0,H04L
12395509,2025-08-19,Computer-based systems configured for automatic detection of a verified identity related to interaction sessions and methods of use thereof,0,H04L|H04M
12393993,2025-08-19,System and method for providing a spend memory record,0,G06Q
12393991,2025-08-19,System and method for capturing sales tax deduction information from monetary card transactions,0,G06Q
12393980,2025-08-19,Methods and systems for updating a user interface based on level of user interest,0,G06F|G06N|G06Q
12393978,2025-08-19,Systems and methods for debt management with spending recommendation,0,G06N|G06Q
12393976,2025-08-19,Techniques to facilitate online commerce by leveraging user activity,0,G06F|G06N|G06Q
12393951,2025-08-19,Methods for enhancing transaction authorizations with device location data,0,G06Q|H04L|H04W
12393944,2025-08-19,Transaction exchange platform having streaming transaction data and microservices,0,G06F|G06Q
12393940,2025-08-19,Automatic transaction execution based on transaction log analysis,0,G06Q
12393939,2025-08-19,Managing pre-provisioning and post-provisioning of resources using bitemporal analysis,0,G06F|G06Q|H04L
12393935,2025-08-19,Secure transactions over communications sessions,0,G06Q
12393926,2025-08-19,Systems and methods for data access control using a short-range transceiver,0,G06F|G06Q
12393924,2025-08-19,Card dispenser,0,G06Q|G07F
12393786,2025-08-19,Systems and methods for facilitating intent labeling for machine learning model training,0,G06F|G06N
12393785,2025-08-19,Systems and methods for label generation for real-time processed and batch-processed streams for machine learning training,0,G06F|G06N|H04L
12393774,2025-08-19,Methods and systems for populating application-specific information using overlay applications,0,G06F|G06N
12393681,2025-08-19,Generation of effective spurious data for model degradation,0,G06F
12393651,2025-08-19,Systems and methods for validating and extracting data dynamically from images of identification documents,0,G06F|G06V
12393449,2025-08-19,Computer-based systems configured for persistent state management and configurable execution flow and methods of use thereof,0,G06F
12393417,2025-08-19,Tokenized mobile device update systems and methods,0,G06F|H04L|H04W
12388923,2025-08-12,"Systems, methods, and computer-accessible mediums for repressing or turning off the read of a digital tag",0,G06K|H04B|H04L|H04M|H04W
12388828,2025-08-12,Mobile ID association tree for connecting shared services,0,H04L
12388809,2025-08-12,Blockchain systems and methods for user authentication,0,G06F|H04L
12388773,2025-08-12,Systems and methods for generating conversational responses using machine learning models,0,G06F|G06N|H04L
12388619,2025-08-12,System and method for authorizing transactions in an authorized member network,0,G06F|G06Q|H04L
12387515,2025-08-12,Document authentication using multi-tier machine learning models,0,B42D|G06T|G06V
12387260,2025-08-12,Computer-based systems and platforms and computer-implemented methods configured for tracking data objects behaviours and utilizing graphical user interface elements to execute numerous electronic activities with a single instruction,0,G06F|G06Q
12387257,2025-08-12,NFC enhanced augmented reality information overlays,0,G06K|G06Q|G06T|G07G|H04W
12387198,2025-08-12,Methods and arrangements for a payment instrument with a unique design,0,G06K|G06Q
12387059,2025-08-12,Identifying zones of interest in text transcripts using deep learning,0,G06F|G06N
12387056,2025-08-12,Emoji sanitization for natural language model processing,0,G06F
12386877,2025-08-12,Automated persistence of label information associated with a document,0,G06F
12386866,2025-08-12,Computer-based systems configured for efficient entity resolution for database merging and reconciliation,0,G06F
12386840,2025-08-12,Dynamic query allocation to virtual warehouses,0,G06F|G06N
12386804,2025-08-12,Systems and methods for maintaining rights management while labeling data for artificial intelligence model development,0,G06F|G06N
12386679,2025-08-12,Leveraging machine learning to automate capacity reservations for application failover on cloud,0,G06F|G06Q
12386663,2025-08-12,Dynamically adjusting resource allocation,0,G06F|G06N
12381933,2025-08-05,Systems and methods for monitoring application activity in micro frontend dependent applications without use of a shell application,0,G06F|H04L
12381907,2025-08-05,Systems and methods for preventing unauthorized resource access,0,G06F|H04L
12381895,2025-08-05,Digital security violation system,0,G06F|G06Q|H04L
12380593,2025-08-05,Automatic image cropping using a reference feature,0,G06T|G06V
12380522,2025-08-05,Document term recognition and analytics,0,G06F|G06N|G06Q|G06V
12380479,2025-08-05,Methods and systems for providing information about a location with image analysis,0,G06F|G06Q|G06V
12380448,2025-08-05,Mobile authentification method via peer mobiles,0,G06Q|H04W
12380438,2025-08-05,Systems and methods for verifying cryptographically secured communications between users using non-transferable tokens,0,G06Q|H04L
12380427,2025-08-05,Dynamically displaying contextual information on a smart card,0,G06K|G06N|G06Q|G07F
12380421,2025-08-05,Enhanced credential security based on a usage status of a wearable device,0,G06Q
12380387,2025-08-05,Systems and methods for generating predictive risk outcomes,0,G06N|G06Q
12380241,2025-08-05,Scanning and masking data at a source device,0,G06F|G06N
12380167,2025-08-05,Systems and methods for reducing usage of cache memory in connection with user queries,0,G06F
12380145,2025-08-05,"Methods, mediums, and systems for reusable intelligent search workflows",0,G06F
12380122,2025-08-05,Generating synthetic time series datasets having change points,0,G06F
12379977,2025-08-05,Systems and methods for synthetic data generation for time-series data using data segments,0,G06F|G06N|G06Q|G06T|G06V|H04L|H04N
12379975,2025-08-05,Systems and methods for censoring text inline,0,G06F|G06N|G06Q|G06T|G06V|H04L|H04N
12375549,2025-07-29,Systems and methods for generating micro frontend dependent applications without use of a shell application,0,G06F|H04L
12375489,2025-07-29,System and method for multi-factor authentication,0,H04L
12375438,2025-07-29,Intelligent sorting of time series data for improved contextual messaging,0,G06F|G06N|G06V|H04L
12375395,2025-07-29,Predictive monitor for region-switching events between inter-connected computer systems,0,H04L
12375279,2025-07-29,Item-access-based activation of an item set for an item-restricted token associated with a primary token,0,G06F|G06Q|H04L
12374324,2025-07-29,Transcript tagging and real-time whisper in interactive communications,0,G06F|G10L
12374105,2025-07-29,Systems and methods for personalized augmented reality view,0,G02B|G06F|G06Q|G06T|G06V|H04L
12374039,2025-07-29,Computer-based systems configured for texture warping-based encryption and methods of use thereof,0,G06K|G06T|G06V|H04L
12373886,2025-07-29,Camera guide alignment and auto-capture system with image processing functionality,0,G06Q|G06T|H04N
12373868,2025-07-29,Augmented reality systems for facilitating a purchasing process at a merchant location,0,G06F|G06Q|G06T|G07F|H04W
12373846,2025-07-29,Computer-based systems configured for post-interaction data provisioning and methods of use thereof,0,G06N|G06Q
12373843,2025-07-29,Generating a random verification code for a transaction,0,G06F|G06Q
12373834,2025-07-29,Parallel transaction pre-authorization platform,0,G06Q
12373818,2025-07-29,Systems and methods for securely generating and printing a document,0,G06F|G06K|G06Q|G07F|H04W
12373806,2025-07-29,Systems and methods for executing programmable macros based on external device interactions,0,G06N|G06Q
12373797,2025-07-29,User pairing and triggering activities using event data,0,G06F|G06Q|H04L
12373796,2025-07-29,Providing an interface for interview sessions,0,G06Q|H04L
