"sector","companyId","displayName","patentCount","totalCitations","citationsPerPatent","cpcBreadth"
"biotech","28c99712-fa05-4d0d-b314-2328fb89e113","The Regents of the University of California","1403","811","0.5780470420527442","170"
"biotech","72426485-6332-4df3-b878-055103157d00","Massachusetts Institute of Technology","657","955","1.4535768645357687","130"
"biotech","260f24d3-0c57-4c33-93e8-e320866c74f8","President and Fellows of Harvard College","640","1751","2.7359375","96"
"biotech","091f9b94-4c2c-49b7-a58f-4f6baa0d4df2","REGENERON PHARMACEUTICALS, INC.","616","502","0.814935064935065","45"
"biotech","ab608f1d-8ddc-4b8b-8ba5-c28c38dc7b91","The Board of Regents of the University of Texas System","594","225","0.3787878787878788","103"
"biotech","f3dc46e5-affa-42ca-8b0b-ae54402dcea8","The Board of Trustees of the Leland Stanford Junior University","449","339","0.755011135857461","77"
"biotech","bcb8ae56-dae0-4fa6-9300-a00d754cb7fb","The Procter & Gamble Company","447","510","1.1409395973154361","93"
"biotech","7de93246-1123-4ef6-b1c9-4c9b7c6387f7","The Trustees of the University of Pennsylvania","426","232","0.5446009389671361","56"
"biotech","04ee278c-7906-4242-a9fc-01f6168665d9","The General Hospital Corporation","404","257","0.6361386138613861","62"
"biotech","2627b43f-083b-4227-b6c3-62a655756a91","THE JOHNS HOPKINS UNIVERSITY","388","114","0.29381443298969073","76"
"biotech","06674ea5-1ba1-4a7c-bce6-67deaf673eba","Illumina, Inc.","358","821","2.293296089385475","61"
"biotech","90f925c4-cedf-4f58-b00e-96e6341350d9","Bristol-Myers Squibb Company","352","198","0.5625","25"
"biotech","ab90c44f-d500-4b2e-bd7e-e30b9b202a4f","Genentech, Inc.","346","271","0.7832369942196532","27"
"biotech","4458f845-5987-4e35-99a5-e8b9cc283952","Halliburton Energy Services, Inc.","340","182","0.5352941176470588","69"
"biotech","f3ead92f-e54e-452f-b6ce-7310243e0ffd","Hoffmann-La Roche Inc.","337","228","0.6765578635014837","39"
"biotech","b81b1e2a-933f-428c-8075-4930bea046c2","DANA-FARBER CANCER INSTITUTE, INC.","331","168","0.5075528700906344","36"
"biotech","d1c4435c-ac67-46b9-b0c8-567f15464557","Northwestern University","325","87","0.2676923076923077","106"
"biotech","6e80a706-ca3c-437b-8a9c-aae8b5efba57","International Business Machines Corporation","323","75","0.23219814241486067","130"
"biotech","49ef1960-84cd-42f3-9a90-aa39ce115412","Wisconsin Alumni Research Foundation","320","205","0.640625","98"
"biotech","632bde6b-73dc-4ca4-980b-b372461f823b","Life Technologies Corporation","320","70","0.21875","79"
