"sector","company_id","patent_id","inventor_id","inventor_name_first","inventor_name_last","inventor_name","patent_date"
"biotech","de14837c-a39b-46d7-926a-06cbe30db145","10912251","fl:no_ln:anderson-2","Noel W.","Anderson","Noel W. Anderson","2021-02-09"
"biotech","de14837c-a39b-46d7-926a-06cbe30db145","10912251","fl:te_ln:pickett-2","Terence D.","Pickett","Terence D. Pickett","2021-02-09"
"biotech","de14837c-a39b-46d7-926a-06cbe30db145","10912251","fl:la_ln:hendrickson-1","Larry L.","Hendrickson","Larry L. Hendrickson","2021-02-09"
"biotech","de14837c-a39b-46d7-926a-06cbe30db145","10912251","fl:ri_ln:connell-2","Richard J.","Connell","Richard J. Connell","2021-02-09"
"biotech","de14837c-a39b-46d7-926a-06cbe30db145","10912251","fl:fr_ln:nelson-11","Frederick W.","Nelson","Frederick W. Nelson","2021-02-09"
"biotech","de14837c-a39b-46d7-926a-06cbe30db145","10912251","fl:br_ln:mcdonald-1","Brandon M.","McDonald","Brandon M. McDonald","2021-02-09"
"biotech","28c99712-fa05-4d0d-b314-2328fb89e113","10912264","fl:ra_ln:maruthachalam-1","Ravi","Maruthachalam","Ravi Maruthachalam","2021-02-09"
"biotech","28c99712-fa05-4d0d-b314-2328fb89e113","10912264","fl:si_ln:chan-25","Simon","Chan","Simon Chan","2021-02-09"
"biotech","619cbdd6-d295-4b83-b57a-1e6284744fbb","10912276","fl:ju_ln:mason-4","Justin T.","Mason","Justin T. Mason","2021-02-09"
"biotech","7006e7cd-39ff-405a-b457-5161be064167","10912299","fl:br_ln:herdt-2","Brandon","Herdt","Brandon Herdt","2021-02-09"
"biotech","7006e7cd-39ff-405a-b457-5161be064167","10912299","fl:ri_ln:staub-3","Richard","Staub","Richard Staub","2021-02-09"
"biotech","7006e7cd-39ff-405a-b457-5161be064167","10912299","fl:ki_ln:solomon-2","Kim R.","Solomon","Kim R. Solomon","2021-02-09"
"biotech","7006e7cd-39ff-405a-b457-5161be064167","10912299","fl:ke_ln:tauer-2","Kevin C.","Tauer","Kevin C. Tauer","2021-02-09"
"biotech","04ee278c-7906-4242-a9fc-01f6168665d9","10912604","fl:di_ln:manstein-2","Dieter","Manstein","Dieter Manstein","2021-02-09"
"biotech","bcb8ae56-dae0-4fa6-9300-a00d754cb7fb","10912719","fl:ti_ln:gulbin-1","Timothy Charles","Gulbin","Timothy Charles Gulbin","2021-02-09"
"biotech","bcb8ae56-dae0-4fa6-9300-a00d754cb7fb","10912723","fl:ce_ln:callens-1","Cedric Kofi Aurelien","Callens","Cedric Kofi Aurelien Callens","2021-02-09"
"biotech","e66edff2-0f49-4984-a22a-0b6a2aff8e6d","10912725","fl:di_ln:scala-1","Diana","Scala","Diana Scala","2021-02-09"
"biotech","e66edff2-0f49-4984-a22a-0b6a2aff8e6d","10912725","fl:pa_ln:hallpuzio-1","Patricia","Hall-Puzio","Patricia Hall-Puzio","2021-02-09"
"biotech","bcb8ae56-dae0-4fa6-9300-a00d754cb7fb","10912726","fl:cu_ln:motley-1","Curtis Bobby","Motley","Curtis Bobby Motley","2021-02-09"
"biotech","bcb8ae56-dae0-4fa6-9300-a00d754cb7fb","10912726","fl:da_ln:salloum-3","David S.","Salloum","David S. Salloum","2021-02-09"
"biotech","bcb8ae56-dae0-4fa6-9300-a00d754cb7fb","10912726","fl:ra_ln:washington-2","Randy Purnell","Washington","Randy Purnell Washington","2021-02-09"
"biotech","0f20354c-0fc2-42d7-9591-7cc230016b69","10912729","fl:is_ln:thomas-1","Isaac","Thomas","Isaac Thomas","2021-02-09"
"biotech","edb47e82-19cd-4ff4-88fe-8ae2bc932e6c","10912730","fl:mi_ln:fevola-1","Michael J.","Fevola","Michael J. Fevola","2021-02-09"
