"sector","company_id","patent_id","patent_date","patent_year","patent_title","cited_by","cpc_subclass_ids","cpc_group_ids"
"biotech","619cbdd6-d295-4b83-b57a-1e6284744fbb","10905076","2021-02-02","2021","Soybean cultivar 87463802","1","A01H|C12N",""
"biotech","619cbdd6-d295-4b83-b57a-1e6284744fbb","10905077","2021-02-02","2021","Soybean cultivar 80560821","0","A01H|C12N",""
"biotech","619cbdd6-d295-4b83-b57a-1e6284744fbb","10905078","2021-02-02","2021","Soybean cultivar 85161246","2","A01H|C12N",""
"biotech","091f9b94-4c2c-49b7-a58f-4f6baa0d4df2","10905108","2021-02-02","2021","ADAM6 mice","3","A01K|B60H|C07K|C12N",""
"biotech","091f9b94-4c2c-49b7-a58f-4f6baa0d4df2","10905109","2021-02-02","2021","ADAM6 mice","5","A01K|B60H|C07K|C12N",""
"biotech","739f821a-768a-456e-8070-1e362cb3ed4f","10905586","2021-02-02","2021","Methods and devices for drug delivery to ocular tissue using microneedle","8","A61F|A61M|A61P",""
"biotech","21c126fa-7cff-486e-a132-e53b33c93000","10905586","2021-02-02","2021","Methods and devices for drug delivery to ocular tissue using microneedle","8","A61F|A61M|A61P",""
"biotech","bcb8ae56-dae0-4fa6-9300-a00d754cb7fb","10905642","2021-02-02","2021","Oral care compositions for promoting gum health","1","A61K|A61Q",""
"biotech","bcb8ae56-dae0-4fa6-9300-a00d754cb7fb","10905647","2021-02-02","2021","Antiperspirant and deodorant compositions","7","A61K|A61Q",""
"biotech","b3987e55-9c3b-41d3-9c67-e2b0be084ad5","10905659","2021-02-02","2021","Lasofoxifene treatment of breast cancer","4","A61K|A61P|C12Q",""
"biotech","f7a30321-2e82-4bdb-8d43-da52ea2d1ea4","10905663","2021-02-02","2021","Treatment of demyelinating disorders","0","A61K",""
"biotech","b3987e55-9c3b-41d3-9c67-e2b0be084ad5","10905665","2021-02-02","2021","Chemical modulators of signaling pathways and therapeutic use","0","A61K|A61P",""
"biotech","53465aac-f310-44f7-98aa-f90414be5063","10905667","2021-02-02","2021","Orally administrable modified-release pharmaceutical dosage form","2","A61K|A61P|C07C",""
"biotech","4abce0bd-6b27-4a26-83b4-3cea96b86098","10905678","2021-02-02","2021","Site-specific antibody-drug glycoconjugates and methods","0","A61K|C07K",""
"biotech","3d13fbe5-5120-4a3d-9731-f772e4dff2cf","10905682","2021-02-02","2021","Use of mitochondrial iron chelators for treatment of chronic obstructive pulmonary disease","0","A61K|A61P",""
"biotech","a247f063-0d96-499e-8b3a-c6e667454e34","10905693","2021-02-02","2021","Pharmaceutical compositions comprising meloxicam","49","A61K|A61P",""
"biotech","074544f0-a1c0-41e6-8468-acc61c102dc6","10905696","2021-02-02","2021","Androgen composition for treating an ophthalmic condition","0","A61K|A61P",""
"biotech","6d9055d2-60cd-4383-a72d-6fc64ac49387","10905702","2021-02-02","2021","Inhibition of galectin 3 binding to the airway epithelial surface to treat or prevent septic shock resulting from influenza and subsequent pneumococcal pneumonia infection","0","A61K|A61P",""
"biotech","2627b43f-083b-4227-b6c3-62a655756a91","10905706","2021-02-02","2021","Compositions and methods to accelerate resolution of acute lung inflammation","0","A61K|A61P",""
"biotech","4c0a43f9-efe4-45d6-9d4e-bd7056bfcf2b","10905707","2021-02-02","2021","Compositions and methods for the treatment of expanded repeat-associated disorders","1","A61K|A61P|C12N",""
"biotech","21c126fa-7cff-486e-a132-e53b33c93000","10905710","2021-02-02","2021","Particles with RNA cleaving nucleobase polymers and uses for managing inflammatory disorders","0","A61K|A61P|B82Y|C07H",""
"biotech","28c99712-fa05-4d0d-b314-2328fb89e113","10905736","2021-02-02","2021","Ezetimibe-associated ApoA-I mimetic peptides showing enhanced synergism","0","A61K|C07K|C12N",""
"biotech","67cb4853-3029-463e-8c1c-7703227b549d","10905753","2021-02-02","2021","Doubly attenuated late liver stage malaria parasites and related compositions and methods","0","A61K|C07K|C12N|Y02A",""
"biotech","7de93246-1123-4ef6-b1c9-4c9b7c6387f7","10905755","2021-02-02","2021","Vaccines for human papilloma virus and methods for using the same","0","A61K|A61N|A61P|C07K|C12N|Y02A",""
"biotech","4a94bcbd-3170-44ad-8044-f24f274bd4d4","10905757","2021-02-02","2021","Cross-reactive T cell epitopes of HIV, SIV, and FIV for vaccines in humans and cats","0","A61K|A61P|C07K|C12N|G01N",""
"biotech","ac92de82-4501-45a7-8b88-f9da14854b78","10905762","2021-02-02","2021","Targeted nanoparticle conjugates","0","A61K|A61P",""
"biotech","b1ee815f-4632-493b-831e-ba62a4b2c0ef","10905772","2021-02-02","2021","Method of treating or ameliorating metabolic disorders using GLP-1 receptor agonists conjugated to antagonists for gastric inhibitory peptide receptor (GIPR)","3","A61K|A61P|C07K",""
"biotech","99dafc74-5405-4b3e-919e-36a33ccf03e6","10905775","2021-02-02","2021","Particulate constructs for release of active agents","36","A61K|A61Q|B82Y",""
"biotech","4c0a43f9-efe4-45d6-9d4e-bd7056bfcf2b","10905776","2021-02-02","2021","Isolation of novel AAV's and uses thereof","2","A01K|A61K|C12N",""
"biotech","ac92de82-4501-45a7-8b88-f9da14854b78","10905778","2021-02-02","2021","Methods and compositions for treating a premature stop codon-mediated disorder","1","A61K|A61P|C07K",""
"biotech","f3dc46e5-affa-42ca-8b0b-ae54402dcea8","10905779","2021-02-02","2021","Methods for screening human blood products comprising plasma using immunocompromised rodent models","5","A61K",""
"biotech","04ee278c-7906-4242-a9fc-01f6168665d9","10905780","2021-02-02","2021","Compounds, systems, and methods for monitoring and treating a surface of a subject","0","A61B|A61F|A61K|C07D",""
"biotech","09e4503f-c481-4450-a440-c64ddc284c8d","10905781","2021-02-02","2021","Reporter platform for real time monitoring of drug efficacy","0","A61K|A61P",""
"biotech","091f9b94-4c2c-49b7-a58f-4f6baa0d4df2","10905784","2021-02-02","2021","Radiolabeled anti-LAG3 antibodies for immuno-PET imaging","3","A61K|A61P|C07C|C07K",""
"biotech","074544f0-a1c0-41e6-8468-acc61c102dc6","10905797","2021-02-02","2021","Polysaccharide and protein-polysaccharide cross-linked hydrogels for soft tissue augmentation","0","A61K|A61L|A61P",""
"biotech","c743e7d8-5290-412a-aeeb-edef2348822a","10906101","2021-02-02","2021","Systems and methods for additive manufacturing powder assessment","1","B22F|B33Y|G01N|G06Q|G07C|Y02P",""
"biotech","fbaac3a6-6859-43af-866e-a497bb487221","10906874","2021-02-02","2021","YAP1 inhibitors that target the interaction of YAP1 with OCT4","1","A61K|A61P|C07C|C07D",""
"biotech","cae9887e-223a-413a-acc1-534013908244","10906876","2021-02-02","2021","Tetrahydroisoquinolines as selective NADPH oxidase 2 inhibitors","0","A61K|A61P|C07D",""
"biotech","b81b1e2a-933f-428c-8075-4930bea046c2","10906878","2021-02-02","2021","Kinase inhibitors for the treatment of disease","0","A61K|A61P|C07D|Y02A",""
"biotech","90f925c4-cedf-4f58-b00e-96e6341350d9","10906886","2021-02-02","2021","Substituted 5,6,7,8-tetrahydroimidazo[1,5-a]pyrazines as factor xia inhibitors","0","A61P|C07D",""
"biotech","d536b029-1bd9-4e61-b840-2d8bcd588f73","10906888","2021-02-02","2021","Pyrimidine carboxamides as inhibitors of Vanin-1 enzyme","0","A61K|A61P|C07D",""
"biotech","b81b1e2a-933f-428c-8075-4930bea046c2","10906889","2021-02-02","2021","Polycyclic inhibitors of cyclin-dependent kinase 7 (CDK7)","3","A61P|C07D|C07F",""
"biotech","b1ee815f-4632-493b-831e-ba62a4b2c0ef","10906890","2021-02-02","2021","Triazole phenyl compounds as agonists of the APJ receptor","1","A61P|C07D",""
"biotech","eda06c5b-cd17-4da9-8fcf-bbfaec96c47f","10906891","2021-02-02","2021","Solid forms of (R)-1(2,2-difluorobenzo[d][1,3]dioxol-5-yl)-N-(1-(2,3-dihydroxypropyl)-6-fluoro-2-(1-hydroxy-2-methylpropan-2-yl)-1H-indol-5-yl)cyclopropanecarboxamide","11","A61K|C07B|C07D",""
"biotech","49af9587-f8ad-43dc-8a28-effeb447da89","10906906","2021-02-02","2021","Organic compounds","17","A61K|A61P|C07D",""
"biotech","d1c4435c-ac67-46b9-b0c8-567f15464557","10906913","2021-02-02","2021","NMDA receptor modulators and uses thereof","10","A61P|C07D",""
"biotech","ab90c44f-d500-4b2e-bd7e-e30b9b202a4f","10906918","2021-02-02","2021","Process for the preparation of tricyclic PI3K inhibitor compounds and methods for using the same for the treatment of cancer","0","A61K|A61P|C07D",""
"biotech","8b083cc4-344f-4aa9-8fdd-a44273b3629c","10906920","2021-02-02","2021","Heterocyclic compounds as immunomodulators","26","A61P|C07D",""
"biotech","33fd4f24-28ae-44d2-b46c-fe2ce17ba21d","10906926","2021-02-02","2021","Triterpene saponin analogues","3","A61K|A61P|C07H|C07J|Y02A",""
"biotech","ab90c44f-d500-4b2e-bd7e-e30b9b202a4f","10906934","2021-02-02","2021","Protein purification methods","0","C07K|C12N",""
"biotech","4a94bcbd-3170-44ad-8044-f24f274bd4d4","10906939","2021-02-02","2021","Co-assembly peptides, nanostructures, and methods of making and using the same","1","C07K",""
"biotech","29ce4473-6f30-4691-8d1e-7ac9c4255620","10906944","2021-02-02","2021","Stabilized coronavirus spike (S) protein immunogens and related vaccines","24","A61K|A61P|C07K|C12N",""
