"cpc_subclass_id","cpc_subclass_title"
"A01B","Soil working in agriculture or forestry; parts, details, or accessories of agricultural machines or implements, in general"
"A01C","Planting; sowing; fertilising"
"A01D","Harvesting; mowing"
"A01F","Processing of harvested produce; hay or straw presses; devices for storing agricultural or horticultural produce"
"A01G","Horticulture; cultivation of vegetables, flowers, rice, fruit, vines, hops or seaweed; forestry; watering"
"A01H","New plants or ; non-transgenic;  processes for obtaining them; plant reproduction by tissue culture techniques"
"A01K","Animal husbandry; aviculture; apiculture; pisciculture; fishing; rearing or breeding animals, not otherwise provided for; new breeds of animals"
"A01M","Catching, trapping or scaring of animals ; apparatus for the destruction of noxious animals or noxious plants"
"A01N","Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators"
"A01P","Biocidal, pest repellant, pest attractant or plant growth regulatory activity of chemical compounds or preparations"
"A21D","Treatment of flour or dough for baking, e.g. by addition of materials; baking; bakery products"
"A22C","Processing meat, poultry, or fish"
"A23B","Preservation of foods, foodstuffs or non-alcoholic beverages; chemical ripening of fruit or vegetables"
"A23C","Dairy products, e.g. milk, butter or cheese; milk or cheese substitutes; making or treatment thereof"
"A23D","Edible oils or fats, e.g. margarines, shortenings or cooking oils"
"A23F","Coffee; tea; their substitutes; manufacture, preparation, or infusion thereof"
"A23G","Cocoa; cocoa products, e.g. chocolate; substitutes for cocoa or cocoa products; confectionery; chewing gum; ice-cream; preparation thereof"
"A23J","Protein compositions for foodstuffs; working-up proteins for foodstuffs; phosphatide compositions for foodstuffs"
"A23K","Fodder"
"A23L","Foods, foodstuffs or non-alcoholic beverages, not otherwise provided for; preparation or treatment thereof"
"A23N","Machines or apparatus for treating harvested fruit, vegetables or flower bulbs in bulk, not otherwise provided for; peeling vegetables or fruit in bulk; apparatus for preparing animal feeding- stuffs"
"A23P","Shaping or working of foodstuffs, not fully covered by a single other subclass"
"A23V","Indexing scheme relating to foods, foodstuffs or non-alcoholic beverages and lactic or propionic acid bacteria used in foodstuffs or food preparation"
"A24B","Manufacture or preparation of tobacco for smoking or chewing; tobacco; snuff"
"A24C","Machines for making cigars or cigarettes"
"A24D","Cigars; cigarettes; tobacco smoke filters; mouthpieces for cigars or cigarettes; manufacture of tobacco smoke filters or mouthpieces"
"A24F","Smokers' requisites; match boxes; simulated smoking devices"
"A41B","Shirts; underwear; baby linen; handkerchiefs"
"A41C","Corsets; brassieres"
"A41D","Outerwear; protective garments; accessories"
"A41F","Garment fastenings; suspenders"
"A41H","Appliances or methods for making clothes, e.g. for dress-making or for tailoring, not otherwise provided for"
"A42B","Hats; head coverings"
"A43B","Characteristic features of footwear; parts of footwear"
"A43C","Fastenings or attachments of footwear; laces in general"
"A43D","Machines, tools, equipment or methods for manufacturing or repairing footwear"
"A44B","Buttons, pins, buckles, slide fasteners, or the like"
"A44C","Personal adornments, e.g. jewellery; coins"
"A44D","Indexing scheme relating to buttons, pins, buckles or slide fasteners, and to jewellery, bracelets or other personal adornments"
"A45B","Walking sticks ; umbrellas; ladies' or like fans"
"A45C","Purses; luggage; hand carried bags"
"A45D","Hairdressing or shaving equipment ; equipment for cosmetics or cosmetic treatments, e.g. for manicuring or pedicuring"
"A45F","Travelling or camp equipment: sacks or packs carried on the body"
"A46B","Brushes"
"A46D","Manufacture of brushes"
"A47B","Tables; desks; office furniture; cabinets; drawers; general details of furniture"
"A47C","Chairs; sofas; beds"
"A47D","Furniture specially adapted for children"
"A47F","Special furniture, fittings, or accessories for shops, storehouses, bars, restaurants or the like; paying counters"
"A47G","Household or table equipment"
"A47H","Furnishings for windows or doors"
"A47J","Kitchen equipment; coffee mills; spice mills; apparatus for making beverages"
"A47K","Sanitary equipment not otherwise provided for ; toilet accessories"
"A47L","Domestic washing or cleaning ; suction cleaners in general"
"A61B","Diagnosis; surgery; identification"
"A61C","Dentistry; apparatus or methods for oral or dental hygiene"
"A61D","Veterinary instruments, implements, tools, or methods"
"A61F","Filters implantable into blood vessels; prostheses; devices providing patency to, or preventing collapsing of, tubular structures of the body, e.g. stents; orthopaedic, nursing or contraceptive devices; fomentation; treatment or protection of eyes or ears; bandages, dressings or absorbent pads; first-aid kits"
"A61G","Transport, personal conveyances, or accommodation specially adapted for patients or disabled persons ; operating tables or chairs; chairs for dentistry; funeral devices"
"A61H","Physical therapy apparatus, e.g. devices for locating or stimulating reflex points in the body; artificial respiration; massage; bathing devices for special therapeutic or hygienic purposes or specific parts of the body"
"A61J","Containers specially adapted for medical or pharmaceutical purposes; devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms; devices for administering food or medicines orally; baby comforters; devices for receiving spittle"
"A61K","Preparations for medical, dental or toiletry purposes"
"A61L","Methods or apparatus for sterilising materials or objects in general; disinfection, sterilisation or deodorisation of air; chemical aspects of bandages, dressings, absorbent pads or surgical articles; materials for bandages, dressings, absorbent pads or surgical articles"
"A61M","Devices for introducing media into, or onto, the body ; devices for transducing body media or for taking media from the body ; devices for producing or ending sleep or stupor"
"A61N","Electrotherapy; magnetotherapy; radiation therapy; ultrasound therapy"
"A61P","Specific therapeutic activity of chemical compounds or medicinal preparations"
"A61Q","Specific use of cosmetics or similar toiletry preparations"
"A62B","Devices, apparatus or methods for life-saving"
"A62C","Fire-fighting"
"A62D","Chemical means for extinguishing fires or for combating or protecting against harmful chemical agents; chemical materials for use in breathing apparatus"
"A63B","Apparatus for physical training, gymnastics, swimming, climbing, or fencing; ball games; training equipment"
"A63C","Skates; skis; roller skates; design or layout of courts, rinks or the like"
