sector_id,canonical_company_id,patent_id,patent_date,inventor_id,inventor_name_first,inventor_name_last,inventor_name
biotech,dc3df6eb-f4ba-4fa7-a865-eb43b6c6da7e,11212955,2022-01-04,fl:tr_ln:stanhope-2,Trevor,Stanhope,Trevor Stanhope
biotech,dc3df6eb-f4ba-4fa7-a865-eb43b6c6da7e,11212955,2022-01-04,fl:ch_ln:schoeny-1,Christopher,Schoeny,Christopher Schoeny
biotech,de14837c-a39b-46d7-926a-06cbe30db145,11212962,2022-01-04,fl:no_ln:anderson-2,Noel W.,Anderson,Noel W. Anderson
biotech,de14837c-a39b-46d7-926a-06cbe30db145,11212962,2022-01-04,fl:ni_ln:dybro-1,Niels,Dybro,Niels Dybro
biotech,de14837c-a39b-46d7-926a-06cbe30db145,11212962,2022-01-04,fl:la_ln:hendrickson-1,Larry L.,Hendrickson,Larry L. Hendrickson
biotech,729d1696-ec10-4334-97f4-4a7339ca29c4,11212972,2022-01-04,fl:br_ln:lowe-6,Brenda A.,Lowe,Brenda A. Lowe
biotech,729d1696-ec10-4334-97f4-4a7339ca29c4,11212972,2022-01-04,fl:mi_ln:mann-3,Michael T.,Mann,Michael T. Mann
biotech,729d1696-ec10-4334-97f4-4a7339ca29c4,11212972,2022-01-04,fl:wh_ln:adams-1,Whitney R.,"Adams, JR.","Whitney R. Adams, JR."
biotech,729d1696-ec10-4334-97f4-4a7339ca29c4,11212972,2022-01-04,fl:br_ln:davis-60,Brandon,Davis,Brandon Davis
biotech,729d1696-ec10-4334-97f4-4a7339ca29c4,11212972,2022-01-04,fl:lu_ln:kucher-2,Lubomyr,Kucher,Lubomyr Kucher
biotech,729d1696-ec10-4334-97f4-4a7339ca29c4,11212972,2022-01-04,fl:mi_ln:spencer-17,Michael,Spencer,Michael Spencer
biotech,cd7f3b29-3870-4667-90c0-402e06f1b23b,11213004,2022-01-04,fl:lu_ln:bovet-1,Lucien,Bovet,Lucien Bovet
biotech,cd7f3b29-3870-4667-90c0-402e06f1b23b,11213004,2022-01-04,fl:ve_ln:liedschulte-1,Verena,Liedschulte,Verena Liedschulte
biotech,99a246c5-ca05-420a-b024-5ea9cdb7b191,11213020,2022-01-04,fl:yo_ln:fukui-6,Yoshinori,Fukui,Yoshinori Fukui
biotech,99a246c5-ca05-420a-b024-5ea9cdb7b191,11213020,2022-01-04,fl:ta_ln:uruno-1,Takehito,URUNO,Takehito URUNO
biotech,99a246c5-ca05-420a-b024-5ea9cdb7b191,11213020,2022-01-04,fl:ka_ln:yamamura-1,Kazuhiko,Yamamura,Kazuhiko Yamamura
biotech,99a246c5-ca05-420a-b024-5ea9cdb7b191,11213020,2022-01-04,fl:ma_ln:furue-1,Masutaka,Furue,Masutaka Furue
biotech,15849bab-4cd5-463f-8240-351f19a1454c,11213028,2022-01-04,fl:th_ln:wolfe-1,Thomas Chad,Wolfe,Thomas Chad Wolfe
biotech,15849bab-4cd5-463f-8240-351f19a1454c,11213028,2022-01-04,fl:ja_ln:english-13,JAMES J,ENGLISH,JAMES J ENGLISH
biotech,15849bab-4cd5-463f-8240-351f19a1454c,11213028,2022-01-04,fl:je_ln:barry-1,JENNIFER KARA,BARRY,JENNIFER KARA BARRY
biotech,15849bab-4cd5-463f-8240-351f19a1454c,11213028,2022-01-04,fl:na_ln:yalpani-1,Nasser,Yalpani,Nasser Yalpani
biotech,15849bab-4cd5-463f-8240-351f19a1454c,11213028,2022-01-04,fl:hu_ln:dong-33,Hua,Dong,Hua Dong
biotech,15849bab-4cd5-463f-8240-351f19a1454c,11213028,2022-01-04,fl:ja_ln:gilliam-2,Jacob,Gilliam,Jacob Gilliam
biotech,15849bab-4cd5-463f-8240-351f19a1454c,11213028,2022-01-04,fl:da_ln:thorpe-2,DANIEL JAMES,THORPE,DANIEL JAMES THORPE
biotech,15849bab-4cd5-463f-8240-351f19a1454c,11213028,2022-01-04,fl:ka_ln:hillman-1,KAI M,HILLMAN,KAI M HILLMAN
biotech,f4a25131-f5e6-4604-bb80-d1271571abce,11213048,2022-01-04,fl:ja_ln:flatt-3,James H.,Flatt,James H. Flatt
biotech,f4a25131-f5e6-4604-bb80-d1271571abce,11213048,2022-01-04,fl:ge_ln:toledo-3,Gerardo V.,Toledo,Gerardo V. Toledo
biotech,f4a25131-f5e6-4604-bb80-d1271571abce,11213048,2022-01-04,fl:pe_ln:domaille-1,Peter,Domaille,Peter Domaille
biotech,f4a25131-f5e6-4604-bb80-d1271571abce,11213048,2022-01-04,fl:ge_ln:rutt-1,George C.,Rutt,George C. Rutt
biotech,da563af7-c4fa-44c0-ae19-ee57458c2834,11213050,2022-01-04,fl:so_ln:jun-3,Soo Youn,Jun,Soo Youn Jun
biotech,da563af7-c4fa-44c0-ae19-ee57458c2834,11213050,2022-01-04,fl:sa_ln:kang-44,Sang Hyeon,Kang,Sang Hyeon Kang
biotech,da563af7-c4fa-44c0-ae19-ee57458c2834,11213050,2022-01-04,fl:je_ln:son-9,Jee Soo,Son,Jee Soo Son
biotech,da563af7-c4fa-44c0-ae19-ee57458c2834,11213050,2022-01-04,fl:hy_ln:paik-6,Hyoun Rok,Paik,Hyoun Rok Paik
biotech,da563af7-c4fa-44c0-ae19-ee57458c2834,11213050,2022-01-04,fl:se_ln:yoon-59,Seong Jun,Yoon,Seong Jun Yoon
biotech,520d222b-a020-4fda-b87b-f54b71c99e9a,11213055,2022-01-04,fl:sh_ln:gebert-1,Shelly,Gebert,Shelly Gebert
biotech,520d222b-a020-4fda-b87b-f54b71c99e9a,11213055,2022-01-04,fl:ma_ln:hundt-2,Matthew,Hundt,Matthew Hundt
biotech,57f9eaec-07b6-469f-b7a7-668e8ecdb500,11213058,2022-01-04,fl:ma_ln:urai-2,Makoto,Urai,Makoto Urai
biotech,57f9eaec-07b6-469f-b7a7-668e8ecdb500,11213058,2022-01-04,fl:ka_ln:sekimizu-2,Kazuhisa,Sekimizu,Kazuhisa Sekimizu
biotech,ee5c9446-3f9a-454a-b036-4da97ca81c53,11213059,2022-01-04,fl:ma_ln:deslauriers-1,Maxime,Deslauriers,Maxime Deslauriers
biotech,ee5c9446-3f9a-454a-b036-4da97ca81c53,11213059,2022-01-04,fl:ol_ln:paquet-1,Olivier,Paquet,Olivier Paquet
biotech,e71c0851-c02f-44dd-8103-4877d5c5e90e,11213200,2022-01-04,fl:ch_ln:chong-70,Changho,Chong,Changho Chong
biotech,df95683e-abff-4a46-a0be-a2d605ce1153,11213209,2022-01-04,fl:ka_ln:hirota-20,Kazuhiro,Hirota,Kazuhiro Hirota
biotech,df95683e-abff-4a46-a0be-a2d605ce1153,11213209,2022-01-04,fl:ka_ln:irisawa-6,Kaku,Irisawa,Kaku Irisawa
biotech,e677513c-9f4e-48fc-a4f0-98d574557893,11213218,2022-01-04,fl:he_ln:penningdevries-2,Hendricus Theodorus Gerardus Maria,Penning De Vries,Hendricus Theodorus Gerardus Maria Penning De Vries
biotech,e5c42a58-55c2-43e0-9ecf-b66c583969a8,11213228,2022-01-04,fl:ke_ln:galano-2,Kenneth,Galano,Kenneth Galano
biotech,bf11d39e-6bf5-4ee3-b6ab-66318896a8e3,11213229,2022-01-04,fl:ud_ln:hoss-1,Udo,Hoss,Udo Hoss
biotech,bf11d39e-6bf5-4ee3-b6ab-66318896a8e3,11213229,2022-01-04,fl:mi_ln:love-3,Michael R.,Love,Michael R. Love
biotech,bf11d39e-6bf5-4ee3-b6ab-66318896a8e3,11213229,2022-01-04,fl:ph_ln:yee-5,Phillip,Yee,Phillip Yee
