sector_id,patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids,assignee_id,assignee_type,assignee_organization,canonical_company_id,display_name,cpc_group_ids
biotech,12185654,2025-01-07,Speed control of implements during transitions of settings of agricultural parameters,0,A01B|A01C|G01N|Y02P,3bdb4fa6-3449-4fdd-aac4-3fb2c4ac897f,2,Precision Planting LLC,3bdb4fa6-3449-4fdd-aac4-3fb2c4ac897f,Precision Planting LLC,
biotech,12185669,2025-01-07,Forage harvester,0,A01D|G01N,421c9a03-c887-4d3d-9c8c-7366c304b289,3,CLAAS Selbstfahrende Erntemaschinen GmbH,421c9a03-c887-4d3d-9c8c-7366c304b289,CLAAS Selbstfahrende Erntemaschinen GmbH,
biotech,12185674,2025-01-07,Method for inhibiting microbial clogging in drip irrigators,0,A01G|A01N|A01P|C12N|C12Q|Y02A|Y02E,2cde7bf1-100b-4d18-bb0f-14f1e3127767,3,CHINA AGRICULTURE UNIVERSITY,2cde7bf1-100b-4d18-bb0f-14f1e3127767,CHINA AGRICULTURE UNIVERSITY,
biotech,12185681,2025-01-07,Methods for preparing mutant plants,0,A01H|C12N,6ccfa5aa-dd11-4d2d-b4fb-f92bc193160a,3,Carlsberg A/S,6ccfa5aa-dd11-4d2d-b4fb-f92bc193160a,Carlsberg A/S,
biotech,12185682,2025-01-07,Method for promoting nodulation in plants,0,A01H|A01N|C07K|C12N,140a996d-60b7-4efc-8861-b8f5148198a9,7,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,140a996d-60b7-4efc-8861-b8f5148198a9,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,
biotech,12185682,2025-01-07,Method for promoting nodulation in plants,0,A01H|A01N|C07K|C12N,074c3f9b-e5c0-450f-ac5e-3eda15f67451,3,UNIVERSITE TOULOUSE III—PAUL SABATIER,074c3f9b-e5c0-450f-ac5e-3eda15f67451,UNIVERSITE TOULOUSE III—PAUL SABATIER,
biotech,12185701,2025-01-07,Self-calibrating ultrasonic removal of ectoparasites from fish,0,A01K|A01M|G01N|G06T|G06V|H04R|Y02A,ad05db69-8362-40ff-8129-edab464be7c7,2,TidalX AI Inc.,ad05db69-8362-40ff-8129-edab464be7c7,TidalX AI Inc.,
biotech,12185717,2025-01-07,System for rapid cooling and warming of cells and other biological material,0,A01N|G01N,5f83ff33-dc46-4758-934f-be75d18bb4d3,2,"MiTeGen, LLC",5f83ff33-dc46-4758-934f-be75d18bb4d3,"MiTeGen, LLC",
biotech,12185740,2025-01-07,Polypeptides having xylanase activity and polynucleotides encoding same,0,A23K|C07K|C12N|C12P|C12Y,2be20492-db42-4c05-ada1-53aab9147930,3,Novozymes A/S,2be20492-db42-4c05-ada1-53aab9147930,Novozymes A/S,
biotech,12185743,2025-01-07,Processes for transglucosylation of steviol glycosides,0,A23C|A23L|A23V|B01D|C07H|C12P,5c485607-f2b9-4ebf-b7d0-b198f34024b6,3,"Beijing Gingko-Group Biological Technology Co., Ltd.",5c485607-f2b9-4ebf-b7d0-b198f34024b6,"Beijing Gingko-Group Biological Technology Co., Ltd.",
